Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
AMZN,0.05183213102071316,0.05246180671827905,0.05320763400690165,0.054251431258390714,0.05437810664872189,0.054597793541336204,0.05539066823478023,0.05640212251845467,0.056801708006184226
NVDA,0.06454865110729546,0.06190108352742729,0.05951289353494005,0.05777321497679144,0.05506868150955513,0.052688907545981656,0.051071877952824085,0.05011745499256759,0.04885312313663848
INTC,0.1448925716914239,0.1484540059848788,0.15206481049885934,0.1552807613124363,0.1572997292321775,0.15903251164469534,0.16208185653926133,0.1661183328933633,0.1691079265283102
AMD,0.31978623830598896,0.3152672244403938,0.3100395965176781,0.3071241720572837,0.3032172540607,0.30095617970575694,0.2979047977417789,0.2939136505352751,0.2896810229109824
TSM,0.32350514350117043,0.3241585123526527,0.32508375333270767,0.326053011796152,0.3262163949986655,0.3265137768688178,0.3274940162499722,0.3287941914439989,0.32947420378624925
IBM,0.3652976846605438,0.36373348183097576,0.36313856777673004,0.36282669659894506,0.36194358604562094,0.3625194461503738,0.36202835859245175,0.3611070875664275,0.35951400664970024
MU,0.3520878338860164,0.3585048506603242,0.36507537594874395,0.3705562496708863,0.3753102688527087,0.3786170342511259,0.38356913796559877,0.39010579375867405,0.39533253418397596
META,0.42073133828296827,0.4104421847250289,0.4013781102536452,0.39328233979318383,0.38511894445002914,0.3798108334753585,0.3717181278250232,0.3621715195254639,0.35381736118063967
GOOGL,0.4527744005356264,0.4516279875110423,0.4516542968420065,0.45127201031730135,0.4505569024914351,0.450364889528157,0.44926107971368123,0.44841692286496676,0.4472655311486532
QCOM,0.4215049797440252,0.4303727695958647,0.43904723768525256,0.4461938394174707,0.4517961341650472,0.4561278555906309,0.4625049570103197,0.47101448125554113,0.47817414854072415
NOW,0.45509322523029133,0.45532988130339797,0.4563334609282698,0.456995152415177,0.45759697452031123,0.45827243030920783,0.4589912678620534,0.45990615580087635,0.4601646337267489
SAP,0.44598133521073297,0.45035775216563956,0.4549671953763451,0.45880280433816106,0.46192577532416174,0.4642097192012507,0.4676235904977072,0.47212466414399756,0.4755151612374308
CRM,0.4788845810846191,0.47774017689421966,0.4758037145703173,0.4746302466830782,0.47268416617654263,0.4713704327541699,0.469425836978815,0.46733471010203326,0.46561207189303755
AAPL,0.45672241819928555,0.4613568477693446,0.46605257879282125,0.4703574341604236,0.4736279559889372,0.4762661080627173,0.48007325380836113,0.4848369594277033,0.488190421730475
AVGO,0.49449227878808605,0.48777052055554737,0.48238227829080516,0.47740842631773245,0.4724558126888045,0.46907601389294357,0.4640527197210792,0.45832804821242834,0.4533432840779323
AMAT,0.46801839535397904,0.4769485088591438,0.4858520500885928,0.4931126226338805,0.4990167099601728,0.5034698701768832,0.5097702609263426,0.5180619564458351,0.5250741483587607
ADI,0.4758388802483453,0.4834844350596695,0.4912180735454397,0.49757175644227714,0.5028056704185517,0.5065644272799346,0.512248366012756,0.5198680637093339,0.5260777911127777
CSCO,0.5117103981666731,0.5137435705294047,0.5157226299492716,0.517968264880972,0.5192960776567588,0.5207499817403759,0.5226377671066178,0.524984327699737,0.5261419484146039
TSLA,0.5107440397417201,0.5154774026220195,0.520518758257523,0.5248369034836422,0.5281866528937569,0.530710726965063,0.5345796778701191,0.5396491215151986,0.5435131273696852
ADBE,0.5254953134947424,0.5276532197963035,0.5295579430116343,0.5317222978109715,0.532292842589827,0.5330200466169333,0.5343417188800872,0.5361772343277871,0.5373751953290333
ASML,0.5310298966808411,0.5336938833277092,0.5366955359231159,0.5394504178450633,0.5410187822443469,0.5423450602775979,0.5449811991862199,0.5484933547470188,0.550781944004543
PANW,0.5435535833130207,0.5480227227716106,0.5525726079164188,0.556716332253085,0.5598251526019691,0.5622748437719569,0.5659103394643024,0.5705394160345567,0.5738295788917062
TXN,0.5568974565702207,0.5630137854950381,0.569309785953682,0.5745531633357591,0.5787224558051598,0.5817869620991178,0.5864686556534386,0.5925513919978809,0.5974852277547142
ORCL,0.6237527184884022,0.6155804697153915,0.6073060995333179,0.600360823668449,0.5932626033069246,0.5890449575464739,0.5828513787553931,0.5739028293936097,0.5664956417788379
ADSK,0.5823179747886398,0.5892090430719416,0.5962001969969768,0.6020671885407385,0.6068235239905653,0.6102195486343638,0.6153933152544413,0.6223023366964537,0.6278589014951887
STX,0.6022710422873211,0.6073004324368594,0.6124526070179939,0.6169110180965329,0.6206852416206522,0.623505070335789,0.6274795089802585,0.6326681610367151,0.6365272522732197
LRCX,0.6443766267761658,0.6482138929666896,0.6521821451564227,0.6555563411364809,0.6581125436801656,0.6599689111727013,0.6630022801464529,0.6670158784504829,0.6700576992035334
KLAC,0.7518448644798004,0.7592113075407679,0.7666849377362592,0.7728205058682225,0.778008128627655,0.7816764769166277,0.787212042963511,0.7945513802846567,0.8005252299838299
INTU,0.7799498787551554,0.7877187522847677,0.7954911232165244,0.802110952728077,0.8077792796457018,0.8119197457820949,0.8176718686697636,0.8249755293606122,0.8308255590695055
