Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.3520878338860164,-0.3585048506603242,-0.36507537594874395,-0.3705562496708863,-0.3753102688527087,-0.3786170342511259,-0.38356913796559877,-0.39010579375867405,-0.39533253418397596
AMZN,-0.30025570286530323,-0.3060430439420452,-0.3118677419418423,-0.3163048184124956,-0.3209321622039868,-0.3240192407097897,-0.32817846973081855,-0.3337036712402194,-0.33853082617779173
NVDA,-0.2875391827787209,-0.29660376713289693,-0.3055624824138039,-0.31278303469409485,-0.32024158734315356,-0.32592812670514426,-0.3324972600127747,-0.33998833876610646,-0.3464794110473375
INTC,-0.2071952621945925,-0.21005084467544544,-0.21301056544988461,-0.21527548835845,-0.21801053962053119,-0.21958452260643058,-0.22148728142633745,-0.22398746086531074,-0.22622460765566577
AMD,-0.03230159558002743,-0.043237626219930436,-0.05503577943106586,-0.06343207761360259,-0.07209301479200869,-0.07766085454536897,-0.08566434022381986,-0.09619214322339897,-0.10565151127299355
TSM,-0.028582690384845955,-0.03434633830767153,-0.03999162261603628,-0.044503237874734314,-0.04909387385404318,-0.052103257382308144,-0.056075121715626564,-0.06131160231467514,-0.0658583303977267
IBM,0.01320985077452741,0.005228631170651532,-0.0019368081720139152,-0.007729553071941231,-0.013366682807087749,-0.016097588100752125,-0.021540779373147023,-0.028998706192246537,-0.035818527534275724
META,0.06864350439695188,0.05193733406470469,0.036302734304901274,0.022726090122297538,0.00980867559732046,0.0011937992242325723,-0.011851010140575546,-0.027934274233210155,-0.04151517300333629
GOOGL,0.10068656664961001,0.09312313685071805,0.08657892089326252,0.08071576064641506,0.07524663363872641,0.07174785527703109,0.06569194174808246,0.058311129106292714,0.051932996964677236
QCOM,0.06941714585800879,0.07186791893554045,0.0739718617365086,0.07563758974658441,0.07648586531233853,0.07751082133950499,0.07893581904472091,0.08090868749686708,0.0828416143567482
NOW,0.10300539134427494,0.09682503064307374,0.09125808497952587,0.08643890274429072,0.08228670566760254,0.07965539605808192,0.07542212989645464,0.0698003620422023,0.06483209954277291
SAP,0.09389350132471658,0.09185290150531533,0.08989181942760116,0.08824655466727477,0.08661550647145305,0.08559268495012479,0.08405445253210841,0.08201887038532352,0.08018262705345486
CRM,0.12679674719860273,0.11923532623389543,0.11072833862157333,0.10407399701219189,0.09737389732383395,0.09275339850304398,0.08585669901321624,0.07722891634335921,0.07027953770906159
AAPL,0.10463458431326916,0.10285199710902038,0.1009772028440773,0.09980118448953729,0.09831768713622852,0.09764907381159138,0.09650411584276236,0.09473116566902923,0.09285788754649904
AVGO,0.14240444490206966,0.12926566989522315,0.1173069023420612,0.10685217664684615,0.0971455438360958,0.09045897964181765,0.08048358175548043,0.0682222544537543,0.058010749893956326
AMAT,0.11593056146796266,0.11844365819881958,0.12077667413984883,0.12255637296299421,0.1237064411074641,0.12485283592575724,0.12620112296074387,0.12795616268716098,0.1297416141747847
ADI,0.12375104636232892,0.12497958439934526,0.12614269759669577,0.12701550677139084,0.127495401565843,0.1279473930288087,0.12867922804715726,0.12976226995065987,0.1307452569288018
CSCO,0.15962256428065663,0.15523871986908044,0.1506472540005277,0.14741201521008573,0.14398580880405015,0.14213294748924998,0.13906862914101903,0.13487853394106297,0.13080941423062803
TSLA,0.15865620585570372,0.15697255196169524,0.15544338230877908,0.1542806538127559,0.15287638404104814,0.1520936927139372,0.15101053990452035,0.1495433277565245,0.14818059318570925
ADBE,0.17340747960872605,0.1691483691359793,0.16448256706289033,0.16116604814008517,0.15698257373711838,0.15440301236580728,0.15077258091448842,0.14607144056911298,0.14204266114505743
ASML,0.17894206279482466,0.17518903266738495,0.17162015997437197,0.16889416817417702,0.16570851339163817,0.16372802602647196,0.16141206122062118,0.15838756098834472,0.15544940982056699
PANW,0.19146574942700434,0.18951787211128635,0.18749723196767487,0.18616008258219868,0.18451488374926045,0.183657809520831,0.1823412014987036,0.18043362227588272,0.1784970447077302
TXN,0.20480962268420427,0.20450893483471383,0.20423441000493803,0.20399691366487283,0.2034121869524511,0.20316992784799193,0.20289951768783987,0.20244559823920683,0.20215269357073828
ORCL,0.27166488460238575,0.2570756190550673,0.24223072358457393,0.2298045739975627,0.2179523344542159,0.21042792329534799,0.19928224078979423,0.1837970356349356,0.17116310759486197
ADSK,0.23023014090262334,0.23070419241161733,0.2311248210482329,0.2315109388698522,0.23151325513785653,0.23160251438323792,0.23182417728884258,0.23219654293777964,0.23252636731121284
STX,0.2501832084013047,0.2487955817765351,0.24737723106924991,0.24635476842564663,0.2453749727679435,0.24488803608466297,0.2439103710146598,0.24256236727804104,0.24119471808924375
LRCX,0.2922887928901494,0.2897090423063654,0.28710676920767875,0.2850000914655946,0.28280227482745696,0.2813518769215754,0.27943314218085413,0.27691008469180883,0.27472516501955746
KLAC,0.399757030593784,0.4007064568804437,0.4016095617875152,0.40226425619733613,0.4026978597749463,0.40305944266550175,0.4036429049979123,0.4044455865259826,0.40519269579985395
INTU,0.4278620448691391,0.4292139016244435,0.4304157472677804,0.4315547030571907,0.43246901079299316,0.433302711530969,0.43410273070416483,0.4348697356019382,0.43549302488552954
