Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.45509322523029133,-0.45532988130339797,-0.4563334609282698,-0.456995152415177,-0.45759697452031123,-0.45827243030920783,-0.4589912678620534,-0.45990615580087635,-0.4601646337267489
AMZN,-0.4032610942095782,-0.4028680745851189,-0.40312582692136817,-0.4027437211567863,-0.40321886787158934,-0.40367463676787163,-0.4036005996272732,-0.4035040332824217,-0.40336292572056465
NVDA,-0.39054457412299587,-0.3934287977759707,-0.39682056739332977,-0.3992219374383856,-0.4025282930107561,-0.4055835227632262,-0.4079193899092293,-0.40978870080830876,-0.4113115105901104
INTC,-0.31020065353886744,-0.3068758753185192,-0.3042686504294105,-0.30171439110274073,-0.30029724528813373,-0.2992399186645125,-0.2969094113227921,-0.29378782290751304,-0.2910567071984387
AMD,-0.13530698692430237,-0.14006265686300418,-0.14629386441059172,-0.1498709803578933,-0.15437972045961124,-0.1573162506034509,-0.1610864701202745,-0.16599250526560128,-0.17048361081576646
TSM,-0.1315880817291209,-0.13117136895074527,-0.13124970759556215,-0.13094214061902504,-0.13138057952164572,-0.13175865344039006,-0.1314972516120812,-0.13111196435687744,-0.13069042994049962
IBM,-0.08979554056974753,-0.09159639947242221,-0.09319489315153978,-0.09416845581623196,-0.09565338847469029,-0.09575298415883404,-0.09696290926960166,-0.09879906823444884,-0.10065062707704864
MU,-0.10300539134427494,-0.09682503064307374,-0.09125808497952587,-0.08643890274429072,-0.08228670566760254,-0.07965539605808192,-0.07542212989645464,-0.0698003620422023,-0.06483209954277291
META,-0.03436188694732306,-0.04488769657836905,-0.05495535067462459,-0.06371281262199319,-0.07247803007028208,-0.07846159683384935,-0.08727314003703018,-0.09773463627541246,-0.1063472725461092
GOOGL,-0.002318824694664934,-0.0037018937923556927,-0.004679164086263343,-0.005723142097875666,-0.007040072028876132,-0.007907540781050826,-0.009730188148372176,-0.011489232935909588,-0.012899102578095678
QCOM,-0.033588245486266155,-0.024957111707533286,-0.017286223243017262,-0.010801312997706314,-0.005800840355264014,-0.0021445747185769304,0.0035136891482662747,0.01110832545466478,0.01800951481397528
SAP,-0.009111890019558366,-0.004972129137758408,-0.0013662655519247058,0.0018076519229840438,0.004328800803850508,0.005937288892042869,0.008632322635653777,0.012218508343121215,0.015350527510681944
CRM,0.02379135585432779,0.022410295590821694,0.019470253642047464,0.017635094267901164,0.015087191656231402,0.013098002444962065,0.010434569116761605,0.007428554301156909,0.005447438166288676
AAPL,0.0016291929689942197,0.006026966465946637,0.00971911786455143,0.013362281745246563,0.01603098146862597,0.017993677753509463,0.021081985946307724,0.024930803626826925,0.028025788003726126
AVGO,0.039399053557794717,0.032440639252149406,0.026048817362535337,0.02041327390255543,0.01485883816849326,0.010803583583735732,0.0050614518590257895,-0.0015781075884480078,-0.006821349648816588
AMAT,0.012925170123687713,0.02161862755574584,0.02951858916032296,0.036117470218703485,0.04141973543986155,0.045197439867675326,0.050778993064289235,0.05815580064495868,0.06490951463201178
ADI,0.020745655018053977,0.028154553756271516,0.03488461261716991,0.040576604027100116,0.04520869589824045,0.04829199697072678,0.05325709815070262,0.05996190790845757,0.06591315738602888
CSCO,0.05661717293638169,0.058413689226006704,0.05938916902100183,0.06097311246579501,0.06169910313644761,0.062477551431168066,0.06364649924456439,0.06507817189886067,0.06597731468785512
TSLA,0.05565081451142878,0.0601475213186215,0.06418529732925321,0.06784175106846518,0.0705896783734456,0.07243829665585527,0.07558841000806571,0.07974296571432221,0.08334849364293634
ADBE,0.0704020882644511,0.07232333849290556,0.07322448208336446,0.07472714539579445,0.07469586806951584,0.07474761630772536,0.07535045101803378,0.07627107852691067,0.07721056160228451
ASML,0.07593667145054972,0.07836400202431121,0.0803620749948461,0.08245526542988629,0.08342180772403562,0.08407262996839004,0.08598993132416655,0.08858719894614242,0.09061731027779407
PANW,0.0884603580827294,0.0926928414682126,0.096239146988149,0.09972117983790796,0.1022281780816579,0.10400241346274908,0.10691907160224895,0.11063326023368042,0.11366494516495729
TXN,0.10180423133992933,0.10768390419164009,0.11297632502541216,0.1175580109205821,0.12112548128484857,0.12351453178991001,0.12747738779138523,0.13264523619700452,0.13732059402796537
ORCL,0.1686594932581108,0.16025058841199358,0.15097263860504806,0.143365671253272,0.13566562878661337,0.13077252723726607,0.12386011089333959,0.1139966735927333,0.10633100805208906
ADSK,0.1272247495583484,0.1338791617685436,0.13986673606870703,0.14507203612556147,0.149226549470254,0.151947118325156,0.15640204739238794,0.16239618089557734,0.16769426776843993
STX,0.14717781705702976,0.15197055113346136,0.15611914608972405,0.1599158656813559,0.16308826710034097,0.16523264002658106,0.16848824111820515,0.17276200523583873,0.17636261854647084
LRCX,0.1892834015458745,0.19288401166329167,0.19584868422815288,0.19856118872130385,0.2005155691598544,0.20169648086349345,0.2040110122843995,0.20710972264960653,0.20989306547678455
KLAC,0.29675163924950904,0.30388142623737,0.31035147680798936,0.3158253534530454,0.3204111541073438,0.32340404660741984,0.32822077510145764,0.3346452244837803,0.34036059625708104
INTU,0.32485665352486415,0.33238887098136977,0.33915766228825456,0.34511580031289996,0.3501823051253906,0.3536473154728871,0.3586806008077102,0.3650693735597359,0.37066092534275663
