Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.06454865110729546,-0.06190108352742729,-0.05951289353494005,-0.05777321497679144,-0.05506868150955513,-0.052688907545981656,-0.051071877952824085,-0.05011745499256759,-0.04885312313663848
AMZN,-0.012716520086582306,-0.009439276809148245,-0.006305259528038398,-0.0035217837184007283,-0.0006905748608332374,0.0019088859953545478,0.004318790281956142,0.006284667525887078,0.00794858486954575
INTC,0.08034392058412843,0.0865529224574515,0.09255191696391929,0.09750754633564485,0.10223104772262237,0.10634360409871368,0.11100997858643724,0.11600087790079572,0.12025480339167172
AMD,0.2552375871986935,0.2533661409129665,0.25052670298273805,0.24935095708049226,0.24814857255114486,0.2482672721597753,0.24683291978895483,0.24379619554270748,0.24082789977434393
TSM,0.25895649239387497,0.2622574288252254,0.2655708597977676,0.26827979681936054,0.2711477134891104,0.2738248693228361,0.2764221382971481,0.2786767364514313,0.2806210806496108
IBM,0.30074903355324833,0.30183239830354847,0.30362567424179,0.3050534816221536,0.3068749045360658,0.30983053860439214,0.31095648063962766,0.3109896325738599,0.31066088351306176
MU,0.2875391827787209,0.29660376713289693,0.3055624824138039,0.31278303469409485,0.32024158734315356,0.32592812670514426,0.3324972600127747,0.33998833876610646,0.3464794110473375
META,0.3561826871756728,0.3485411011976016,0.3418652167187052,0.3355091248163924,0.330050262940474,0.32712192592937683,0.32064624987219914,0.3120540645328963,0.3049642380440012
GOOGL,0.38822574942833094,0.389726903983615,0.3921414033070664,0.3934987953405099,0.39548822098187997,0.39767598198217535,0.39818920176085715,0.39829946787239917,0.3984124080120147
QCOM,0.3569563286367297,0.3684716860684374,0.3795343441503125,0.38842062444067926,0.3967274526554921,0.40343894804464925,0.4114330790574956,0.42089702626297354,0.4293210254040857
NOW,0.39054457412299587,0.3934287977759707,0.39682056739332977,0.3992219374383856,0.4025282930107561,0.4055835227632262,0.4079193899092293,0.40978870080830876,0.4113115105901104
SAP,0.3814326841034375,0.38845666863821227,0.39545430184140506,0.4010295893613696,0.4068570938146066,0.41152081165526905,0.4165517125448831,0.42200720915143,0.42666203810079234
CRM,0.41433592997732366,0.41583909336679237,0.41629082103537723,0.41685703170628674,0.4176154846669875,0.41868152520818824,0.41835395902599093,0.41721725510946567,0.4167589487563991
AAPL,0.3921737670919901,0.3994557642419173,0.4065396852578812,0.41258421918363214,0.41855927447938207,0.42357720051673564,0.42900137585553705,0.4347195044351357,0.4393372985938365
AVGO,0.4299436276807906,0.4258694370281201,0.4228693847558651,0.419635211340941,0.41738713117924936,0.4163871063469619,0.4129808417682551,0.40821059321986075,0.4044901609412938
AMAT,0.4034697442466836,0.4150474253317165,0.42633915655365273,0.43533940765708906,0.44394802845061765,0.4507809626309015,0.45869838297351856,0.46794450145326744,0.4762210252221222
ADI,0.41129022914104985,0.4215833515322422,0.4317051800104997,0.4397985414654857,0.44773698890899655,0.45387551973395296,0.46117648805993194,0.4697506087167663,0.47722466797613927
CSCO,0.44716174705937756,0.4518424870019774,0.4562097364143316,0.4601950499041806,0.4642273961472037,0.46806107419439424,0.4715658891537937,0.47486687270716943,0.4772888252779655
TSLA,0.44619538863442465,0.4535763190945922,0.461005864722583,0.46706368850685076,0.4731179713842017,0.47802181941908145,0.48350779991729503,0.48953166652263097,0.49466000423304674
ADBE,0.46094666238744697,0.46575213626887624,0.47004504947669423,0.47394908283418,0.47722416108027194,0.48033113907095154,0.4832698409272631,0.48605977933521943,0.4885220721923949
ASML,0.4664812455735456,0.4717927998002819,0.47718264238817587,0.48167720286827187,0.4859501007347917,0.4896561527316162,0.49390932123339587,0.4983758997544512,0.5019288208679045
PANW,0.47900493220572526,0.4861216392441833,0.4930597143814788,0.49894311727629354,0.504756471092414,0.5095859362259753,0.5148384615114783,0.5204219610419891,0.5249764557550677
TXN,0.4923488054629252,0.5011127019676107,0.5097968924187419,0.5167799483589677,0.5236537742956047,0.5290980545531362,0.5353967777006146,0.5424339370053133,0.5486321046180758
ORCL,0.5592040673811067,0.5536793861879643,0.5477932059983779,0.5425876086916576,0.5381939217973695,0.5363560500004922,0.531779500802569,0.5237853744010421,0.5176425186421995
ADSK,0.5177693236813443,0.5273079595445143,0.5366873034620367,0.544293973563947,0.5517548424810101,0.5575306410883822,0.5643214373016172,0.5721848817038862,0.5790057783585503
STX,0.5377223911800256,0.545399348909432,0.5529397134830538,0.5591378031197415,0.5656165601110971,0.5708161627898072,0.5764076310274344,0.5825507060441475,0.5876741291365812
LRCX,0.5798279756688703,0.5863128094392623,0.5926692516214827,0.5977831261596894,0.6030438621706105,0.6072800036267196,0.6119304021936288,0.6168984234579153,0.6212045760668949
KLAC,0.6872962133725049,0.6973102240133406,0.7071720442013192,0.7150472908914309,0.7229394471180999,0.728987569370646,0.7361401650106869,0.7444339252920891,0.7516721068471914
INTU,0.71540122764786,0.7258176687573404,0.7359782296815843,0.7443377377512855,0.7527105981361467,0.7592308382361133,0.7665999907169395,0.7748580743680447,0.781972435932867
