Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.6237527184884022,-0.6155804697153915,-0.6073060995333179,-0.600360823668449,-0.5932626033069246,-0.5890449575464739,-0.5828513787553931,-0.5739028293936097,-0.5664956417788379
AMZN,-0.5719205874676889,-0.5631186629971126,-0.5540984655264163,-0.5461093924100583,-0.5388844966582027,-0.5344471640051377,-0.5274607105206128,-0.5175007068751549,-0.5096939337726537
NVDA,-0.5592040673811067,-0.5536793861879643,-0.5477932059983779,-0.5425876086916576,-0.5381939217973695,-0.5363560500004922,-0.531779500802569,-0.5237853744010421,-0.5176425186421995
INTC,-0.47886014679697825,-0.46712646373051275,-0.45524128903445854,-0.4450800623560127,-0.4359628740747471,-0.43001244590177856,-0.4207695222161317,-0.40778449650024634,-0.39738771525052774
AMD,-0.3039664801824132,-0.30031324527499775,-0.2972665030156398,-0.2932366516111653,-0.2900453492462246,-0.28808877784071696,-0.2849465810136141,-0.2799891788583346,-0.2768146188678555
TSM,-0.3002475749872317,-0.29142195736273885,-0.2822223462006102,-0.274307811872297,-0.2670462083082591,-0.26253118067765613,-0.2553573625054208,-0.24510863794961074,-0.23702143799258868
IBM,-0.25845503382785834,-0.2518469878844158,-0.24416753175658784,-0.23753412706950394,-0.23131901726130366,-0.2265255113961001,-0.22082302016294125,-0.21279574182718214,-0.2069816351291377
MU,-0.27166488460238575,-0.2570756190550673,-0.24223072358457393,-0.2298045739975627,-0.2179523344542159,-0.21042792329534799,-0.19928224078979423,-0.1837970356349356,-0.17116310759486197
META,-0.20302138020543387,-0.20513828499036263,-0.20592798927967265,-0.20707848387526517,-0.20814365885689545,-0.2092341240711154,-0.21113325093036978,-0.21173130986814576,-0.21267828059819827
GOOGL,-0.17097831795277574,-0.16395248220434927,-0.1556518026913114,-0.14908881335114765,-0.1427057008154895,-0.1386800680183169,-0.13359029904171177,-0.1254859065286429,-0.11923011063018474
QCOM,-0.20224773874437696,-0.18520770011952686,-0.16825886184806532,-0.1541669842509783,-0.14146646914187738,-0.132917101955843,-0.12034642174507332,-0.10288834813806852,-0.08832149323811378
NOW,-0.1686594932581108,-0.16025058841199358,-0.15097263860504806,-0.143365671253272,-0.13566562878661337,-0.13077252723726607,-0.12386011089333959,-0.1139966735927333,-0.10633100805208906
SAP,-0.17777138327766917,-0.16522271754975199,-0.15233890415697277,-0.14155801933028794,-0.13133682798276286,-0.1248352383452232,-0.11522778825768581,-0.10177816524961208,-0.09098048054140712
CRM,-0.14486813740378301,-0.13784029282117188,-0.1315023849630006,-0.12573057698537082,-0.12057843713038197,-0.117674524792304,-0.11342554177657799,-0.10656811929157639,-0.10088356988580038
AAPL,-0.16703030028911658,-0.15422362194604694,-0.14125352074049663,-0.13000338950802542,-0.1196346473179874,-0.1127788494837566,-0.10277812494703187,-0.08906586996590637,-0.07830522004836293
AVGO,-0.1292604397003161,-0.12780994915984417,-0.12492382124251272,-0.12295239735071656,-0.12080679061812011,-0.11996894365353034,-0.1187986590343138,-0.11557478118118131,-0.11315235770090565
AMAT,-0.1557343231344231,-0.13863196085624774,-0.1214540494447251,-0.1072482010345685,-0.09424589334675182,-0.08557508736959074,-0.07308111782905036,-0.05584087294777462,-0.04142149342007728
ADI,-0.14791383824005683,-0.13209603465572206,-0.11608802598787815,-0.10278906722617187,-0.09045693288837292,-0.08248053026653929,-0.07060301274263697,-0.05403476568427573,-0.040417850666060184
CSCO,-0.11204232032172912,-0.10183689918598687,-0.09158346958404623,-0.08239255878747698,-0.07396652565016576,-0.068294975806098,-0.0602136116487752,-0.04891850169387263,-0.040353693364233945
TSLA,-0.11300867874668202,-0.10010306709337208,-0.08678734127579485,-0.0755239201848068,-0.06507595041316777,-0.058334230581410795,-0.04827170088527388,-0.03425370787841109,-0.02298251440915272
ADBE,-0.0982574049936597,-0.08792724991908801,-0.0777481565216836,-0.06863852585747754,-0.06096976071709753,-0.056024910929540706,-0.04850965987530581,-0.037725595065822626,-0.02912044644980455
ASML,-0.09272282180756108,-0.08188658638768237,-0.07061056361020196,-0.060910405823385694,-0.052243821062577744,-0.04669989726887602,-0.037870179569173046,-0.02540947464659088,-0.015713697774294988
PANW,-0.08019913517538141,-0.06755774694378097,-0.054733491616899055,-0.04364449141536403,-0.03343745070495546,-0.02677011377451699,-0.016941039291090643,-0.0033634133590528803,0.007333937112868227
TXN,-0.06685526191818147,-0.05256668422035349,-0.0379963135796359,-0.025807660332689886,-0.0145401475017648,-0.007257995447356058,0.0036172768980456405,0.018648562604271224,0.03098958597587631
ADSK,-0.04143474369976241,-0.02637142664344999,-0.011105902536341028,0.0017063648722894786,0.01356092068364062,0.021174591087889938,0.03254193649904835,0.048399507302844036,0.06136325971635087
STX,-0.021481676201081046,-0.008280037278532215,0.005146507484675988,0.01655019442808392,0.0274226383137276,0.03446011278931499,0.04462813022486556,0.058765331643105434,0.07003161049438178
LRCX,0.020623908287763698,0.03263342325129809,0.04487604562310482,0.05519551746803186,0.06484994037324104,0.07092395362622739,0.0801509013910599,0.09311304905687323,0.10356205742469549
KLAC,0.12809214599139823,0.14363083782537642,0.1593788382029413,0.17245968219977342,0.18474552532073038,0.19263151937015377,0.20436066420811805,0.22064855089104704,0.234029588204992
INTU,0.15619716026675334,0.1721382825693762,0.1881850236832065,0.20175012905962797,0.21451667633877727,0.22287478823562104,0.2348204899143706,0.2510726999670026,0.26432991729066757
