Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5435535833130207,-0.5480227227716106,-0.5525726079164188,-0.556716332253085,-0.5598251526019691,-0.5622748437719569,-0.5659103394643024,-0.5705394160345567,-0.5738295788917062
AMZN,-0.49172145229230757,-0.4955609160533315,-0.4993649739095172,-0.5024649009946942,-0.5054470459532472,-0.5076770502306207,-0.5105196712295221,-0.5141372935161022,-0.5170278708855219
NVDA,-0.47900493220572526,-0.4861216392441833,-0.4930597143814788,-0.49894311727629354,-0.504756471092414,-0.5095859362259753,-0.5148384615114783,-0.5204219610419891,-0.5249764557550677
INTC,-0.39866101162159684,-0.3995687167867318,-0.4005077974175595,-0.4014355709406487,-0.40252542336979164,-0.40324233212726157,-0.40382848292504103,-0.40442108314119346,-0.40472165236339597
AMD,-0.22376734500703177,-0.23275549833121678,-0.24253301139874073,-0.24959216019580127,-0.25660789854126914,-0.26131866406619997,-0.26800554172252344,-0.2766257654992817,-0.28414855598072375
TSM,-0.2200484398118503,-0.22386421041895788,-0.22748885458371115,-0.230663320456933,-0.23360875760330363,-0.23576106690313914,-0.23841632321433015,-0.24174522459055786,-0.2443553751054569
IBM,-0.17825589865247693,-0.1842892409406348,-0.1894340401396888,-0.1938896356541399,-0.1978815665563482,-0.19975539762158312,-0.2038819808718506,-0.20943232846812926,-0.21431557224200593
MU,-0.19146574942700434,-0.18951787211128635,-0.18749723196767487,-0.18616008258219868,-0.18451488374926045,-0.183657809520831,-0.1823412014987036,-0.18043362227588272,-0.1784970447077302
META,-0.12282224503005246,-0.13758053804658166,-0.1511944976627736,-0.16343399245990115,-0.17470620815194,-0.18246401029659842,-0.19419221163927913,-0.20836789650909288,-0.2200122177110665
GOOGL,-0.09077918277739433,-0.0963947352605683,-0.10091831107441235,-0.10544432193578362,-0.10926825011053404,-0.1119099542437999,-0.11664925975062113,-0.12212249316959001,-0.12656404774305297
QCOM,-0.12204860356899555,-0.11764995317574589,-0.11352537023116627,-0.11052249283561427,-0.10802901843692192,-0.10614698818132601,-0.10340538245398267,-0.09952493477901564,-0.09565543035098201
NOW,-0.0884603580827294,-0.0926928414682126,-0.096239146988149,-0.09972117983790796,-0.1022281780816579,-0.10400241346274908,-0.10691907160224895,-0.11063326023368042,-0.11366494516495729
SAP,-0.09757224810228776,-0.09766497060597101,-0.09760541254007371,-0.09791352791492391,-0.0978993772778074,-0.09806512457070621,-0.09828674896659517,-0.0984147518905592,-0.09831441765427534
CRM,-0.0646690022284016,-0.07028254587739091,-0.07676889334610154,-0.0820860855700068,-0.0871409864254265,-0.09090441101778701,-0.09648450248548734,-0.10320470593252351,-0.10821750699866861
AAPL,-0.08683116511373518,-0.08666587500226597,-0.08652002912359757,-0.0863588980926614,-0.08619719661303193,-0.08600873570923961,-0.08583708565594123,-0.0857024566068535,-0.08563915716123116
AVGO,-0.04906130452493468,-0.0602522022160632,-0.07019032962561367,-0.07930790593535253,-0.08736933991316465,-0.09319882987901335,-0.10185761974322316,-0.11221136782212843,-0.12048629481377388
AMAT,-0.07553518795904168,-0.07107421391246677,-0.06672055782782604,-0.06360370961920447,-0.060808442641796356,-0.05880497359507375,-0.056140078537959714,-0.05247745958872174,-0.04875543053294551
ADI,-0.06771470306467542,-0.06453828771194109,-0.0613545343709791,-0.05914457581080784,-0.05701948218341746,-0.0557104164920223,-0.05366197345154633,-0.05067135232522285,-0.04775178777892841
CSCO,-0.03184318514634771,-0.0342791522422059,-0.036849977967147174,-0.03874806737211295,-0.0405290749452103,-0.04152486203158101,-0.04327257235768456,-0.04555508833481975,-0.04768763047710217
TSLA,-0.032809543571300614,-0.032545320149591106,-0.032053849658895794,-0.031879428769442775,-0.03163849970821231,-0.031564116806893805,-0.03133066159418324,-0.030890294519358208,-0.03031645152202095
ADBE,-0.018058269818278294,-0.02036950297530704,-0.023014664904784543,-0.02499403444211351,-0.02753231001214207,-0.029254797155023715,-0.03156862058421517,-0.034362181706769745,-0.036454383562672776
ASML,-0.012523686632179676,-0.014328839443901398,-0.015877071993302905,-0.017265914408021665,-0.018806370357622282,-0.019929783494359032,-0.020929140278082403,-0.022046061287538,-0.023047634887163215
TXN,0.013343873257199934,0.014991062723427484,0.016737178037263156,0.017836831082674143,0.018897303203190663,0.019512118327160932,0.020558316189136283,0.022011975963324104,0.023655648863008083
ORCL,0.08019913517538141,0.06755774694378097,0.054733491616899055,0.04364449141536403,0.03343745070495546,0.02677011377451699,0.016941039291090643,0.0033634133590528803,-0.007333937112868227
ADSK,0.038764391475619,0.04118632030033098,0.04362758908055803,0.04535085628765351,0.04699837138859608,0.04794470486240693,0.049482975790138994,0.051762920661896916,0.054029322603482643
STX,0.05871745897430036,0.05927770966524876,0.05987999910157504,0.06019468584344795,0.06086008901868306,0.06123022656383198,0.0615691695159562,0.062128745002158314,0.06269767338151355
LRCX,0.1008230434631451,0.10019117019507906,0.09960953724000388,0.09884000888339589,0.0982873910781965,0.09769406740074438,0.09709194068215055,0.09647646241592611,0.09622812031182726
KLAC,0.20829128116677964,0.2111885847691574,0.21411232981984035,0.21610417361513745,0.21818297602568584,0.21940163314467076,0.2213017034992087,0.22401196425009992,0.22669565109212378
INTU,0.23639629544213475,0.23969602951315716,0.24291851530010555,0.245394620474992,0.24795412704373274,0.24964490201013803,0.25176152920546124,0.2544361133260555,0.25699598017779934
