Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.4215049797440252,-0.4303727695958647,-0.43904723768525256,-0.4461938394174707,-0.4517961341650472,-0.4561278555906309,-0.4625049570103197,-0.47101448125554113,-0.47817414854072415
AMZN,-0.369672848723312,-0.37791096287758563,-0.3858396036783509,-0.39194240815908,-0.3974180275163253,-0.4015300620492947,-0.40711428877553946,-0.41461235873708646,-0.4213724405345399
NVDA,-0.3569563286367297,-0.3684716860684374,-0.3795343441503125,-0.38842062444067926,-0.3967274526554921,-0.40343894804464925,-0.4114330790574956,-0.42089702626297354,-0.4293210254040857
INTC,-0.2766124080526013,-0.2819187636109859,-0.2869824271863932,-0.2909130781050344,-0.2944964049328697,-0.29709534394593556,-0.30042310047105836,-0.3048961483621778,-0.30906622201241396
AMD,-0.10171874143803622,-0.11510554515547089,-0.12900764116757446,-0.139069667360187,-0.14857888010434722,-0.15517167588487396,-0.16460015926854077,-0.17710083072026606,-0.18849312562974174
TSM,-0.09799983624285474,-0.10621425724321198,-0.11396348435254489,-0.12014082762131872,-0.1255797391663817,-0.12961407872181313,-0.13501094076034748,-0.14222028981154222,-0.1486999447544749
IBM,-0.05620729508348138,-0.06663928776488892,-0.07590866990852252,-0.08336714281852564,-0.08985254811942628,-0.09360840944025711,-0.10047659841786793,-0.10990739368911362,-0.11866014189102392
MU,-0.06941714585800879,-0.07186791893554045,-0.0739718617365086,-0.07563758974658441,-0.07648586531233853,-0.07751082133950499,-0.07893581904472091,-0.08090868749686708,-0.0828416143567482
META,-0.0007736414610569065,-0.019930584870835766,-0.03766912743160733,-0.05291149962428687,-0.06667718971501807,-0.07631702211527241,-0.09078682918529646,-0.10884296173007724,-0.12435678736008449
GOOGL,0.03126942079160122,0.021255217915177593,0.01260705915675392,0.005078170899830647,-0.0012392316736121178,-0.005762966062473895,-0.013243877296638451,-0.022597558390574368,-0.03090861739207096
NOW,0.033588245486266155,0.024957111707533286,0.017286223243017262,0.010801312997706314,0.005800840355264014,0.0021445747185769304,-0.0035136891482662747,-0.01110832545466478,-0.01800951481397528
SAP,0.02447635546670779,0.01998498256977488,0.015919957691092557,0.012608964920690358,0.010129641159114522,0.0080818636106198,0.005118633487387503,0.0011101828884564346,-0.0026589873032933364
CRM,0.057379601340593944,0.04736740729835498,0.036756476885064726,0.028436407265607477,0.020888032011495417,0.015242577163538995,0.00692087996849533,-0.0036797711535078714,-0.012562076647686604
AAPL,0.035217438455260375,0.030984078173479923,0.027005341107568692,0.024163594742952876,0.021831821823889985,0.020138252472086393,0.01756829679804145,0.013822478172162145,0.010016273189750846
AVGO,0.07298729904406087,0.05739775095968269,0.0433350406055526,0.031214586900261743,0.020659678523757274,0.012948158302312662,0.0015477627107595149,-0.012686433043112788,-0.02483086446279187
AMAT,0.04651341560995387,0.046575739263279126,0.046804812403340224,0.0469187832164098,0.04722057579512556,0.04734201458625226,0.04726530391602296,0.0470474751902939,0.0468999998180365
ADI,0.05433390050432013,0.0531116654638048,0.05217083586018717,0.05137791702480643,0.05100953625350446,0.05043657168930371,0.049743409002436345,0.04885358245379279,0.047903642572053595
CSCO,0.09020541842264784,0.08337080093353999,0.0766753922640191,0.07177442546350132,0.06749994349171162,0.064622126149745,0.06013281009629812,0.05396984644419589,0.047967799873879835
TSLA,0.08923905999769494,0.08510463302615479,0.08147152057227047,0.0786430640661715,0.07639051872870961,0.0745828713744322,0.07207472085979943,0.06863464025965743,0.06533897882896106
ADBE,0.10399033375071726,0.09728045020043885,0.09051070532638172,0.08552845839350076,0.08049670842477985,0.07689219102630229,0.07183676186976751,0.0651627530722459,0.05920104678830923
ASML,0.10952491693681587,0.1033211137318445,0.09764829823786336,0.0932565784275926,0.08922264807929964,0.08621720468696698,0.08247624217590027,0.07747887349147764,0.07260779546381879
PANW,0.12204860356899555,0.11764995317574589,0.11352537023116627,0.11052249283561427,0.10802901843692192,0.10614698818132601,0.10340538245398267,0.09952493477901564,0.09565543035098201
TXN,0.13539247682619548,0.13264101589917338,0.13026254826842942,0.12835932391828841,0.12692632164011258,0.12565910650848694,0.12396369864311896,0.12153691074233974,0.11931107921399009
ORCL,0.20224773874437696,0.18520770011952686,0.16825886184806532,0.1541669842509783,0.14146646914187738,0.132917101955843,0.12034642174507332,0.10288834813806852,0.08832149323811378
ADSK,0.16081299504461455,0.15883627347607687,0.1571529593117243,0.15587334912326778,0.155027389825518,0.15409169304373294,0.15288835824412167,0.15128785544091256,0.14968475295446465
STX,0.1807660625432959,0.17692766284099465,0.1734053693327413,0.17071717867906222,0.16888910745560498,0.167377214745158,0.16497455196993888,0.16165367978117395,0.15835310373249556
LRCX,0.22287164703214066,0.21784112337082495,0.21313490747117014,0.20936250171901016,0.20631640951511843,0.20384105558207039,0.20049732313613322,0.19600139719494175,0.19188355066280927
KLAC,0.3303398847357752,0.32883853794490325,0.3276377000510066,0.3266266664507517,0.32621199446260774,0.32554862132599677,0.32470708595319137,0.32353689902911553,0.32235108144310576
INTU,0.3584448990111303,0.35734598268890305,0.3564438855312718,0.35591711331060627,0.3559831454806547,0.35579189019146407,0.3551669116594439,0.3539610481050711,0.35265141052878135
