Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.44598133521073297,-0.45035775216563956,-0.4549671953763451,-0.45880280433816106,-0.46192577532416174,-0.4642097192012507,-0.4676235904977072,-0.47212466414399756,-0.4755151612374308
AMZN,-0.3941492041900198,-0.3978959454473605,-0.40175956136944346,-0.40455137307977035,-0.40754766867543984,-0.4096119256599145,-0.41223292226292696,-0.4157225416255429,-0.4187134532312466
NVDA,-0.3814326841034375,-0.38845666863821227,-0.39545430184140506,-0.4010295893613696,-0.4068570938146066,-0.41152081165526905,-0.4165517125448831,-0.42200720915143,-0.42666203810079234
INTC,-0.3010887635193091,-0.30190374618076077,-0.3029023848774858,-0.3035220430257248,-0.30462604609198424,-0.30517720755655536,-0.30554173395844586,-0.30600633125063426,-0.3064072347091206
AMD,-0.126195096904744,-0.13509052772524577,-0.14492759885866702,-0.15167863228087736,-0.15870852126346174,-0.16325353949549376,-0.16971879275592827,-0.1782110136087225,-0.1858341383264484
TSM,-0.12247619170956253,-0.12619923981298686,-0.12988344204363744,-0.13274979254200908,-0.13570938032549623,-0.13769594233243293,-0.14012957424773498,-0.14333047269999866,-0.14604095745118156
IBM,-0.08068365055018917,-0.0866242703346638,-0.09182862759961508,-0.095976107739216,-0.0999821892785408,-0.10169027305087691,-0.10559523190525544,-0.11101757657757005,-0.11600115458773058
MU,-0.09389350132471658,-0.09185290150531533,-0.08989181942760116,-0.08824655466727477,-0.08661550647145305,-0.08559268495012479,-0.08405445253210841,-0.08201887038532352,-0.08018262705345486
META,-0.025249996927764695,-0.039915567440610644,-0.05358908512269989,-0.06552046454497723,-0.07680683087413259,-0.08439888572589221,-0.09590546267268396,-0.10995314461853367,-0.12169780005679115
GOOGL,0.0067930653248934325,0.0012702353454027149,-0.0033128985343386375,-0.00753079402085971,-0.01136887283272664,-0.013844829673093695,-0.018362510784025954,-0.023707741279030803,-0.028249630088777622
QCOM,-0.02447635546670779,-0.01998498256977488,-0.015919957691092557,-0.012608964920690358,-0.010129641159114522,-0.0080818636106198,-0.005118633487387503,-0.0011101828884564346,0.0026589873032933364
NOW,0.009111890019558366,0.004972129137758408,0.0013662655519247058,-0.0018076519229840438,-0.004328800803850508,-0.005937288892042869,-0.008632322635653777,-0.012218508343121215,-0.015350527510681944
CRM,0.032903245873886156,0.0273824247285801,0.02083651919397217,0.01582744234491712,0.010758390852380895,0.007160713552919196,0.0018022464811078276,-0.004789954041964306,-0.009903089344393268
AAPL,0.010741082988552586,0.010999095603705045,0.011085383416476136,0.011554629822262519,0.011702180664775463,0.012056388861466594,0.012449663310653947,0.01271229528370571,0.012675260493044183
AVGO,0.04851094357735308,0.03741276838990781,0.027415082914460043,0.018605621979571385,0.010530037364642753,0.004866294691692863,-0.003570870776627988,-0.013796615931569223,-0.022171877159498532
AMAT,0.02203706014324608,0.026590756693504247,0.030884854712247667,0.03430981829571944,0.03709093463601104,0.03926015097563246,0.04214667042863546,0.04593729230183746,0.049558987121329834
ADI,0.029857545037612343,0.033126682894029924,0.036250878169094614,0.03876895210411607,0.04087989509438994,0.04235470807868391,0.04462477551504884,0.04774339956533635,0.05056262987534693
CSCO,0.06572906295594005,0.06338581836376511,0.06075543457292654,0.059165460542810966,0.0573703023325971,0.0565402625391252,0.055014176608910614,0.052859663555739456,0.05062678717717317
TSLA,0.06476270453098715,0.06511965045637991,0.06555156288117792,0.06603409914548114,0.06626087756959509,0.0665010077638124,0.06695608737241193,0.067524457371201,0.0679979661322544
ADBE,0.07951397828400947,0.07729546763066397,0.07459074763528917,0.0729194934728104,0.07036706726566533,0.06881032741568249,0.06671812838238,0.06405257018378946,0.06186003409160257
ASML,0.08504856147010809,0.08333613116206962,0.0817283405467708,0.08064761350690225,0.07909300692018512,0.07813534107634718,0.07735760868851277,0.0763686906030212,0.07526678276711213
PANW,0.09757224810228776,0.09766497060597101,0.09760541254007371,0.09791352791492391,0.0978993772778074,0.09806512457070621,0.09828674896659517,0.0984147518905592,0.09831441765427534
TXN,0.1109161213594877,0.1126560333293985,0.11434259057733687,0.11575035899759806,0.11679668048099806,0.11757724289786714,0.11884506515573146,0.12042672785388331,0.12197006651728343
ORCL,0.17777138327766917,0.16522271754975199,0.15233890415697277,0.14155801933028794,0.13133682798276286,0.1248352383452232,0.11522778825768581,0.10177816524961208,0.09098048054140712
ADSK,0.13633663957790676,0.138851290906302,0.14123300162063174,0.14326438420257742,0.14489774866640348,0.14600982943311314,0.14776972475673417,0.15017767255245612,0.152343740257758
STX,0.15628970707658812,0.15694268027121977,0.15748541164164875,0.15810821375837186,0.15875946629649046,0.1592953511345382,0.15985591848255137,0.16054349689271752,0.1610120910357889
LRCX,0.19839529156543287,0.19785614080105007,0.1972149497800776,0.1967535367983198,0.1961867683560039,0.19575919197145059,0.19537868964874572,0.19489121430648532,0.1945425379661026
KLAC,0.3058635292690674,0.3088535553751284,0.31171774235991406,0.31401770153006137,0.3160823533034932,0.31746675771537697,0.31958845246580386,0.3224267161406591,0.32501006874639915
INTU,0.3339685435444225,0.3373610001191282,0.34052392784017926,0.3433081483899159,0.34585350432154016,0.34771002658084427,0.3500482781720564,0.3528508652166147,0.35531039783207463
