Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.6022710422873211,-0.6073004324368594,-0.6124526070179939,-0.6169110180965329,-0.6206852416206522,-0.623505070335789,-0.6274795089802585,-0.6326681610367151,-0.6365272522732197
AMZN,-0.5504389112666079,-0.5548386257185802,-0.5592449730110922,-0.5626595868381422,-0.5663071349719303,-0.5689072767944527,-0.5720888407454783,-0.5762660385182604,-0.5797255442670355
NVDA,-0.5377223911800256,-0.545399348909432,-0.5529397134830538,-0.5591378031197415,-0.5656165601110971,-0.5708161627898072,-0.5764076310274344,-0.5825507060441475,-0.5876741291365812
INTC,-0.4573784705958972,-0.45884642645198054,-0.46038779651913453,-0.46163025678409664,-0.4633855123884747,-0.46447255869109355,-0.46539765244099723,-0.4665498281433518,-0.4674193257449095
AMD,-0.28248480398133213,-0.29203320799646554,-0.30241301050031577,-0.3097868460392492,-0.3174679875599522,-0.32254889063003195,-0.32957471123847965,-0.33875451050144,-0.3468462293622373
TSM,-0.27876589878615066,-0.28314192008420663,-0.2873688536852862,-0.29085800630038094,-0.2944688466219867,-0.2969912934669711,-0.29998549273028635,-0.3038739695927162,-0.30705304848697046
IBM,-0.2369733576267773,-0.24356695060588357,-0.24931403924126383,-0.25408432149758786,-0.25874165557503126,-0.2609856241854151,-0.2654511503878068,-0.2715610734702876,-0.2770132456235195
MU,-0.2501832084013047,-0.2487955817765351,-0.24737723106924991,-0.24635476842564663,-0.2453749727679435,-0.24488803608466297,-0.2439103710146598,-0.24256236727804104,-0.24119471808924375
META,-0.18153970400435282,-0.19685824771183041,-0.21107449676434864,-0.2236286783033491,-0.23556629717062305,-0.2436942368604304,-0.25576138115523533,-0.2704966415112512,-0.28270989109258005
GOOGL,-0.1494966417516947,-0.15567244492581706,-0.1607983101759874,-0.16563900777923157,-0.1701283391292171,-0.17314018080763188,-0.17821842926657733,-0.18425123817174832,-0.18926172112456652
QCOM,-0.1807660625432959,-0.17692766284099465,-0.1734053693327413,-0.17071717867906222,-0.16888910745560498,-0.167377214745158,-0.16497455196993888,-0.16165367978117395,-0.15835310373249556
NOW,-0.14717781705702976,-0.15197055113346136,-0.15611914608972405,-0.1599158656813559,-0.16308826710034097,-0.16523264002658106,-0.16848824111820515,-0.17276200523583873,-0.17636261854647084
SAP,-0.15628970707658812,-0.15694268027121977,-0.15748541164164875,-0.15810821375837186,-0.15875946629649046,-0.1592953511345382,-0.15985591848255137,-0.16054349689271752,-0.1610120910357889
CRM,-0.12338646120270197,-0.12956025554263967,-0.13664889244767658,-0.14228077141345474,-0.14800107544410956,-0.152134637581619,-0.15805367200144355,-0.16533345093468182,-0.17091518038018216
AAPL,-0.14554862408803554,-0.14594358466751473,-0.14640002822517262,-0.14655358393610934,-0.147057285631715,-0.1472389622730716,-0.14740625517189743,-0.1478312016090118,-0.1483368305427447
AVGO,-0.10777876349923504,-0.11952991188131196,-0.1300703287271887,-0.13950259177880048,-0.1482294289318477,-0.15442905644284532,-0.16342678925917936,-0.17434011282428674,-0.18318396819528743
AMAT,-0.13425264693334205,-0.13035192357771552,-0.1266005569294011,-0.12379839546265242,-0.12166853166047942,-0.12003520015890573,-0.11770924805391592,-0.11460620459088006,-0.11145310391445906
ADI,-0.12643216203897578,-0.12381599737718985,-0.12123453347255414,-0.11933926165425579,-0.11787957120210052,-0.11694064305585428,-0.11523114296750253,-0.11280009732738117,-0.11044946116044196
CSCO,-0.09056064412064807,-0.09355686190745466,-0.09672997706872222,-0.0989427532155609,-0.10138916396389336,-0.10275508859541299,-0.10484174187364076,-0.10768383333697806,-0.11038530385861572
TSLA,-0.09152700254560098,-0.09182302981483986,-0.09193384876047084,-0.09207411461289072,-0.09249858872689537,-0.09279434337072578,-0.09289983111013944,-0.09301903952151652,-0.0930141249035345
ADBE,-0.07677572879257866,-0.0796472126405558,-0.08289466400635959,-0.08518872028556146,-0.08839239903082513,-0.0904850237188557,-0.09313779010017137,-0.09649092670892806,-0.09915205694418633
ASML,-0.07124114560648004,-0.07360654910915015,-0.07575707109487795,-0.07746060025146961,-0.07966645937630534,-0.08116001005819101,-0.0824983097940386,-0.08417480628969631,-0.08574530826867677
PANW,-0.05871745897430036,-0.05927770966524876,-0.05987999910157504,-0.06019468584344795,-0.06086008901868306,-0.06123022656383198,-0.0615691695159562,-0.062128745002158314,-0.06269767338151355
TXN,-0.04537358571710043,-0.04428664694182127,-0.04314282106431189,-0.042357854760773805,-0.0419627858154924,-0.04171810823667105,-0.04101085332681992,-0.04011676903883421,-0.03904202451850547
ORCL,0.021481676201081046,0.008280037278532215,-0.005146507484675988,-0.01655019442808392,-0.0274226383137276,-0.03446011278931499,-0.04462813022486556,-0.058765331643105434,-0.07003161049438178
ADSK,-0.019953067498681365,-0.018091389364917776,-0.016252410021017016,-0.014843829555794441,-0.013861717630086978,-0.013285521701425052,-0.012086193725817207,-0.010365824340261398,-0.008668350778030909
LRCX,0.042105584488844744,0.0409134605298303,0.03972953813842883,0.03864532303994794,0.037427302059513445,0.0364638408369124,0.035522771166194345,0.0343477174137678,0.033530446930313706
KLAC,0.14957382219247928,0.15191087510390863,0.1542323307182653,0.1559094877716895,0.15732288700700278,0.15817140658083878,0.1597325339832525,0.1618832192479416,0.16399797771061023
INTU,0.1776788364678344,0.1804183198479084,0.1830385161985305,0.18519993463154405,0.18709403802504967,0.18841467544630605,0.19019235968950504,0.19230736832389717,0.19429830679628576
