Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5107440397417201,-0.5154774026220195,-0.520518758257523,-0.5248369034836422,-0.5281866528937569,-0.530710726965063,-0.5345796778701191,-0.5396491215151986,-0.5435131273696852
AMZN,-0.45891190872100696,-0.4630155959037404,-0.4673111242506214,-0.4705854722252515,-0.47380854624503493,-0.4761129334237269,-0.4791890096353389,-0.4832469989967439,-0.486711419363501
NVDA,-0.44619538863442465,-0.4535763190945922,-0.461005864722583,-0.46706368850685076,-0.4731179713842017,-0.47802181941908145,-0.48350779991729503,-0.48953166652263097,-0.49466000423304674
INTC,-0.3658514680502962,-0.3670233966371407,-0.3684539477586637,-0.3695561421712059,-0.3708869236615793,-0.37167821532036777,-0.3724978213308578,-0.37353078862183525,-0.374405200841375
AMD,-0.19095780143573116,-0.20021017818162568,-0.21047916173984493,-0.2177127314263585,-0.22496939883305683,-0.22975454725930616,-0.2366748801283402,-0.2457354709799235,-0.2538321044587028
TSM,-0.18723889624054968,-0.19131889026936677,-0.19543500492481536,-0.19878389168749022,-0.20197025789509132,-0.20419695009624533,-0.2070856616201469,-0.21085493007119965,-0.21403892358343596
IBM,-0.14544635508117632,-0.1517439207910437,-0.157380190480793,-0.16201020688469714,-0.1662430668481359,-0.16819128081468931,-0.17255131927766737,-0.17854203394877105,-0.18399912071998498
MU,-0.15865620585570372,-0.15697255196169524,-0.15544338230877908,-0.1542806538127559,-0.15287638404104814,-0.1520936927139372,-0.15101053990452035,-0.1495433277565245,-0.14818059318570925
META,-0.09001270145875184,-0.10503521789699055,-0.1191406480038778,-0.13155456369045837,-0.14306770844372768,-0.15089989348970462,-0.1628615500450959,-0.17747760198973467,-0.18969576618904554
GOOGL,-0.057969639206093715,-0.06384941511097719,-0.06886446141551655,-0.07356489316634085,-0.07762975040232173,-0.0803458374369061,-0.08531859815643789,-0.0912321986502318,-0.09624759622103202
QCOM,-0.08923905999769494,-0.08510463302615479,-0.08147152057227047,-0.0786430640661715,-0.07639051872870961,-0.0745828713744322,-0.07207472085979943,-0.06863464025965743,-0.06533897882896106
NOW,-0.05565081451142878,-0.0601475213186215,-0.06418529732925321,-0.06784175106846518,-0.0705896783734456,-0.07243829665585527,-0.07558841000806571,-0.07974296571432221,-0.08334849364293634
SAP,-0.06476270453098715,-0.06511965045637991,-0.06555156288117792,-0.06603409914548114,-0.06626087756959509,-0.0665010077638124,-0.06695608737241193,-0.067524457371201,-0.0679979661322544
CRM,-0.03185945865710099,-0.037737225727799806,-0.04471504368720575,-0.05020665680056402,-0.055502486717214194,-0.05934029421089321,-0.0651538408913041,-0.0723144114131653,-0.07790105547664766
AAPL,-0.05402162154243456,-0.05412055485267486,-0.05446617946470178,-0.05447946932321862,-0.054558696904819626,-0.05444461890234581,-0.054506424061757985,-0.054812162087495286,-0.05532270563921021
AVGO,-0.016251760953634065,-0.027706882066472094,-0.03813647996671787,-0.047428477165909755,-0.05573084020495234,-0.06163471307211954,-0.07052695814903992,-0.08132107330277022,-0.09016984329175293
AMAT,-0.04272564438774107,-0.03852889376287566,-0.03466670816893025,-0.0317242808497617,-0.029169942933584048,-0.027240856788179946,-0.024809416943776474,-0.021587165069363534,-0.01843897901092456
ADI,-0.034905159493374804,-0.03199296756234998,-0.029300684712083302,-0.027265147041365068,-0.02538098247520515,-0.02414629968512849,-0.02233131185736309,-0.019781057805864644,-0.017435336256907463
CSCO,0.0009663584249529067,-0.0017338320926147954,-0.0047961283082513795,-0.006868638602670174,-0.008890575236997988,-0.009960745224687206,-0.011941910763501318,-0.014664793815461541,-0.017371178955081223
ADBE,0.01475127375302232,0.012175817174284065,0.009039184754111251,0.006885394327329264,0.004106189696070239,0.00230931965187009,-0.00023795899003192789,-0.0034718871874115376,-0.006137932040651828
ASML,0.02028585693912094,0.018216480705689708,0.01617677766559289,0.01461351436142111,0.012832129350590027,0.011634333312534773,0.010401521316100837,0.008844233231820209,0.007268816634857733
PANW,0.032809543571300614,0.032545320149591106,0.032053849658895794,0.031879428769442775,0.03163849970821231,0.031564116806893805,0.03133066159418324,0.030890294519358208,0.03031645152202095
TXN,0.04615341682850055,0.04753638287301859,0.04879102769615895,0.04971625985211692,0.05053580291140297,0.05107623513405474,0.05188897778331952,0.05290227048268231,0.05397210038502903
ORCL,0.11300867874668202,0.10010306709337208,0.08678734127579485,0.0755239201848068,0.06507595041316777,0.058334230581410795,0.04827170088527388,0.03425370787841109,0.02298251440915272
ADSK,0.07157393504691961,0.07373164044992209,0.07568143873945382,0.07723028505709628,0.07863687109680839,0.07950882166930073,0.08081363738432223,0.08265321518125512,0.08434577412550359
STX,0.09152700254560098,0.09182302981483986,0.09193384876047084,0.09207411461289072,0.09249858872689537,0.09279434337072578,0.09289983111013944,0.09301903952151652,0.0930141249035345
LRCX,0.13363258703444572,0.13273649034467017,0.13166338689889967,0.13071943765283867,0.12992589078640882,0.12925818420763818,0.12842260227633379,0.12736675693528432,0.1265445718338482
KLAC,0.24110082473808025,0.2437339049187485,0.24616617947873615,0.24798360238458023,0.24982147573389815,0.25096574995156457,0.25263236509339193,0.25490225876945816,0.25701210261414476
INTU,0.26920583901343537,0.27224134966274827,0.27497236495900135,0.2772740492444348,0.2795926267519451,0.28120901881703186,0.2830921907996445,0.2853264078454137,0.28731243169982024
