Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.32350514350117043,-0.3241585123526527,-0.32508375333270767,-0.326053011796152,-0.3262163949986655,-0.3265137768688178,-0.3274940162499722,-0.3287941914439989,-0.32947420378624925
AMZN,-0.2716730124804573,-0.27169670563437365,-0.271876119325806,-0.27180158053776127,-0.2718382883499436,-0.27191598332748157,-0.272103348015192,-0.27239206892554424,-0.272672495780065
NVDA,-0.25895649239387497,-0.2622574288252254,-0.2655708597977676,-0.26827979681936054,-0.2711477134891104,-0.2738248693228361,-0.2764221382971481,-0.2786767364514313,-0.2806210806496108
INTC,-0.17861257180974655,-0.1757045063677739,-0.17301894283384833,-0.1707722504837157,-0.168916665766488,-0.16748126522412243,-0.16541215971071088,-0.1626758585506356,-0.16036627725793906
AMD,-0.0037189051951814767,-0.008891287912258905,-0.015044156815029575,-0.018928839738868275,-0.022999140937965512,-0.02555759716306083,-0.029589218508193293,-0.034880540908723834,-0.03979318087526684
IBM,0.041792541159373364,0.03957496947832306,0.03805481444402237,0.03677368480279308,0.03572719104695543,0.03600566928155602,0.03453434234247954,0.0323128961224286,0.03003980286345098
MU,0.028582690384845955,0.03434633830767153,0.03999162261603628,0.044503237874734314,0.04909387385404318,0.052103257382308144,0.056075121715626564,0.06131160231467514,0.0658583303977267
META,0.09722619478179784,0.08628367237237622,0.07629435692093756,0.06722932799703185,0.05890254945136364,0.053297056606540716,0.04422411157505102,0.033377328081464985,0.024343157394390413
GOOGL,0.12926925703445596,0.12746947515838958,0.1265705435092988,0.12521899852114937,0.12434050749276959,0.12385111265933924,0.12176706346370902,0.11962273142096785,0.11779132736240394
QCOM,0.09799983624285474,0.10621425724321198,0.11396348435254489,0.12014082762131872,0.1255797391663817,0.12961407872181313,0.13501094076034748,0.14222028981154222,0.1486999447544749
NOW,0.1315880817291209,0.13117136895074527,0.13124970759556215,0.13094214061902504,0.13138057952164572,0.13175865344039006,0.1314972516120812,0.13111196435687744,0.13069042994049962
SAP,0.12247619170956253,0.12619923981298686,0.12988344204363744,0.13274979254200908,0.13570938032549623,0.13769594233243293,0.14012957424773498,0.14333047269999866,0.14604095745118156
CRM,0.1553794375834487,0.15358166454156696,0.1507199612376096,0.1485772348869262,0.14646777117787713,0.14485665588535213,0.1419318207288428,0.13854051865803435,0.1361378681067883
AAPL,0.13321727469811512,0.1371983354166919,0.14096882546011358,0.1443044223642716,0.1474115609902717,0.14975233119389952,0.15257923755838892,0.15604276798370437,0.15871621794422575
AVGO,0.17098713528691561,0.16361200820289468,0.15729852495809749,0.15135541452158047,0.14623941769013898,0.1425622370241258,0.136558703471107,0.12953385676842943,0.12386908029168303
AMAT,0.1445132518528086,0.1527899965064911,0.1607682967558851,0.16705961083772852,0.17280031496150727,0.1769560933080654,0.18227624467637044,0.18926776500183612,0.1955999445725114
ADI,0.15233373674717487,0.1593259227070168,0.16613432021273206,0.17151874464612515,0.17658927541988617,0.18005065041111684,0.18475434976278382,0.191073872265335,0.1966035873265285
CSCO,0.18820525466550259,0.18958505817675197,0.19063887661656398,0.19191525308482005,0.19307968265809333,0.19423620487155813,0.1951437508566456,0.1961901362557381,0.19666774462835473
TSLA,0.18723889624054968,0.19131889026936677,0.19543500492481536,0.19878389168749022,0.20197025789509132,0.20419695009624533,0.2070856616201469,0.21085493007119965,0.21403892358343596
ADBE,0.201990169993572,0.20349470744365084,0.2044741896789266,0.20566928601481949,0.20607644759116156,0.20650626974811542,0.20684770263011498,0.20738304288378812,0.20790099154278413
ASML,0.20752475317967062,0.20953537097505648,0.21161178259040825,0.21339740604891133,0.21480238724568135,0.2158312834087801,0.21748718293624775,0.21969916330301986,0.2213077402182937
PANW,0.2200484398118503,0.22386421041895788,0.22748885458371115,0.230663320456933,0.23360875760330363,0.23576106690313914,0.23841632321433015,0.24174522459055786,0.2443553751054569
TXN,0.23339231306905023,0.23885527314238536,0.2442260326209743,0.24850015153960714,0.2525060608064943,0.25527318523030007,0.25897463940346643,0.26375720055388197,0.268011023968465
ORCL,0.3002475749872317,0.29142195736273885,0.2822223462006102,0.274307811872297,0.2670462083082591,0.26253118067765613,0.2553573625054208,0.24510863794961074,0.23702143799258868
ADSK,0.2588128312874693,0.26505053071928886,0.2711164436642692,0.2760141767445865,0.2806071289918997,0.28370577176554607,0.28789929900446914,0.2935081452524548,0.29838469770893955
STX,0.27876589878615066,0.28314192008420663,0.2873688536852862,0.29085800630038094,0.2944688466219867,0.2969912934669711,0.29998549273028635,0.3038739695927162,0.30705304848697046
LRCX,0.3208714832749954,0.32405538061403694,0.32709839182371503,0.3295033293403289,0.33189614868150014,0.3334551343038835,0.3355082638964807,0.338221687006484,0.34058349541728417
KLAC,0.42833972097862993,0.43505279518811524,0.4416011844035515,0.44676749407207045,0.4517917336289895,0.4551627000478099,0.45971802671353884,0.46575718884065775,0.47105102619758066
INTU,0.45644473525398505,0.46356023993211504,0.4704073698838167,0.476057940931925,0.48156288464703634,0.48540596891327714,0.4901778524197914,0.49618133791661334,0.5013513552832563
