Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
MSFT,-0.5568974565702207,-0.5630137854950381,-0.569309785953682,-0.5745531633357591,-0.5787224558051598,-0.5817869620991178,-0.5864686556534386,-0.5925513919978809,-0.5974852277547142
AMZN,-0.5050653255495074,-0.510551978776759,-0.5161021519467803,-0.5203017320773684,-0.5243443491564379,-0.5271891685577816,-0.5310779874186584,-0.5361492694794262,-0.54068351974853
NVDA,-0.4923488054629252,-0.5011127019676107,-0.5097968924187419,-0.5167799483589677,-0.5236537742956047,-0.5290980545531362,-0.5353967777006146,-0.5424339370053133,-0.5486321046180758
INTC,-0.4120048848787968,-0.41455977951015927,-0.41724497545482264,-0.41927240202332283,-0.4214227265729823,-0.4227544504544225,-0.4243867991141773,-0.42643305910451756,-0.42837730122640405
AMD,-0.2371112182642317,-0.24774656105464427,-0.2592701894360039,-0.2674289912784754,-0.2755052017444598,-0.2808307823933609,-0.2885638579116597,-0.2986377414626058,-0.30780420484373183
TSM,-0.23339231306905023,-0.23885527314238536,-0.2442260326209743,-0.24850015153960714,-0.2525060608064943,-0.25527318523030007,-0.25897463940346643,-0.26375720055388197,-0.268011023968465
IBM,-0.19159977190967686,-0.1992803036640623,-0.20617121817695194,-0.21172646673681406,-0.21677886975953886,-0.21926751594874405,-0.2244402970609869,-0.23144430443145336,-0.237971221105014
MU,-0.20480962268420427,-0.20450893483471383,-0.20423441000493803,-0.20399691366487283,-0.2034121869524511,-0.20316992784799193,-0.20289951768783987,-0.20244559823920683,-0.20215269357073828
META,-0.1361661182872524,-0.15257160077000914,-0.16793167570003675,-0.1812708235425753,-0.19360351135513065,-0.20197612862375935,-0.21475052782841542,-0.23037987247241698,-0.24366786657407458
GOOGL,-0.10412305603459426,-0.11138579798399578,-0.1176554891116755,-0.12328115301845777,-0.1281655533137247,-0.13142207257096084,-0.1372075759397574,-0.1441344691329141,-0.15021969660606105
QCOM,-0.13539247682619548,-0.13264101589917338,-0.13026254826842942,-0.12835932391828841,-0.12692632164011258,-0.12565910650848694,-0.12396369864311896,-0.12153691074233974,-0.11931107921399009
NOW,-0.10180423133992933,-0.10768390419164009,-0.11297632502541216,-0.1175580109205821,-0.12112548128484857,-0.12351453178991001,-0.12747738779138523,-0.13264523619700452,-0.13732059402796537
SAP,-0.1109161213594877,-0.1126560333293985,-0.11434259057733687,-0.11575035899759806,-0.11679668048099806,-0.11757724289786714,-0.11884506515573146,-0.12042672785388331,-0.12197006651728343
CRM,-0.07801287548560154,-0.0852736086008184,-0.0935060713833647,-0.09992291665268094,-0.10603828962861717,-0.11041652934494794,-0.11704281867462363,-0.12521668189584761,-0.1318731558616767
AAPL,-0.10017503837093511,-0.10165693772569345,-0.10325720716086073,-0.10419572917533554,-0.1050944998162226,-0.10552085403640055,-0.10639540184507751,-0.1077144325701776,-0.10929480602423924
AVGO,-0.06240517778213461,-0.07524326493949068,-0.08692750766287682,-0.09714473701802667,-0.10626664311635531,-0.11271094820617428,-0.12241593593235944,-0.13422334378545253,-0.14414194367678196
AMAT,-0.08887906121624162,-0.08606527663589425,-0.0834577358650892,-0.08144054070187862,-0.07970574584498702,-0.07831709192223468,-0.076698394727096,-0.07448943555204585,-0.07241107939595359
ADI,-0.08105857632187535,-0.07952935043536857,-0.07809171240824225,-0.07698140689348199,-0.07591678538660812,-0.07522253481918323,-0.07422028964068261,-0.07268332828854696,-0.0714074366419365
CSCO,-0.04518705840354764,-0.049270214965633385,-0.05358715600441033,-0.05658489845478709,-0.05942637814840096,-0.061036980358741943,-0.06383088854682084,-0.06756706429814385,-0.07134327934011025
TSLA,-0.04615341682850055,-0.04753638287301859,-0.04879102769615895,-0.04971625985211692,-0.05053580291140297,-0.05107623513405474,-0.05188897778331952,-0.05290227048268231,-0.05397210038502903
ADBE,-0.03140214307547823,-0.035360565698734525,-0.0397518429420477,-0.042830865524787654,-0.04642961321533273,-0.04876691548218465,-0.05212693677335145,-0.05637415767009385,-0.06011003242568086
ASML,-0.02586755988937961,-0.029319902167328882,-0.03261425003056606,-0.03510274549069581,-0.037703673560812945,-0.039441901821519965,-0.041487456467218686,-0.0440580372508621,-0.0467032837501713
PANW,-0.013343873257199934,-0.014991062723427484,-0.016737178037263156,-0.017836831082674143,-0.018897303203190663,-0.019512118327160932,-0.020558316189136283,-0.022011975963324104,-0.023655648863008083
ORCL,0.06685526191818147,0.05256668422035349,0.0379963135796359,0.025807660332689886,0.0145401475017648,0.007257995447356058,-0.0036172768980456405,-0.018648562604271224,-0.03098958597587631
ADSK,0.025420518218419064,0.026195257576903497,0.02689041104329487,0.027514025204979364,0.02810106818540542,0.028432586535245996,0.02892465960100271,0.029750944698572812,0.03037367374047456
STX,0.04537358571710043,0.04428664694182127,0.04314282106431189,0.042357854760773805,0.0419627858154924,0.04171810823667105,0.04101085332681992,0.04011676903883421,0.03904202451850547
LRCX,0.08747917020594517,0.08520010747165158,0.08287235920274072,0.08100317780072175,0.07939008787500584,0.07818194907358345,0.07653362449301426,0.07446448645260201,0.07257247144881918
KLAC,0.1949474079095797,0.1961975220457299,0.1973751517825772,0.1982673425324633,0.19928567282249518,0.19988951481750983,0.2007433873100724,0.20199998828677582,0.2030400022291157
INTU,0.22305242218493482,0.22470496678972968,0.2261813372628424,0.22755778939231786,0.22905682384054207,0.2301327836829771,0.23120321301632496,0.23242413736273138,0.23334033131479123
