Model,Split,RSE(window),R2-Score,MASE,SMAPE,MAPE,MSE,MAE,RMSE,RAE,Hist-RSE,Global-RSE,Corr
ARIMA,val,1.5485,-1.8465,0.4697,0.0280,0.0535,0.0770,0.1900,0.2343,1.5300,0.2356,2.1681,0.4301
ARIMA,test,1.6449,-2.2955,0.5484,0.0274,0.0523,0.1085,0.2199,0.2998,1.5738,0.2999,2.1731,0.2632
VAR,val,3.1567,-13.7394,0.6613,0.0386,0.0774,0.1865,0.3009,0.3949,2.9837,0.3501,3.3753,0.3807
VAR,test,3.4827,-22.1922,0.8548,0.0433,0.0847,0.3204,0.3702,0.5104,3.2461,0.4618,3.7351,0.1224
LSTM,val,1.6846,-4.1221,0.4389,0.0271,0.0549,0.0642,0.1858,0.2220,1.7716,0.2210,1.9805,0.5660
LSTM,test,1.7984,-3.3662,0.6415,0.0345,0.0684,0.1421,0.2630,0.3328,1.8302,0.3361,2.4874,0.2419
MTGNN,val,1.4834,-1.6258,0.4132,0.0242,0.0479,0.0614,0.1739,0.2200,1.4421,0.2099,1.9367,0.5236
MTGNN,test,1.6671,-2.8063,0.5461,0.0271,0.0530,0.1065,0.2250,0.2985,1.6661,0.2970,2.1531,0.2741
ARIMA+Transformer,val,1.6490,-2.6828,0.4450,0.0264,0.0520,0.0661,0.1848,0.2296,1.6214,0.2248,2.0094,0.5037
ARIMA+Transformer,test,1.6434,-2.8100,0.5199,0.0258,0.0505,0.0936,0.2127,0.2799,1.6327,0.2767,2.0184,0.3532
