firm_id,date,expo_topic_semiconductors,expo_topic_cloud,expo_topic_software,expo_topic_hardware,expo_topic_advertising,expo_topic_social,expo_topic_ecommerce,expo_topic_data,expo_topic_auto
AAPL,2013-09,0.099023,0.101757,0.121,0.124523,0.112569,0.109627,0.118079,0.107534,0.105888
AAPL,2013-12,0.105536,0.109848,0.11756,0.116281,0.106277,0.10418,0.118358,0.114563,0.107398
AAPL,2014-03,0.105269,0.110205,0.117669,0.115953,0.106166,0.104377,0.118738,0.11428,0.107343
AAPL,2014-06,0.105271,0.109576,0.117487,0.116054,0.106063,0.104489,0.119216,0.114399,0.107445
AAPL,2014-09,0.099582,0.099751,0.119679,0.125714,0.112083,0.110569,0.118134,0.108166,0.106323
AAPL,2014-12,0.105548,0.109189,0.118131,0.116097,0.105887,0.104379,0.118214,0.11421,0.108345
AAPL,2015-03,0.10553,0.108902,0.117994,0.116561,0.105871,0.104296,0.118402,0.114197,0.108248
AAPL,2015-06,0.10553,0.108902,0.117994,0.116561,0.105871,0.104296,0.118402,0.114197,0.108248
AAPL,2015-09,0.103119,0.100055,0.116532,0.128051,0.114336,0.106765,0.119217,0.105841,0.106085
AAPL,2015-12,0.105022,0.109707,0.117941,0.116345,0.106172,0.104242,0.118217,0.114469,0.107885
AAPL,2016-03,0.105022,0.109707,0.117941,0.116345,0.106172,0.104242,0.118217,0.114469,0.107885
AAPL,2016-06,0.106034,0.109356,0.117725,0.115603,0.106871,0.102994,0.11808,0.113862,0.109474
AAPL,2016-09,0.100436,0.100707,0.117978,0.127004,0.114159,0.10889,0.118837,0.106282,0.105707
AAPL,2016-12,0.105186,0.109732,0.117986,0.115948,0.106201,0.104225,0.11839,0.114456,0.107876
AAPL,2017-03,0.105186,0.109732,0.117986,0.115948,0.106201,0.104225,0.11839,0.114456,0.107876
AAPL,2017-06,0.105186,0.109732,0.117986,0.115948,0.106201,0.104225,0.11839,0.114456,0.107876
AAPL,2017-09,0.102757,0.1052075,0.117989495,0.1218285,0.1101935,0.106228,0.1184215,0.110203,0.107171506
AAPL,2017-12,0.105181,0.108683,0.119039,0.115711,0.106221,0.10437,0.118917,0.113913,0.107966
AAPL,2018-03,0.105148,0.10875,0.119036,0.115838,0.106276,0.104196,0.118875,0.113976,0.107906
AAPL,2018-06,0.105148,0.10875,0.119036,0.115838,0.106276,0.104196,0.118875,0.113976,0.107906
AAPL,2018-09,0.101255,0.100729,0.11611,0.129999,0.11374,0.109991,0.118226,0.105248,0.104702
AAPL,2018-12,0.104969,0.108824,0.118693,0.116065,0.106102,0.104472,0.118987,0.113748,0.108141
AAPL,2019-03,0.105002,0.108812,0.118791,0.11627,0.106035,0.10455,0.118895,0.113656,0.107989
AAPL,2019-06,0.105002,0.108812,0.118791,0.11627,0.106035,0.10455,0.118895,0.113656,0.107989
AAPL,2019-09,0.106738,0.104707,0.111262,0.136591,0.106173,0.109324,0.109446,0.105788,0.10997
AAPL,2019-12,0.104451,0.109039,0.118509,0.116111,0.105898,0.104707,0.119058,0.114147,0.10808
AAPL,2020-03,0.105872,0.109586,0.118315,0.116819,0.10582,0.10508,0.119692,0.111771,0.107044
AAPL,2020-06,0.105872,0.109586,0.118315,0.116819,0.10582,0.10508,0.119692,0.111771,0.107044
AAPL,2020-09,0.109085,0.107057,0.112592,0.136585,0.102836,0.10737,0.109089,0.105286,0.1101
AAPL,2020-12,0.105662,0.10958,0.118039,0.11715,0.105072,0.105421,0.119427,0.112136,0.107512
AAPL,2021-03,0.105662,0.10958,0.118039,0.11715,0.105072,0.105421,0.119427,0.112136,0.107512
AAPL,2021-06,0.105662,0.10958,0.118039,0.11715,0.105072,0.105421,0.119427,0.112136,0.107512
AAPL,2021-09,0.108208,0.103008,0.109723,0.135254,0.106659,0.108361,0.109651,0.108181,0.110954
AAPL,2021-12,0.105711,0.109549,0.118163,0.117215,0.105154,0.105612,0.119013,0.11202,0.107563
AAPL,2022-03,0.105234,0.109539,0.117868,0.117348,0.105264,0.105307,0.119468,0.112392,0.10758
AAPL,2022-06,0.105234,0.109539,0.117868,0.117348,0.105264,0.105307,0.119468,0.112392,0.10758
AAPL,2022-09,0.105334,0.106185,0.112584,0.136156,0.108138,0.108728,0.109296,0.105354,0.108225
AAPL,2022-12,0.105454,0.10974,0.117676,0.117556,0.105173,0.10513,0.11937,0.112407,0.107494
AAPL,2023-03,0.105454,0.10974,0.117676,0.117556,0.105173,0.10513,0.11937,0.112407,0.107494
AAPL,2023-06,0.104308,0.106826,0.119086,0.116483,0.106813,0.103811,0.121429,0.113438,0.107806
AAPL,2023-09,0.105114505,0.1059385,0.1157895,0.1264405,0.107176,0.106445506,0.115593,0.1095125,0.10799
AAPL,2023-12,0.102876,0.105714,0.118428,0.116138,0.109028,0.104962,0.124256,0.11265,0.105947
AAPL,2024-03,0.102987,0.105771,0.118286,0.116262,0.109118,0.105139,0.12432,0.112569,0.105548
AAPL,2024-06,0.102497,0.105372,0.1197,0.115778,0.109006,0.104134,0.124659,0.112879,0.105976
AAPL,2024-09,0.106122,0.106454,0.112909,0.135794,0.106387,0.107584,0.109532,0.105819,0.109397
AAPL,2024-12,0.102497,0.105372,0.1197,0.115778,0.109006,0.104134,0.124659,0.112879,0.105976
AAPL,2025-03,0.102748,0.105482,0.118987,0.115762,0.109153,0.103804,0.125715,0.112427,0.105922
AAPL,2025-06,0.102819,0.105642,0.11893,0.116088,0.109523,0.103797,0.125008,0.112595,0.105598
AAPL,2025-09,0.105697,0.105751,0.112591,0.135833,0.107515,0.107011,0.1093,0.106101,0.110199
AAPL,2025-12,0.102556,0.105411,0.119034,0.11585,0.109931,0.103959,0.125568,0.112177,0.105515
ADBE,2013-09,0.110178,0.106292,0.126397,0.111687,0.112063,0.096871,0.114602,0.112933,0.108977
ADBE,2013-12,0.112825,0.109009,0.122993,0.115472,0.114995,0.101747,0.107799,0.106563,0.108597
ADBE,2014-03,0.110595,0.106008,0.127233,0.11251,0.111157,0.095926,0.114705,0.112852,0.109014
ADBE,2014-06,0.110619,0.106243,0.125916,0.113049,0.111309,0.096879,0.114822,0.11269,0.108472
ADBE,2014-09,0.110619,0.106243,0.125916,0.113049,0.111309,0.096879,0.114822,0.11269,0.108472
ADBE,2014-12,0.111219,0.109925,0.123389,0.114856,0.116385,0.103097,0.10774,0.10611,0.107279
ADBE,2015-03,0.108927,0.108548,0.127628,0.110448,0.111061,0.097795,0.115457,0.11239,0.107745
ADBE,2015-06,0.108927,0.108548,0.127628,0.110448,0.111061,0.097795,0.115457,0.11239,0.107745
ADBE,2015-09,0.109098,0.108806,0.127554,0.110561,0.110888,0.098138,0.115265,0.111949,0.107741
ADBE,2015-12,0.111746,0.109659,0.122978,0.114825,0.115403,0.103217,0.108054,0.106624,0.107494
ADBE,2016-03,0.109738,0.107252,0.125325,0.109139,0.112682,0.09792,0.115198,0.114377,0.108368
ADBE,2016-06,0.109738,0.107252,0.125325,0.109139,0.112682,0.09792,0.115198,0.114377,0.108368
ADBE,2016-09,0.109738,0.107252,0.125325,0.109139,0.112682,0.09792,0.115198,0.114377,0.108368
ADBE,2016-12,0.112154,0.109527,0.123271,0.114777,0.115475,0.103388,0.107985,0.106243,0.107179
ADBE,2017-03,0.109141,0.107177,0.126107,0.109169,0.113036,0.097923,0.115347,0.114043,0.108057
ADBE,2017-06,0.109141,0.107177,0.126107,0.109169,0.113036,0.097923,0.115347,0.114043,0.108057
ADBE,2017-09,0.109141,0.107177,0.126107,0.109169,0.113036,0.097923,0.115347,0.114043,0.108057
ADBE,2017-12,0.112391,0.109624,0.122032,0.113966,0.116336,0.103601,0.108228,0.106138,0.107684
ADBE,2018-03,0.109456,0.106249,0.124579,0.109123,0.113324,0.098533,0.115116,0.114889,0.10873
ADBE,2018-06,0.109456,0.106249,0.124579,0.109123,0.113324,0.098533,0.115116,0.114889,0.10873
ADBE,2018-09,0.109456,0.106249,0.124579,0.109123,0.113324,0.098533,0.115116,0.114889,0.10873
ADBE,2018-12,0.11127,0.111523,0.122258,0.112576,0.116662,0.104536,0.107746,0.106833,0.106596
ADBE,2019-03,0.108462,0.105406,0.125643,0.108901,0.113926,0.09884,0.115785,0.115213,0.107823
ADBE,2019-06,0.108462,0.105406,0.125643,0.108901,0.113926,0.09884,0.115785,0.115213,0.107823
ADBE,2019-09,0.108462,0.105406,0.125643,0.108901,0.113926,0.09884,0.115785,0.115213,0.107823
ADBE,2019-12,0.110551,0.109411,0.12259,0.113903,0.116951,0.104555,0.108308,0.106784,0.106947
ADBE,2020-03,0.108462,0.105406,0.125643,0.108901,0.113926,0.09884,0.115785,0.115213,0.107823
ADBE,2020-06,0.108841,0.107669,0.1226,0.109887,0.113195,0.102046,0.114843,0.113967,0.106952
ADBE,2020-09,0.108841,0.107669,0.1226,0.109887,0.113195,0.102046,0.114843,0.113967,0.106952
ADBE,2020-12,0.111191,0.109192,0.121474,0.112998,0.116527,0.104454,0.108815,0.106157,0.109191
ADBE,2021-03,0.108639,0.107074,0.121804,0.110595,0.112938,0.102342,0.114055,0.114544,0.108009
ADBE,2021-06,0.108394,0.107054,0.122377,0.110674,0.112378,0.102539,0.11396,0.113942,0.108682
ADBE,2021-09,0.108533,0.107017,0.122324,0.110862,0.112899,0.103006,0.114078,0.113143,0.108138
ADBE,2021-12,0.110953,0.109452,0.120829,0.113888,0.115997,0.105204,0.107993,0.106184,0.1095
ADBE,2022-03,0.109117,0.10664,0.123408,0.111882,0.113499,0.102364,0.113412,0.11243,0.107248
ADBE,2022-06,0.108566,0.106993,0.122456,0.112599,0.112715,0.101617,0.114027,0.112992,0.108034
ADBE,2022-09,0.108551,0.106975,0.122413,0.112564,0.112709,0.101765,0.113924,0.112971,0.108128
ADBE,2022-12,0.110988,0.109489,0.120964,0.113754,0.11601,0.104857,0.108123,0.106186,0.10963
ADBE,2023-03,0.108551,0.106975,0.122413,0.112564,0.112709,0.101765,0.113924,0.112971,0.108128
ADBE,2023-06,0.108265,0.104014,0.124048,0.109708,0.116326,0.099795,0.114856,0.114549,0.108439
ADBE,2023-09,0.108265,0.104014,0.124048,0.109708,0.116326,0.099795,0.114856,0.114549,0.108439
ADBE,2023-12,0.104145,0.113782,0.119526,0.112329,0.115881,0.105996,0.107179,0.110346,0.110816
ADBE,2024-03,0.109643,0.105854,0.11875,0.112424,0.11771,0.098177,0.1133,0.114315,0.109827
ADBE,2024-06,0.109622,0.105722,0.118883,0.112398,0.117669,0.098251,0.11337,0.114379,0.109707
ADBE,2024-09,0.109507,0.105726,0.118817,0.112382,0.117755,0.098159,0.113414,0.114489,0.109752
ADBE,2024-12,0.104437,0.113156,0.12105,0.111731,0.115299,0.105823,0.107337,0.10969,0.111478
ADBE,2025-03,0.109352,0.105211,0.119596,0.112426,0.117515,0.097587,0.113318,0.114444,0.110552
ADBE,2025-06,0.109512,0.105574,0.118737,0.112553,0.118014,0.098328,0.113407,0.114248,0.109627
ADBE,2025-09,0.109373,0.105575,0.118687,0.112526,0.118095,0.098237,0.113462,0.11436,0.109684
ADBE,2025-12,0.108181,0.109782,0.116322,0.114754,0.116777,0.108477,0.111197,0.105966,0.108542
ADI,2013-09,0.104989,0.108308,0.11741,0.109588,0.108544,0.104518,0.123958,0.115623,0.107061
ADI,2013-12,0.123067,0.104819,0.106961,0.120835,0.112908,0.092491,0.113523,0.110899,0.114497
ADI,2014-03,0.105134,0.107705,0.116615,0.110635,0.11031,0.105537,0.122917,0.115434,0.105712
ADI,2014-06,0.105849,0.108923,0.11733,0.109773,0.108561,0.104215,0.122782,0.11641,0.106156
ADI,2014-09,0.105663,0.107851,0.117835,0.109858,0.108295,0.103613,0.123296,0.11646,0.107129
ADI,2014-12,0.122933,0.104704,0.107409,0.120804,0.112552,0.092719,0.113457,0.11083,0.114592
ADI,2015-03,0.113543,0.106059,0.112201,0.11578,0.110603,0.101688,0.118139,0.115494,0.106494
ADI,2015-06,0.106283,0.108619,0.117926,0.11038,0.107392,0.102873,0.12242,0.117356,0.106752
ADI,2015-09,0.105834,0.108365,0.11775,0.110524,0.107019,0.102795,0.123516,0.116948,0.107248
ADI,2015-12,0.128425,0.101776,0.106183,0.128127,0.112006,0.093856,0.107706,0.108498,0.113423
ADI,2016-03,0.106289,0.108811,0.1178,0.110468,0.108108,0.10377,0.122635,0.115722,0.106395
ADI,2016-06,0.106744,0.109346,0.118348,0.110149,0.106528,0.102874,0.123164,0.115889,0.106958
ADI,2016-09,0.109317,0.109494,0.118144,0.110521,0.106289,0.100951,0.121789,0.11566,0.107834
ADI,2016-12,0.128362,0.103448,0.108089,0.126831,0.108231,0.094562,0.107606,0.108556,0.114314
ADI,2017-03,0.111348,0.108711,0.116741,0.110819,0.106846,0.09957,0.120787,0.116115,0.109063
ADI,2017-06,0.111722,0.108139,0.118243,0.111376,0.106554,0.100253,0.120737,0.11458,0.108396
ADI,2017-09,0.11197,0.107982,0.118784,0.110992,0.10683,0.099953,0.12065,0.114724,0.108115
ADI,2017-12,0.128475,0.102899,0.107419,0.128423,0.108773,0.095247,0.105404,0.108815,0.114544
ADI,2018-03,0.110879,0.107265,0.118885,0.111093,0.106327,0.099202,0.120228,0.117557,0.108564
ADI,2018-06,0.110366,0.107063,0.121385,0.11078,0.105285,0.09939,0.120212,0.116894,0.108625
ADI,2018-09,0.111721,0.106614,0.121789,0.110854,0.10553,0.098228,0.120299,0.115611,0.109355
ADI,2018-12,0.129757,0.10453,0.10538,0.129277,0.107754,0.09326,0.106262,0.10872,0.115059
ADI,2019-03,0.11069,0.107165,0.121475,0.110941,0.105662,0.09955,0.11983,0.115702,0.108983
ADI,2019-06,0.11055,0.107379,0.121449,0.11088,0.105868,0.099586,0.120108,0.115281,0.1089
ADI,2019-09,0.110577,0.107106,0.121602,0.110962,0.105635,0.099574,0.120306,0.115428,0.10881
ADI,2019-12,0.129793,0.103293,0.103839,0.130135,0.108283,0.092363,0.105933,0.108074,0.118286
ADI,2020-03,0.106631,0.107896,0.119856,0.110781,0.106579,0.10156,0.122564,0.116646,0.107487
ADI,2020-06,0.107027,0.112343,0.11598,0.113203,0.104693,0.101654,0.121153,0.114,0.109947
ADI,2020-09,0.10781,0.11021,0.116388,0.113595,0.104018,0.101298,0.121194,0.116311,0.109175
ADI,2020-12,0.129569,0.102577,0.104767,0.129879,0.110739,0.090299,0.106518,0.111835,0.113817
ADI,2021-03,0.108342,0.109968,0.117504,0.113169,0.103951,0.101285,0.121129,0.115749,0.108904
ADI,2021-06,0.108599,0.109673,0.11799,0.113214,0.103778,0.10087,0.121403,0.115989,0.108483
ADI,2021-09,0.108599,0.109673,0.11799,0.113214,0.103778,0.10087,0.121403,0.115989,0.108483
ADI,2021-12,0.130318,0.103601,0.103976,0.129903,0.109976,0.09101,0.106604,0.111006,0.113605
ADI,2022-03,0.11018,0.10845,0.11716,0.11375,0.103712,0.100302,0.120551,0.116533,0.109363
ADI,2022-06,0.115706,0.107122,0.115315,0.115991,0.103931,0.097497,0.120589,0.115366,0.108485
ADI,2022-09,0.116037,0.107428,0.115517,0.116136,0.104101,0.096967,0.119248,0.115959,0.108607
ADI,2022-12,0.129572,0.101955,0.104598,0.130606,0.111132,0.091668,0.106015,0.11079,0.113664
ADI,2023-03,0.115703,0.10726,0.11662,0.115391,0.104645,0.095999,0.12044,0.115344,0.108599
ADI,2023-06,0.115089,0.108584,0.117679,0.113634,0.106544,0.09792,0.118829,0.113874,0.107847
ADI,2023-09,0.11529,0.107587,0.118793,0.113501,0.10453,0.09716,0.118649,0.115686,0.108804
ADI,2023-12,0.128806,0.102658,0.103861,0.131845,0.11074,0.092013,0.106147,0.110211,0.113718
ADI,2024-03,0.118737,0.106359,0.115863,0.114779,0.105191,0.09693,0.118087,0.114778,0.109276
ADI,2024-06,0.118641,0.106555,0.115746,0.114678,0.105263,0.097371,0.118039,0.114588,0.109117
ADI,2024-09,0.118641,0.106555,0.115746,0.114678,0.105263,0.097371,0.118039,0.114588,0.109117
ADI,2024-12,0.130317,0.105026,0.102384,0.131657,0.109408,0.092744,0.105139,0.110288,0.113037
ADI,2025-03,0.111093,0.10674,0.118761,0.113604,0.105536,0.097836,0.122267,0.113956,0.110208
ADI,2025-06,0.111714,0.107057,0.118298,0.113949,0.105063,0.097629,0.122687,0.113923,0.10968
ADI,2025-09,0.111714,0.107057,0.118298,0.113949,0.105063,0.097629,0.122687,0.113923,0.10968
ADI,2025-12,0.129594,0.105024,0.102145,0.13181,0.109532,0.092504,0.105582,0.110493,0.113316
ADSK,2013-09,0.106551,0.107029,0.113733,0.113542,0.110696,0.099225,0.124557,0.115347,0.109321
ADSK,2013-12,0.104548,0.105877,0.116216,0.113356,0.111286,0.098862,0.124895,0.115705,0.109255
ADSK,2014-03,0.113234,0.102813,0.121651,0.115473,0.111923,0.09787,0.114811,0.112421,0.109804
ADSK,2014-06,0.104272,0.107715,0.11742,0.113263,0.110573,0.10034,0.123715,0.115793,0.106909
ADSK,2014-09,0.103806,0.105615,0.117171,0.113858,0.111916,0.098827,0.125007,0.115732,0.108068
ADSK,2014-12,0.105514,0.104371,0.116056,0.112091,0.112242,0.099217,0.126151,0.114133,0.110225
ADSK,2015-03,0.114137,0.101316,0.123462,0.116431,0.110578,0.096707,0.114714,0.112705,0.10995
ADSK,2015-06,0.104861,0.104586,0.115848,0.112832,0.111351,0.098856,0.125868,0.114353,0.111445
ADSK,2015-09,0.101165,0.104197,0.119474,0.113014,0.112889,0.101127,0.127927,0.114001,0.106206
ADSK,2015-12,0.102764,0.106496,0.121361,0.113748,0.110115,0.101777,0.126547,0.114419,0.102772
ADSK,2016-03,0.114464,0.10194,0.123685,0.114806,0.110032,0.097524,0.114653,0.112029,0.110866
ADSK,2016-06,0.103032,0.107509,0.120836,0.114628,0.10997,0.100929,0.126221,0.114659,0.102218
ADSK,2016-09,0.102412,0.10727,0.12238,0.113224,0.111368,0.100767,0.125156,0.114674,0.102748
ADSK,2016-12,0.103503,0.107417,0.120399,0.113962,0.110341,0.101033,0.126114,0.11372,0.103509
ADSK,2017-03,0.109207,0.101446,0.118456,0.111617,0.112686,0.097211,0.116878,0.113539,0.11896
ADSK,2017-06,0.102951,0.103819,0.118198,0.112191,0.111723,0.099605,0.124526,0.114798,0.112189
ADSK,2017-09,0.101638,0.107331,0.12166,0.113311,0.110958,0.102158,0.125537,0.114506,0.1029
ADSK,2017-12,0.102256,0.107592,0.120793,0.113839,0.110658,0.102829,0.124898,0.113618,0.103518
ADSK,2018-03,0.108297,0.104529,0.113948,0.111338,0.112883,0.099458,0.117251,0.113762,0.118535
ADSK,2018-06,0.101681,0.108115,0.121501,0.113923,0.110795,0.102267,0.124101,0.114294,0.103322
ADSK,2018-09,0.101931,0.106815,0.121389,0.114059,0.111193,0.101882,0.124811,0.114766,0.103154
ADSK,2018-12,0.102955,0.109228,0.121441,0.113762,0.110217,0.102652,0.123907,0.113596,0.102241
ADSK,2019-03,0.110431,0.106069,0.114517,0.110732,0.111058,0.096911,0.116068,0.114645,0.119568
ADSK,2019-06,0.103517,0.103763,0.116748,0.113626,0.112675,0.100439,0.123476,0.115587,0.11017
ADSK,2019-09,0.104337,0.103988,0.117019,0.113574,0.112754,0.100168,0.123073,0.115393,0.109694
ADSK,2019-12,0.104761,0.103901,0.116494,0.113727,0.112633,0.100352,0.123337,0.114771,0.110024
