date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,ADBE,-0.011523086658287718,20,0,0.0,0.0,26,18.14
2014-02,ADBE,0.1594863802285893,1,0,0.0,0.0,28,18.14
2014-03,ADBE,-0.04210985728262584,10,0,0.0,0.0,23,17.14
2014-04,ADBE,-0.06160631835512387,8,0,0.0,0.0,23,17.21
2014-05,ADBE,0.04619877374392489,15,0,0.0,0.0,21,16.86
2014-06,ADBE,0.12116516244025721,23,0,0.0,0.0,23,18.0
2014-07,ADBE,-0.04297955478329085,21,0,0.0,0.0,19,19.29
2014-08,ADBE,0.038267170048792876,5,0,0.0,0.0,18,17.86
2014-09,ADBE,-0.037691224297085046,9,0,0.0,0.0,20,17.64
2014-10,ADBE,0.013441252671776649,19,0,0.0,0.0,20,18.14
2014-11,ADBE,0.050770071579429255,7,0,0.0,0.0,15,18.36
2014-12,ADBE,-0.013300805549328332,12,0,0.0,0.0,21,17.79
2015-01,ADBE,-0.03535075381989217,20,0,0.0,0.0,20,17.21
2015-02,ADBE,0.12790534110944862,8,0,0.0,0.0,16,17.07
2015-03,ADBE,-0.06523383226616652,4,0,0.0,0.0,20,17.0
2015-04,ADBE,0.028671829147794314,18,0,0.0,0.0,17,17.0
2015-05,ADBE,0.03983695604200732,11,0,0.0,0.0,14,17.07
2015-06,ADBE,0.024276215542318846,21,0,0.0,0.0,18,16.36
2015-07,ADBE,0.012097218882812122,20,0,0.0,0.0,20,16.71
2015-08,ADBE,-0.041712382705849205,10,0,0.0,0.0,17,15.43
2015-09,ADBE,0.04645540969907058,8,0,0.0,0.0,18,15.64
2015-10,ADBE,0.07832646978585367,25,1,0.998,0.0,18,16.36
2015-11,ADBE,0.03158126896807145,10,0,0.0,0.0,14,16.36
2015-12,ADBE,0.02711571596062501,18,0,0.0,0.0,20,16.36
2016-01,ADBE,-0.05120294936109304,46,0,0.0,0.0,19,15.93
