date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,ADI,-0.045681927469425454,20,0,0.0,0.0,65,18.14
2014-02,ADI,0.05282794347472963,11,0,0.0,0.0,70,18.14
2014-03,ADI,0.05332339660383845,6,0,0.0,0.0,69,17.14
2014-04,ADI,-0.03481386321881952,6,0,0.0,0.0,72,17.21
2014-05,ADI,0.021251593850456496,12,0,0.0,0.0,69,16.86
2014-06,ADI,0.03951878444387735,24,0,0.0,0.0,67,18.0
2014-07,ADI,-0.0821159022055088,4,0,0.0,0.0,75,19.29
2014-08,ADI,0.030021937801608,7,0,0.0,0.0,72,17.86
2014-09,ADI,-0.031885879832822206,16,0,0.0,0.0,74,17.64
2014-10,ADI,0.010009768118150575,23,0,0.0,0.0,73,18.14
2014-11,ADI,0.10116795560763459,9,0,0.0,0.0,72,18.36
2014-12,ADI,0.01610599223993958,10,0,0.0,0.0,75,17.79
2015-01,ADI,-0.05508654683615044,25,0,0.0,0.0,73,17.21
2015-02,ADI,0.12339256166239632,7,0,0.0,0.0,80,17.07
2015-03,ADI,0.08345766087528284,6,0,0.0,0.0,78,17.0
2015-04,ADI,-0.01841272090913537,9,0,0.0,0.0,75,17.0
2015-05,ADI,0.09896489178239176,7,0,0.0,0.0,75,17.07
2015-06,ADI,-0.04978812624546658,15,0,0.0,0.0,80,16.36
2015-07,ADI,-0.09129117668562914,11,0,0.0,0.0,95,16.71
2015-08,ADI,-0.04234525309538417,10,0,0.0,0.0,85,15.43
2015-09,ADI,0.01789075442358712,10,0,0.0,0.0,88,15.64
2015-10,ADI,0.06576849379022942,7,0,0.0,0.0,80,16.36
2015-11,ADI,0.025116577773568904,10,0,0.0,0.0,79,16.36
2015-12,ADI,-0.10238508759537401,6,0,0.0,0.0,80,16.36
2016-01,ADI,-0.02002549937116993,15,0,0.0,0.0,87,15.93
2016-02,ADI,-0.01615329810896815,5,0,0.0,0.0,82,16.14
2016-03,ADI,0.12619522234902103,4,0,0.0,0.0,86,16.21
2016-04,ADI,-0.048487900665788675,6,0,0.0,0.0,84,16.21
2016-05,ADI,0.03870732185624859,21,0,0.0,0.0,79,17.0
2016-06,ADI,-0.024759618159361896,10,0,0.0,0.0,78,16.14
2016-07,ADI,0.12694232008955142,3,0,0.0,0.0,83,15.21
2016-08,ADI,-0.01989660827877593,7,0,0.0,0.0,76,14.79
2016-09,ADI,0.03703761333970612,6,0,0.0,0.0,75,16.07
2016-10,ADI,-0.005430405286999562,11,0,0.0,0.0,80,17.0
2016-11,ADI,0.15819046412002602,12,0,0.0,0.0,84,17.93
2016-12,ADI,-0.016277530847206068,7,0,0.0,0.0,86,17.21
2017-01,ADI,0.03194712056001903,11,0,0.0,0.0,82,17.64
2017-02,ADI,0.09327442985677536,10,0,0.0,0.0,95,18.14
2017-03,ADI,0.005708569220429283,6,0,0.0,0.0,98,19.21
2017-04,ADI,-0.07016517658627863,15,0,0.0,0.0,95,19.07
2017-05,ADI,0.12545987616022813,7,0,0.0,0.0,91,19.36
2017-06,ADI,-0.0928169437122548,14,0,0.0,0.0,85,20.14
2017-07,ADI,0.02129037861918981,14,0,0.0,0.0,89,20.0
2017-08,ADI,0.05897928006062658,15,0,0.0,0.0,85,19.0
2017-09,ADI,0.029879377205772384,32,0,0.0,0.0,78,19.79
2017-10,ADI,0.06534398166908151,10,1,0.997,0.0,82,20.64
2017-11,ADI,-0.0568455848298669,11,1,0.997,0.0,82,22.0
2017-12,ADI,0.03936987394909219,9,0,0.0,0.0,79,20.64
2018-01,ADI,0.032012079774283775,15,0,0.0,0.0,82,21.21
2018-02,ADI,-0.018828888208596184,12,0,0.0,0.0,83,21.64
2018-03,ADI,0.010870998177484603,7,0,0.0,0.0,85,21.07
2018-04,ADI,-0.03649251562442779,12,1,0.996,0.0,87,21.0
2018-05,ADI,0.1125355797042995,12,0,0.0,0.0,84,20.5
2018-06,ADI,-0.012965565115627187,12,1,0.997,0.0,75,19.71
2018-07,ADI,0.007027889153309985,14,0,0.0,0.0,76,19.5
2018-08,ADI,0.028188052225089466,8,0,0.0,0.0,79,19.29
2018-09,ADI,-0.06013963905654551,11,0,0.0,0.0,79,20.29
2018-10,ADI,-0.09463549530838544,11,1,0.995,0.0,86,21.07
2018-11,ADI,0.0980765507576391,9,1,0.995,0.0,81,21.29
2018-12,ADI,-0.06122303341150892,9,0,0.0,0.0,75,20.07
2019-01,ADI,0.1518119672361442,15,0,0.0,0.0,76,20.43
2019-02,ADI,0.08193398639270444,13,1,0.995,0.0,80,21.64
2019-03,ADI,-0.010757409850857491,11,0,0.0,0.0,78,21.64
2019-04,ADI,0.10420821895192822,4,1,0.994,0.0,78,21.14
2019-05,ADI,-0.16878860003922458,7,0,0.0,0.0,72,20.86
2019-06,ADI,0.17464981766422083,6,0,0.0,0.0,72,20.64
2019-07,ADI,0.04066629818210221,9,0,0.0,0.0,78,20.71
2019-08,ADI,-0.06495844481546531,7,0,0.0,0.0,73,20.36
2019-09,ADI,0.02241006471718099,9,0,0.0,0.0,74,21.43
2019-10,ADI,-0.04564571962771846,10,0,0.0,0.0,72,21.79
2019-11,ADI,0.059270345582911776,3,0,0.0,0.0,73,22.43
2019-12,ADI,0.05214702574629304,5,0,0.0,0.0,70,20.93
2020-01,ADI,-0.07210913945030306,16,0,0.0,0.0,74,25.93
2020-02,ADI,-0.006377915182325777,13,0,0.0,0.0,73,25.07
2020-03,ADI,-0.17343772045049777,7,0,0.0,0.0,73,20.14
2020-04,ADI,0.2225320122490364,11,0,0.0,0.0,80,20.79
2020-05,ADI,0.030565557533303922,5,1,0.994,0.0,72,22.21
2020-06,ADI,0.09169229679144064,7,0,0.0,0.0,70,21.93
2020-07,ADI,-0.06351927069453489,8,2,0.97,0.0,67,21.71
2020-08,ADI,0.01767512096003898,6,4,0.712,0.0089,70,20.71
2020-09,ADI,0.00396743176715697,13,1,0.844,0.1111,78,22.07
2020-10,ADI,0.015333398388687192,3,0,0.0,0.0,73,20.5
2020-11,ADI,0.1733736199939715,10,3,0.8067,0.0,71,19.36
2020-12,ADI,0.06219435454574129,3,2,0.0,0.0,76,19.07
2021-01,ADI,0.0017079474580441456,19,1,1.0,0.0,68,18.93
2021-02,ADI,0.05762563709242663,10,18,0.5222,0.0,73,20.0
2021-03,ADI,-0.00048538782197549146,10,31,0.965,0.0086,77,19.79
2021-04,ADI,-0.012380718986668371,8,27,0.964,0.0058,75,19.36
2021-05,ADI,0.07469287592022122,6,31,0.7434,0.0,72,19.64
2021-06,ADI,0.05035195858081609,14,49,0.9368,0.0,74,20.21
2021-07,ADI,-0.027532366232910666,1,11,0.9085,0.0,70,19.43
2021-08,ADI,-0.026699566734869395,13,36,0.7051,0.0,77,18.29
2021-09,ADI,0.03214247091281197,7,30,0.8358,0.0,73,19.5
2021-10,ADI,0.035885208926969,5,25,0.736,0.0,69,19.64
2021-11,ADI,0.03896458221555177,13,32,0.7389,0.0,72,20.79
2021-12,ADI,-0.024854358449771796,5,62,0.9322,0.0,68,19.29
2022-01,ADI,-0.06356004841994778,14,31,0.8244,0.0055,74,24.86
2022-02,ADI,-0.02244325110313483,13,93,0.9081,0.0,81,26.0
2022-03,ADI,0.03553635501341401,9,69,0.9362,0.0042,86,27.36
2022-04,ADI,-0.06538326695309249,6,67,0.8742,0.0072,79,26.71
2022-05,ADI,0.09081504647415439,19,122,0.9,0.0,81,25.5
2022-06,ADI,-0.1284434960813029,9,62,0.9054,0.0044,78,25.64
2022-07,ADI,0.17708289818882972,10,28,0.7705,0.0072,76,23.43
2022-08,ADI,-0.11880669951305811,6,39,0.3961,0.0061,78,22.79
2022-09,ADI,-0.0760206465753378,13,25,0.6889,0.0,81,24.5
2022-10,ADI,0.023539465316896102,17,27,0.7711,0.0,77,24.57
2022-11,ADI,0.2053716066477118,5,43,0.7483,0.0,79,25.79
2022-12,ADI,-0.04583822059423437,10,28,0.8708,0.007,76,25.86
2023-01,ADI,0.05001111792624413,16,18,0.8576,0.0121,80,27.43
2023-02,ADI,0.06998313944795553,7,50,0.8704,0.0,89,31.0
2023-03,ADI,0.07994692802951109,14,52,0.8993,0.0129,83,30.57
2023-04,ADI,-0.0879222388199139,4,30,0.9768,0.0075,88,30.14
2023-05,ADI,-0.012174664695060566,7,43,0.6837,0.0058,83,31.29
2023-06,ADI,0.09634748556000305,15,18,0.8374,0.0,87,32.64
2023-07,ADI,0.02913471851726812,11,19,0.9633,0.0,77,30.57
2023-08,ADI,-0.0889590779131525,10,28,0.6981,0.0,78,29.57
