date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,AMAT,-0.04864283122683488,12,0,0.0,0.0,72,18.14
2014-02,AMAT,0.12722941388705933,5,0,0.0,0.0,70,18.14
2014-03,AMAT,0.08274234518135914,7,0,0.0,0.0,71,17.14
2014-04,AMAT,-0.06660145259025829,15,0,0.0,0.0,68,17.21
2014-05,AMAT,0.059286798451359424,11,0,0.0,0.0,71,16.86
2014-06,AMAT,0.12246864294093274,31,0,0.0,0.0,73,18.0
2014-07,AMAT,-0.07051040507105422,4,0,0.0,0.0,95,19.29
2014-08,AMAT,0.10257664649540343,9,0,0.0,0.0,70,17.86
2014-09,AMAT,-0.06065666652163537,6,0,0.0,0.0,80,17.64
2014-10,AMAT,0.022212116890254707,8,0,0.0,0.0,76,18.14
2014-11,AMAT,0.08872734863128029,8,0,0.0,0.0,73,18.36
2014-12,AMAT,0.04080481602424069,7,0,0.0,0.0,68,17.79
2015-01,AMAT,-0.08346705858954695,19,0,0.0,0.0,66,17.21
2015-02,AMAT,0.09675995245814328,3,0,0.0,0.0,69,17.07
2015-03,AMAT,-0.09565478843545416,4,0,0.0,0.0,64,17.0
2015-04,AMAT,-0.1227838336874778,9,0,0.0,0.0,68,17.0
2015-05,AMAT,0.01718048502330971,13,0,0.0,0.0,66,17.07
2015-06,AMAT,-0.04045383760022281,13,0,0.0,0.0,69,16.36
2015-07,AMAT,-0.0967738256626498,7,1,0.71,0.0,64,16.71
2015-08,AMAT,-0.07315668598832947,4,0,0.0,0.0,64,15.43
2015-09,AMAT,-0.08161797994685294,8,0,0.0,0.0,71,15.64
2015-10,AMAT,0.1415930503256282,5,1,0.71,0.0,70,16.36
2015-11,AMAT,0.11926044276019265,3,0,0.0,0.0,68,16.36
2015-12,AMAT,0.00031080734852473313,7,0,0.0,0.0,60,16.36
2016-01,AMAT,-0.05463287120084548,25,0,0.0,0.0,64,15.93
