date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,AMD,-0.11369504698016675,16,0,0.0,0.0,50,18.14
2014-02,AMD,0.08163264313125462,12,0,0.0,0.0,46,18.14
2014-03,AMD,0.0808625842722912,10,0,0.0,0.0,42,17.14
2014-04,AMD,0.019950104523650314,1,0,0.0,0.0,43,17.21
2014-05,AMD,-0.022004926462152907,8,0,0.0,0.0,42,16.86
2014-06,AMD,0.047500014305114746,8,0,0.0,0.0,43,18.0
2014-07,AMD,-0.06682576791550587,6,0,0.0,0.0,41,19.29
2014-08,AMD,0.06649615978410384,3,0,0.0,0.0,44,17.86
2014-09,AMD,-0.18225419102119078,7,0,0.0,0.0,42,17.64
2014-10,AMD,-0.17888566514971393,12,0,0.0,0.0,42,18.14
2014-11,AMD,-0.003571425226269853,7,0,0.0,0.0,46,18.36
2014-12,AMD,-0.043010712257996575,4,0,0.0,0.0,48,17.79
2015-01,AMD,-0.03745323602760009,11,0,0.0,0.0,45,17.21
2015-02,AMD,0.2101167221322302,4,0,0.0,0.0,41,17.07
2015-03,AMD,-0.13826361506207507,4,0,0.0,0.0,39,17.0
2015-04,AMD,-0.15671644247462468,2,0,0.0,0.0,42,17.0
2015-05,AMD,0.008849549119871458,3,0,0.0,0.0,41,17.07
2015-06,AMD,0.052631633983975634,5,0,0.0,0.0,42,16.36
2015-07,AMD,-0.19583338714307996,0,6,0.963,0.0178,45,16.71
2015-08,AMD,-0.0621761699635448,0,3,0.9957,0.0386,44,15.43
2015-09,AMD,-0.04972371105774864,1,11,0.9973,0.0054,39,15.64
2015-10,AMD,0.23255805249727524,5,8,0.9915,0.0102,39,16.36
2015-11,AMD,0.11320755777939628,2,5,0.9876,0.013,45,16.36
2015-12,AMD,0.21610170048018107,4,4,0.9965,0.0097,46,16.36
2016-01,AMD,-0.23344943017126596,6,6,0.9925,0.0128,37,15.93
2016-02,AMD,-0.027272700672307915,1,6,0.992,0.0155,37,16.14
2016-03,AMD,0.33177559108586396,2,10,0.9959,0.0213,36,16.21
2016-04,AMD,0.2456140600376484,4,6,0.9895,0.0067,35,16.21
2016-05,AMD,0.2873240093086673,4,4,0.9812,0.0432,39,17.0
2016-06,AMD,0.12472640556094361,5,8,0.995,0.0,41,16.14
2016-07,AMD,0.3346304108378966,3,8,0.9932,0.0108,38,15.21
2016-08,AMD,0.0787171940733451,6,6,0.9958,0.0,38,14.79
2016-09,AMD,-0.06621624887033095,2,10,0.9943,0.0,37,16.07
2016-10,AMD,0.046309721957696004,3,9,0.995,0.0059,38,17.0
2016-11,AMD,0.23236512087228345,3,5,0.9862,0.0214,38,17.93
2016-12,AMD,0.27272731164878405,1,6,0.9978,0.0137,42,17.21
2017-01,AMD,-0.08553794126779146,5,5,0.9936,0.0087,40,17.64
2017-02,AMD,0.3944069621720525,6,4,0.9948,0.0,48,18.14
2017-03,AMD,0.006224076926034661,3,6,0.9898,0.0,44,19.21
2017-04,AMD,-0.08591065179476587,0,6,0.9832,0.0,41,19.07
2017-05,AMD,-0.15864666015730178,1,6,0.9872,0.0,39,19.36
2017-06,AMD,0.11528150225443001,2,5,0.9972,0.0071,41,20.14
2017-07,AMD,0.09054488428598373,2,8,0.9925,0.0063,40,20.0
2017-08,AMD,-0.044819961209769166,6,7,0.9919,0.0,39,19.0
2017-09,AMD,-0.019230769230769273,1,0,0.0,0.0,37,19.79
2017-10,AMD,-0.13803923363779103,3,5,0.9942,0.0099,37,20.64
2017-11,AMD,-0.009099129197273514,5,7,0.989,0.0,42,22.0
2017-12,AMD,-0.05601474665935957,5,4,0.9955,0.0063,41,20.64
2018-01,AMD,0.3365758879399252,6,9,0.8302,0.0065,44,21.21
2018-02,AMD,-0.11863174247405883,1,13,0.4481,0.0134,37,21.64
2018-03,AMD,-0.17010731002015633,7,8,0.2985,0.0,36,21.07
2018-04,AMD,0.08258705551779344,2,10,0.9906,0.0,33,21.0
