date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,AVGO,0.03812873567343922,19,0,0.0,0.0,1,18.14
2014-02,AVGO,0.1292092661272124,14,0,0.0,0.0,1,18.14
2014-03,AVGO,0.04392254911496929,4,0,0.0,0.0,1,17.14
2014-04,AVGO,-0.009912787501862974,8,0,0.0,0.0,1,17.21
2014-05,AVGO,0.11291343498454753,14,0,0.0,0.0,2,16.86
2014-06,AVGO,0.01981035705468126,17,0,0.0,0.0,2,18.0
2014-07,AVGO,-0.033369838710507915,9,0,0.0,0.0,1,19.29
2014-08,AVGO,0.18319388131000003,10,0,0.0,0.0,2,17.86
2014-09,AVGO,0.05981230730706133,23,0,0.0,0.0,2,17.64
2014-10,AVGO,-0.004998966925578552,10,0,0.0,0.0,2,18.14
2014-11,AVGO,0.08289871718921704,16,0,0.0,0.0,2,18.36
2014-12,AVGO,0.07698064101615065,8,0,0.0,0.0,2,17.79
2015-01,AVGO,0.02645650984725867,10,0,0.0,0.0,2,17.21
2015-02,AVGO,0.24047446526550043,15,0,0.0,0.0,2,17.07
2015-03,AVGO,-0.005014804797454309,12,0,0.0,0.0,2,17.0
2015-04,AVGO,-0.07682295623637636,11,0,0.0,0.0,2,17.0
2015-05,AVGO,0.26685523349580653,18,0,0.0,0.0,3,17.07
2015-06,AVGO,-0.10224881468701019,10,0,0.0,0.0,3,16.36
2015-07,AVGO,-0.05594283886282414,5,0,0.0,0.0,3,16.71
2015-08,AVGO,0.006632393603509756,5,3,0.466,0.0,3,15.43
2015-09,AVGO,-0.007621036809713599,9,1,0.077,0.0,2,15.64
2015-10,AVGO,-0.011950526298312392,7,1,0.968,0.0,2,16.36
2015-11,AVGO,0.059449479954410966,6,2,0.209,0.0,2,16.36
2015-12,AVGO,0.11268680102818673,6,3,0.69,0.0,3,16.36
2016-01,AVGO,-0.07597738788890163,20,2,0.9955,0.0,2,15.93
2016-02,AVGO,0.0019447258427418568,3,7,0.7351,0.0065,4,16.14
2016-03,AVGO,0.1532430448858968,7,7,0.867,0.0141,4,16.21
2016-04,AVGO,-0.053510395345495176,9,2,0.9865,0.0147,3,16.21
2016-05,AVGO,0.05907391914745408,19,3,0.5337,0.0106,3,17.0
2016-06,AVGO,0.006737567441664094,5,1,1.0,0.0,4,16.14
2016-07,AVGO,0.04563066689994022,4,1,0.997,0.0249,2,15.21
2016-08,AVGO,0.08914641448904326,1,2,0.2685,0.0,3,14.79
2016-09,AVGO,-0.022106104542381932,11,2,0.995,0.0,4,16.07
2016-10,AVGO,-0.010007541708890066,6,6,0.8227,0.0187,2,17.0
2016-11,AVGO,0.0012334890569936086,2,4,0.7975,0.0266,3,17.93
2016-12,AVGO,0.03683516705094436,10,3,0.997,0.0036,4,17.21
2017-01,AVGO,0.13503699005871383,21,2,0.9965,0.0,4,17.64
2017-02,AVGO,0.05729307402041384,15,1,-0.226,0.0,4,18.14
2017-03,AVGO,0.03806947265458316,3,3,0.9793,0.0107,6,19.21
2017-04,AVGO,0.013022795994491299,7,3,0.9943,0.0352,4,19.07
2017-05,AVGO,0.08455226820253126,5,1,-0.226,0.0,5,19.36
2017-06,AVGO,-0.026849879358475826,13,2,1.0,0.0416,7,20.14
2017-07,AVGO,0.06290622957938319,5,0,0.0,0.0,5,20.0
2017-08,AVGO,0.021933465956331055,6,6,0.611,0.0115,6,19.0
2017-09,AVGO,-0.037806966794545094,9,1,0.993,0.0092,5,19.79
2017-10,AVGO,0.09255712888280798,6,5,0.829,0.0121,5,20.64
2017-11,AVGO,0.05316177511025155,1,5,0.7038,0.0,9,22.0
2017-12,AVGO,-0.0756996349274438,4,2,1.0,0.0216,8,20.64
2018-01,AVGO,-0.02812669190980721,5,3,0.9943,0.0314,6,21.21
2018-02,AVGO,-0.006329931747237838,8,3,0.5093,0.0,8,21.64
2018-03,AVGO,-0.04386093938869817,6,4,0.9853,0.0265,10,21.07
2018-04,AVGO,-0.012171735438782583,4,5,0.9952,0.0204,7,21.0
2018-05,AVGO,0.09872683596466625,2,2,0.6345,0.0174,6,20.5
2018-06,AVGO,-0.03741005400749231,14,5,0.9952,0.0,8,19.71
2018-07,AVGO,-0.07375564088309394,1,1,0.184,0.0,11,19.5
2018-08,AVGO,-0.012355243760710954,3,3,0.9947,0.052,8,19.29
2018-09,AVGO,0.12646650220130162,1,3,0.9873,0.0273,10,20.29
2018-10,AVGO,-0.08739085377428268,8,8,0.9888,0.0411,7,21.07
2018-11,AVGO,0.06228442318304195,3,2,0.9845,0.0096,7,21.29
2018-12,AVGO,0.07105841669220614,6,2,0.995,0.0209,9,20.07
2019-01,AVGO,0.06605613462216908,4,0,0.0,0.0,8,20.43
2019-02,AVGO,0.02650499290659125,2,7,0.9924,0.0361,7,21.64
2019-03,AVGO,0.0920614369035635,4,6,0.996,0.0274,10,21.64
2019-04,AVGO,0.06828591601064327,1,1,0.999,0.0,7,21.14
2019-05,AVGO,-0.20967336648231705,1,3,0.9947,0.0,8,20.86
2019-06,AVGO,0.14393571590898047,6,2,0.998,0.0505,10,20.64
2019-07,AVGO,0.01705781860506761,3,1,0.994,0.0,9,20.71
2019-08,AVGO,-0.02534581773232536,4,4,0.9963,0.0142,7,20.36
2019-09,AVGO,-0.02324510607520347,3,3,0.9947,0.0172,9,21.43
2019-10,AVGO,0.07054292463990586,7,3,0.9943,0.0222,7,21.79
2019-11,AVGO,0.07976758090504643,5,2,0.9975,0.0,9,22.43
2019-12,AVGO,-0.0006007059714602248,3,2,0.999,0.0695,9,20.93
