date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,GOOGL,0.05376958860677261,1,0,0.0,0.0,97,18.14
2014-02,GOOGL,0.029365697854954353,1,0,0.0,0.0,94,18.14
2014-03,GOOGL,-0.08319837410451691,0,0,0.0,0.0,93,17.14
2014-04,GOOGL,-0.041111954316327304,1,0,0.0,0.0,100,17.21
2014-05,GOOGL,0.06874437722865956,1,0,0.0,0.0,98,16.86
2014-06,GOOGL,0.02277619502291084,0,0,0.0,0.0,94,18.0
2014-07,GOOGL,-0.008757108103163547,0,0,0.0,0.0,87,19.29
2014-08,GOOGL,0.004848547111601098,0,0,0.0,0.0,93,17.86
2014-09,GOOGL,0.010388692957574941,0,0,0.0,0.0,85,17.64
2014-10,GOOGL,-0.03490763364182581,0,0,0.0,0.0,87,18.14
2014-11,GOOGL,-0.03308843475121104,1,0,0.0,0.0,79,18.36
2014-12,GOOGL,-0.033547018754937596,0,0,0.0,0.0,82,17.79
2015-01,GOOGL,0.012983783389649117,0,0,0.0,0.0,82,17.21
2015-02,GOOGL,0.04665620924497982,1,0,0.0,0.0,82,17.07
2015-03,GOOGL,-0.014094577371181582,0,0,0.0,0.0,79,17.0
2015-04,GOOGL,-0.010690524035928295,0,0,0.0,0.0,76,17.0
2015-05,GOOGL,-0.00628676428586894,2,0,0.0,0.0,73,17.07
2015-06,GOOGL,-0.009682287168444437,1,0,0.0,0.0,68,16.36
2015-07,GOOGL,0.2175026755994094,1,3,0.9937,0.0,71,16.71
2015-08,GOOGL,-0.014722820881296061,0,1,0.992,0.0,73,15.43
2015-09,GOOGL,-0.014587184091388927,0,1,0.997,0.0,75,15.64
2015-10,GOOGL,0.15511379192004093,0,5,0.5982,0.0,73,16.36
2015-11,GOOGL,0.03452699028947959,0,2,0.999,0.0,72,16.36
2015-12,GOOGL,0.019872915470051877,0,0,0.0,0.0,71,16.36
2016-01,GOOGL,-0.0214136111729345,3,1,1.0,0.0,63,15.93
2016-02,GOOGL,-0.05796290224721423,0,0,0.0,0.0,64,16.14
2016-03,GOOGL,0.06369059014756506,2,2,0.9955,0.0,63,16.21
2016-04,GOOGL,-0.07211947023831367,1,1,0.999,0.0,62,16.21
2016-05,GOOGL,0.057876806483617704,0,0,0.0,0.0,63,17.0
2016-06,GOOGL,-0.060519361947177885,1,1,0.998,0.0,59,16.14
2016-07,GOOGL,0.1248133553181161,1,0,0.0,0.0,57,15.21
2016-08,GOOGL,-0.0018828201338592088,2,0,0.0,0.0,58,14.79
2016-09,GOOGL,0.01799060544169917,1,0,0.0,0.0,57,16.07
2016-10,GOOGL,0.0072630844200820555,0,1,0.996,0.0,60,17.0
2016-11,GOOGL,-0.04200512095642861,0,0,0.0,0.0,56,17.93
2016-12,GOOGL,0.021356696358240557,1,0,0.0,0.0,55,17.21
2017-01,GOOGL,0.03500503802299826,6,0,0.0,0.0,55,17.64
2017-02,GOOGL,0.03016374561889723,0,0,0.0,0.0,53,18.14
2017-03,GOOGL,0.0033967947949924415,2,1,0.997,0.0,51,19.21
2017-04,GOOGL,0.0904930082893014,1,0,0.0,0.0,49,19.07
2017-05,GOOGL,0.0676782985613471,3,0,0.0,0.0,49,19.36
2017-06,GOOGL,-0.058160702104882334,1,0,0.0,0.0,45,20.14
2017-07,GOOGL,0.017016510951242347,0,0,0.0,0.0,45,20.0
2017-08,GOOGL,0.010301457863996166,2,0,0.0,0.0,42,19.0
2017-09,GOOGL,0.019345882327171937,1,0,0.0,0.0,45,19.79
2017-10,GOOGL,0.060921038608962697,0,1,0.996,0.0,47,20.64
2017-11,GOOGL,0.0030298745225820767,5,0,0.0,0.0,46,22.0
2017-12,GOOGL,0.016628485404334592,4,3,0.8487,0.0,45,20.64
2018-01,GOOGL,0.12228983281148453,8,0,0.0,0.0,43,21.21
2018-02,GOOGL,-0.06623126298062931,2,1,0.994,0.0,44,21.64
2018-03,GOOGL,-0.060493594281474716,0,2,0.993,0.0,41,21.07
2018-04,GOOGL,-0.01789540390228328,0,1,0.995,0.0,40,21.0
2018-05,GOOGL,0.07993479790340707,3,0,0.0,0.0,40,20.5
2018-06,GOOGL,0.026536371450877505,2,0,0.0,0.0,38,19.71
2018-07,GOOGL,0.0868145017489037,2,2,0.996,0.0,36,19.5
2018-08,GOOGL,0.003732019219281568,1,1,0.995,0.0,36,19.29
2018-09,GOOGL,-0.020068255361656684,1,1,0.983,0.0,36,20.29
2018-10,GOOGL,-0.09651392521902913,0,1,0.997,0.0,38,21.07
2018-11,GOOGL,0.01748622478482109,0,1,0.999,0.0,36,21.29
2018-12,GOOGL,-0.05829770870812645,2,2,0.9905,0.0,33,20.07
2019-01,GOOGL,0.07744791642895232,25,1,0.995,0.0,33,20.43
2019-02,GOOGL,0.000586350535682012,4,1,0.995,0.0,35,21.64
2019-03,GOOGL,0.04468497450098252,3,1,0.994,0.0,33,21.64
2019-04,GOOGL,0.01875296909319424,4,0,0.0,0.0,33,21.14
2019-05,GOOGL,-0.07711698130736366,4,1,0.996,0.0,33,20.86
2019-06,GOOGL,-0.021418802298155515,4,0,0.0,0.0,30,20.64
2019-07,GOOGL,0.12504615967817312,1,0,0.0,0.0,29,20.71
2019-08,GOOGL,-0.02271382118492915,2,1,0.95,0.0,28,20.36
2019-09,GOOGL,0.02571107016902041,1,0,0.0,0.0,29,21.43
2019-10,GOOGL,0.030840172699373225,1,0,0.0,0.0,31,21.79
2019-11,GOOGL,0.03597858604463,1,0,0.0,0.0,30,22.43
2019-12,GOOGL,0.027068483816174327,2,0,0.0,0.0,26,20.93
2020-01,GOOGL,0.06972605839508295,8,0,0.0,0.0,29,25.93
2020-02,GOOGL,-0.06527883485437824,1,0,0.0,0.0,31,25.07
2020-03,GOOGL,-0.13238732488290295,2,2,0.994,0.0,30,20.14
2020-04,GOOGL,0.15899980331106067,1,10,0.7268,0.0086,31,20.79
2020-05,GOOGL,0.06446876671496038,3,17,0.8598,0.0188,28,22.21
2020-06,GOOGL,-0.010791712037276135,0,7,0.7246,0.0,26,21.93
2020-07,GOOGL,0.049293100515213295,4,17,0.6504,0.0,25,21.71
2020-08,GOOGL,0.09515117312795729,0,11,0.9933,0.0055,26,20.71
2020-09,GOOGL,-0.1005996366227746,2,22,0.9665,0.0,28,22.07
2020-10,GOOGL,0.10269496133934308,2,35,0.9092,0.0,27,20.5
2020-11,GOOGL,0.08556976013271234,1,27,0.7776,0.0054,24,19.36
2020-12,GOOGL,-0.0010030354142182007,2,21,0.8291,0.011,23,19.07
2021-01,GOOGL,0.04263283154031261,2,45,0.8467,0.0,23,18.93
2021-02,GOOGL,0.10646502468213526,0,127,0.8128,0.0,23,20.0
2021-03,GOOGL,0.02008496313774666,2,455,0.4264,0.0,22,19.79
2021-04,GOOGL,0.14107978961862977,1,644,0.519,0.0131,24,19.36
2021-05,GOOGL,0.0014233731813324546,1,582,0.5336,0.0,22,19.64
2021-06,GOOGL,0.0360396515805812,1,865,0.6068,0.0,21,20.21
2021-07,GOOGL,0.1035062072271411,2,598,0.4813,0.0048,22,19.43
2021-08,GOOGL,0.07400908524093697,1,464,0.5114,0.0,21,18.29
2021-09,GOOGL,-0.07616923557510225,0,494,0.4207,0.0059,23,19.5
2021-10,GOOGL,0.1074987760073971,2,677,0.481,0.0,23,19.64
2021-11,GOOGL,-0.041531107698155934,3,464,0.5651,0.0077,23,20.79
2021-12,GOOGL,0.020821269054603242,1,571,0.5365,0.0,22,19.29
2022-01,GOOGL,-0.06591902479426093,4,599,0.5651,0.0,24,24.86
2022-02,GOOGL,-0.0018216939058477433,1,674,0.4497,0.0,27,26.0
2022-03,GOOGL,0.029694911717106587,0,621,0.3616,0.0,24,27.36
2022-04,GOOGL,-0.17946683225619386,1,612,0.425,0.0,25,26.71
2022-05,GOOGL,-0.0030453099570593167,0,479,0.4675,0.0,24,25.5
2022-06,GOOGL,-0.04218453660557897,1,576,0.4457,0.0049,25,25.64
2022-07,GOOGL,0.0675182489481414,2,698,0.3434,0.0,22,23.43
2022-08,GOOGL,-0.06963546892112638,3,481,0.4958,0.0,21,22.79
2022-09,GOOGL,-0.11615217918080867,1,470,0.5527,0.0,22,24.5
