date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,IBM,-0.05805853668738259,302,0,0.0,0.0,100,18.14
2014-02,IBM,0.048052957928018,68,0,0.0,0.0,100,18.14
2014-03,IBM,0.04523009573767278,124,0,0.0,0.0,94,17.14
2014-04,IBM,0.020676784432831052,105,0,0.0,0.0,94,17.21
2014-05,IBM,-0.061637932860431954,189,0,0.0,0.0,87,16.86
2014-06,IBM,-0.01103617256935241,185,0,0.0,0.0,86,18.0
2014-07,IBM,0.05737294152336503,80,0,0.0,0.0,91,19.29
2014-08,IBM,0.003287580934850265,114,0,0.0,0.0,81,17.86
2014-09,IBM,-0.0070071803091644735,98,0,0.0,0.0,88,17.64
2014-10,IBM,-0.13396183043036825,127,0,0.0,0.0,97,18.14
2014-11,IBM,-0.013564492674307704,129,0,0.0,0.0,85,18.36
2014-12,IBM,-0.0038970121665022894,114,0,0.0,0.0,77,17.79
2015-01,IBM,-0.04443992500596561,216,0,0.0,0.0,90,17.21
2015-02,IBM,0.05629108495293078,66,0,0.0,0.0,87,17.07
2015-03,IBM,-0.001939546746434817,96,0,0.0,0.0,83,17.0
2015-04,IBM,0.06722732483499905,98,0,0.0,0.0,85,17.0
2015-05,IBM,-0.009574682866799522,130,0,0.0,0.0,78,17.07
2015-06,IBM,-0.03394598140946292,116,0,0.0,0.0,82,16.36
2015-07,IBM,-0.004119248512317375,99,2,0.994,0.0271,78,16.71
2015-08,IBM,-0.08704245117348453,75,4,0.9935,0.0,74,15.43
2015-09,IBM,-0.011606891583370138,75,6,0.9925,0.012,79,15.64
2015-10,IBM,-0.0337311253503626,85,1,0.991,0.0094,79,16.36
2015-11,IBM,-0.0047116192058900275,48,3,0.994,0.0,77,16.36
2015-12,IBM,-0.0036518686168598435,47,4,0.9897,0.0194,66,16.36
2016-01,IBM,-0.09322749553756737,169,0,0.0,0.0,70,15.93
2016-02,IBM,0.050004076462347946,29,2,0.997,0.0126,80,16.14
2016-03,IBM,0.16764853922026024,37,1,0.999,0.0072,78,16.21
2016-04,IBM,-0.036381579803208774,36,4,0.995,0.0086,76,16.21
2016-05,IBM,0.05344635814454057,70,4,0.544,0.0056,73,17.0
2016-06,IBM,-0.0032211035933278342,51,1,0.994,0.0188,72,16.14
2016-07,IBM,0.05824220980907979,28,0,0.0,0.0,66,15.21
2016-08,IBM,-0.010833070297052827,34,1,0.982,0.0,68,14.79
2016-09,IBM,0.008446128411543796,22,0,0.0,0.0,73,16.07
2016-10,IBM,-0.03248350952074697,73,0,0.0,0.0,71,17.0
2016-11,IBM,0.055501581231383934,47,1,0.994,0.0,72,17.93
2016-12,IBM,0.03252261368770237,56,0,0.0,0.0,61,17.21
2017-01,IBM,0.05138880250027422,179,0,0.0,0.0,67,17.64
2017-02,IBM,0.030368965893945,34,3,0.997,0.0102,74,18.14
2017-03,IBM,-0.023930284400557778,45,0,0.0,0.0,77,19.21
2017-04,IBM,-0.07953366066970635,34,0,0.0,0.0,71,19.07
2017-05,IBM,-0.04778817994588669,78,1,0.989,0.0,71,19.36
2017-06,IBM,0.01770761907401175,52,1,0.997,0.0,67,20.14
2017-07,IBM,-0.05954599430994467,39,0,0.0,0.0,64,20.0
2017-08,IBM,-0.011336520145761697,38,1,0.991,0.0,62,19.0
2017-09,IBM,0.025049819537111828,24,1,0.999,0.0212,65,19.79
2017-10,IBM,0.06189748204596657,58,2,0.997,0.0101,69,20.64
2017-11,IBM,-0.0005847769505441525,44,1,0.995,0.0,67,22.0
2017-12,IBM,0.006387431271439592,56,0,0.0,0.0,56,20.64
2018-01,IBM,0.06700606018581068,223,1,0.995,0.0386,69,21.21
2018-02,IBM,-0.04807583224345158,31,1,0.996,0.0,69,21.64
2018-03,IBM,-0.005707361725659221,52,2,0.9945,0.01,67,21.07
2018-04,IBM,-0.05520430662355935,45,3,0.996,0.0113,66,21.0
2018-05,IBM,-0.02517954343483575,81,0,0.0,0.0,63,20.5
2018-06,IBM,-0.000418618808572746,51,4,0.7465,0.005,59,19.71
2018-07,IBM,0.037437108550858245,53,0,0.0,0.0,59,19.5
2018-08,IBM,0.01069457612788538,56,0,0.0,0.0,54,19.29
2018-09,IBM,0.04344385948802865,36,0,0.0,0.0,56,20.29
2018-10,IBM,-0.23662444475345035,85,5,0.8614,0.0186,70,21.07
2018-11,IBM,0.07658323044415116,58,3,0.9763,0.0081,61,21.29
2018-12,IBM,-0.07364829179090926,56,2,0.9775,0.0248,52,20.07
2019-01,IBM,0.18254596259118583,173,4,0.9962,0.0435,58,20.43
2019-02,IBM,0.02760004719295739,42,1,0.995,0.0,61,21.64
2019-03,IBM,0.033402957234578645,55,1,0.998,0.0,60,21.64
2019-04,IBM,-0.005882126054032044,49,3,0.9963,0.0,59,21.14
2019-05,IBM,-0.09467443822165622,109,0,0.0,0.0,56,20.86
2019-06,IBM,0.09881133978126488,61,0,0.0,0.0,54,20.64
2019-07,IBM,0.07498170492892009,60,1,0.999,0.0234,57,20.71
2019-08,IBM,-0.08573913386627485,38,0,0.0,0.0,53,20.36
2019-09,IBM,0.0856152165548898,52,0,0.0,0.0,57,21.43
2019-10,IBM,-0.08038821038159849,62,1,0.998,0.0395,62,21.79
2019-11,IBM,0.005384435332297377,84,0,0.0,0.0,57,22.43
2019-12,IBM,0.00872534330875463,56,0,0.0,0.0,48,20.93
2020-01,IBM,0.07229165890759637,216,1,0.999,0.0169,55,25.93
2020-02,IBM,-0.09448250999583285,42,0,0.0,0.0,58,25.07
2020-03,IBM,-0.138775721901913,45,2,0.9965,0.0079,52,20.14
2020-04,IBM,0.1318848686646128,105,3,0.934,0.0,50,20.79
2020-05,IBM,-0.00525621609689475,117,3,0.3447,0.0,50,22.21
2020-06,IBM,-0.020098632708841935,53,2,0.7365,0.0,50,21.93
2020-07,IBM,0.017967652555368918,60,1,0.999,0.0,50,21.71
2020-08,IBM,0.003009603263094185,49,3,0.7833,0.0064,44,20.71
2020-09,IBM,-0.0003803554570522838,37,7,0.3311,0.0086,48,22.07
2020-10,IBM,-0.08227178425730863,83,19,0.5721,0.0,49,20.5
2020-11,IBM,0.10621530659843992,45,2,0.637,0.0,41,19.36
2020-12,IBM,0.03388395125050847,52,6,0.449,0.0273,38,19.07
2021-01,IBM,-0.05378139868986431,151,23,0.8103,0.0,44,18.93
2021-02,IBM,-0.0015115353818248023,67,25,0.8677,0.0054,44,20.0
2021-03,IBM,0.1354642584622361,57,73,0.8751,0.0051,45,19.79
2021-04,IBM,0.0646857986119933,44,148,0.6684,0.005,45,19.36
2021-05,IBM,0.013109603514430246,73,93,0.8247,0.0135,46,19.64
2021-06,IBM,0.031222003191589298,85,119,0.8108,0.014,44,20.21
2021-07,IBM,-0.03840641484584362,40,150,0.5868,0.0054,44,19.43
2021-08,IBM,-0.004398394114893955,71,47,0.7359,0.0209,40,18.29
2021-09,IBM,0.0013502349426779414,62,58,0.8735,0.0316,42,19.5
2021-10,IBM,-0.0995465485711926,80,151,0.585,0.0123,42,19.64
2021-11,IBM,-0.02089060930694564,48,80,0.694,0.0073,44,20.79
2021-12,IBM,0.1566489078596056,70,76,0.7963,0.0,40,19.29
2022-01,IBM,-0.0006732707972075813,128,213,0.7211,0.0,47,24.86
2022-02,IBM,-0.08280311363403492,31,105,0.8412,0.0,45,26.0
2022-03,IBM,0.07408531253608741,37,67,0.6699,0.0,49,27.36
2022-04,IBM,0.01684335327884834,38,119,0.6302,0.0074,45,26.71
2022-05,IBM,0.05014745171746049,53,83,0.6942,0.0097,44,25.5
2022-06,IBM,0.029261965956849822,72,78,0.6356,0.0,44,25.64
2022-07,IBM,-0.07365979212074081,49,133,0.496,0.0051,42,23.43
2022-08,IBM,-0.017891185964922673,45,51,0.6972,0.0049,40,22.79
2022-09,IBM,-0.06339490755473998,34,68,0.7658,0.0046,43,24.5
2022-10,IBM,0.16395928475230392,50,155,0.6417,0.0,46,24.57
2022-11,IBM,0.07672264123904204,31,87,0.8263,0.0097,43,25.79
2022-12,IBM,-0.04251267168740125,45,102,0.8462,0.0129,36,25.86
2023-01,IBM,-0.04372235455277462,115,135,0.6202,0.0053,41,27.43
2023-02,IBM,-0.04030264588885857,28,77,0.6183,0.015,42,31.0
2023-03,IBM,0.026297014657495676,24,89,0.8013,0.0172,43,30.57
2023-04,IBM,-0.03570074760005881,39,133,0.6081,0.0161,41,30.14
2023-05,IBM,0.0172455042040196,55,105,0.7351,0.0435,43,31.29
2023-06,IBM,0.05478321174450196,58,92,0.76,0.033,46,32.64
2023-07,IBM,0.07749784894118417,56,116,0.7971,0.032,44,30.57
2023-08,IBM,0.018379851111244516,33,112,0.8105,0.0428,43,29.57
2023-09,IBM,-0.03347719954634121,32,111,0.803,0.0269,46,30.57
2023-10,IBM,0.030933927009018092,44,111,0.6898,0.0352,42,31.0
2023-11,IBM,0.09623886294213757,25,129,0.6694,0.0251,43,31.86
2023-12,IBM,0.043168782909857706,32,145,0.7892,0.0238,41,30.79
2024-01,IBM,0.12295914610077086,72,210,0.8091,0.0388,48,32.79
2024-02,IBM,0.007459628681748542,31,99,0.829,0.0416,54,36.07
2024-03,IBM,0.04145773658847607,27,77,0.6912,0.047,48,35.86
2024-04,IBM,-0.12966065491716539,24,113,0.7104,0.0277,48,35.29
2024-05,IBM,0.003911145928233717,56,103,0.7737,0.0555,46,36.21
2024-06,IBM,0.046849370307363136,44,89,0.8128,0.0394,46,34.0
2024-07,IBM,0.11095701347025932,44,144,0.791,0.0282,47,32.57
2024-08,IBM,0.051993266537424976,25,73,0.7933,0.0342,45,33.07
2024-09,IBM,0.10331774164897278,23,55,0.9323,0.0338,50,35.36
2024-10,IBM,-0.06495383270462607,63,55,0.7911,0.035,50,36.21
2024-11,IBM,0.10008706752987306,32,4,0.994,0.0719,46,38.36
2024-12,IBM,-0.02571343006518989,40,7,0.208,0.0164,41,37.14
2025-01,IBM,0.16317155733817135,73,95,0.8815,0.0441,48,38.79
2025-02,IBM,-0.01274928052262303,28,114,0.8657,0.067,53,41.43
2025-03,IBM,-0.008411464000172897,41,85,0.7833,0.0495,52,39.86
2025-04,IBM,-0.0275074022474755,34,154,0.651,0.0319,49,40.07
2025-05,IBM,0.07129255942593793,61,92,0.8474,0.0485,49,40.21
2025-06,IBM,0.14545535808485477,57,210,0.8142,0.0515,50,45.64
2025-07,IBM,-0.14122407298519568,42,517,0.8111,0.0335,52,48.5
2025-08,IBM,-0.038159166059311245,40,546,0.9018,0.0461,68,87.57
2025-09,IBM,0.16665043853551942,25,521,0.8819,0.0577,71,86.07
2025-10,IBM,0.08948820050173034,66,784,0.8481,0.0511,71,86.86
2025-11,IBM,0.0038060746512860177,55,503,0.9009,0.0527,75,91.29
2025-12,IBM,-0.034794342436091585,55,483,0.8604,0.0444,61,86.86
