date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,INTC,-0.05469972568281667,176,0,0.0,0.0,18,18.14
2014-02,INTC,0.008964603549469707,71,0,0.0,0.0,13,18.14
2014-03,INTC,0.052347491470560614,72,0,0.0,0.0,11,17.14
2014-04,INTC,0.034095198852402975,68,0,0.0,0.0,18,17.21
2014-05,INTC,0.023604949825988486,134,0,0.0,0.0,14,16.86
2014-06,INTC,0.14075787033898468,125,0,0.0,0.0,20,18.0
2014-07,INTC,0.09676340398425642,77,0,0.0,0.0,23,19.29
2014-08,INTC,0.03039277545928809,84,0,0.0,0.0,15,17.86
2014-09,INTC,0.0037690735862385694,100,0,0.0,0.0,14,17.64
2014-10,INTC,-0.02326240042003369,105,0,0.0,0.0,16,18.14
2014-11,INTC,0.09526600509514305,104,0,0.0,0.0,13,18.36
2014-12,INTC,-0.019383560755818263,103,0,0.0,0.0,14,17.79
2015-01,INTC,-0.08955662921582308,239,0,0.0,0.0,14,17.21
2015-02,INTC,0.006355984171926732,56,0,0.0,0.0,12,17.07
2015-03,INTC,-0.05280317445150329,98,0,0.0,0.0,15,17.0
2015-04,INTC,0.04093364419232759,77,0,0.0,0.0,16,17.0
2015-05,INTC,0.058679293328748994,114,0,0.0,0.0,12,17.07
2015-06,INTC,-0.11085405251926927,96,0,0.0,0.0,13,16.36
2015-07,INTC,-0.04832386728210303,76,2,0.998,0.0,16,16.71
2015-08,INTC,-0.014162080368068652,60,1,0.992,0.0,15,15.43
2015-09,INTC,0.0648346727608149,82,3,0.9987,0.0112,12,15.64
2015-10,INTC,0.12342415693166942,84,6,0.665,0.0088,17,16.36
2015-11,INTC,0.026875293976117653,77,2,0.999,0.0,11,16.36
2015-12,INTC,-0.0022241326536210915,84,0,0.0,0.0,11,16.36
2016-01,INTC,-0.09956431191097481,209,1,1.0,0.0,12,15.93
2016-02,INTC,-0.04609969744518261,42,0,0.0,0.0,11,16.14
2016-03,INTC,0.10289756382986615,89,3,0.9963,0.0155,11,16.21
2016-04,INTC,-0.06398746719578874,63,1,0.999,0.0034,15,16.21
