date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,INTU,-0.04022585562129333,5,0,0.0,0.0,20,18.14
2014-02,INTU,0.0695314424052067,2,0,0.0,0.0,19,18.14
2014-03,INTU,-0.005374141389844156,2,0,0.0,0.0,19,17.14
2014-04,INTU,-0.025473169619885327,3,0,0.0,0.0,22,17.21
2014-05,INTU,0.049398921981763655,2,0,0.0,0.0,24,16.86
2014-06,INTU,0.015638864677715025,2,0,0.0,0.0,24,18.0
2014-07,INTU,0.017881516123746888,1,0,0.0,0.0,26,19.29
2014-08,INTU,0.017140534963000942,1,0,0.0,0.0,30,17.86
2014-09,INTU,0.05373929660910437,2,0,0.0,0.0,26,17.64
2014-10,INTU,0.004107204771685469,4,0,0.0,0.0,32,18.14
2014-11,INTU,0.06982598553339159,1,0,0.0,0.0,40,18.36
2014-12,INTU,-0.017896928642053944,3,0,0.0,0.0,60,17.79
2015-01,INTU,-0.05824939009636565,5,0,0.0,0.0,38,17.21
2015-02,INTU,0.12771205503858574,4,0,0.0,0.0,30,17.07
2015-03,INTU,-0.006862378481658604,2,0,0.0,0.0,30,17.0
2015-04,INTU,0.03475665135037298,1,0,0.0,0.0,35,17.0
2015-05,INTU,0.04074688976512486,0,0,0.0,0.0,36,17.07
2015-06,INTU,-0.03245351653771711,2,0,0.0,0.0,35,16.36
2015-07,INTU,0.0496183142925013,1,0,0.0,0.0,41,16.71
2015-08,INTU,-0.18731718818444154,3,0,0.0,0.0,49,15.43
2015-09,INTU,0.03498526290786086,1,0,0.0,0.0,45,15.64
2015-10,INTU,0.09780298644591379,2,0,0.0,0.0,46,16.36
2015-11,INTU,0.03183921286743874,2,0,0.0,0.0,52,16.36
2015-12,INTU,-0.0369259127940641,2,0,0.0,0.0,89,16.36
2016-01,INTU,-0.010259090173156515,6,1,0.995,0.0088,47,15.93
2016-02,INTU,0.014993444926310495,0,0,0.0,0.0,42,16.14
2016-03,INTU,0.07626252244173992,0,0,0.0,0.0,45,16.21
2016-04,INTU,-0.02999705910406003,1,0,0.0,0.0,40,16.21
2016-05,INTU,0.06021632112814679,0,0,0.0,0.0,44,17.0
2016-06,INTU,0.04640902398847979,4,0,0.0,0.0,42,16.14
2016-07,INTU,-0.005554931849438005,0,0,0.0,0.0,49,15.21
2016-08,INTU,0.006788284936992017,1,0,0.0,0.0,51,14.79
2016-09,INTU,-0.012920602142567073,4,0,0.0,0.0,48,16.07
2016-10,INTU,-0.011544309738617198,1,0,0.0,0.0,53,17.0
2016-11,INTU,0.048689371920772606,1,0,0.0,0.0,55,17.93
2016-12,INTU,0.008181015383781354,3,0,0.0,0.0,86,17.21
2017-01,INTU,0.034639072483004574,10,0,0.0,0.0,54,17.64
2017-02,INTU,0.0609693324411269,1,0,0.0,0.0,45,18.14
2017-03,INTU,-0.07533490988057845,2,0,0.0,0.0,45,19.21
2017-04,INTU,0.07948986621638587,3,0,0.0,0.0,52,19.07
2017-05,INTU,0.12651915437424766,1,0,0.0,0.0,46,19.36
2017-06,INTU,-0.05567387741173324,5,0,0.0,0.0,47,20.14
2017-07,INTU,0.03312952693621951,2,0,0.0,0.0,48,20.0
2017-08,INTU,0.03356422274035986,4,0,0.0,0.0,53,19.0
2017-09,INTU,0.004878153045070777,5,0,0.0,0.0,50,19.79
2017-10,INTU,0.062473683500306576,3,0,0.0,0.0,53,20.64
2017-11,INTU,0.04390378627668445,2,1,0.996,0.0,59,22.0
2017-12,INTU,0.0035622233783887403,6,1,0.999,0.0,91,20.64
2018-01,INTU,0.06413992341934116,11,0,0.0,0.0,53,21.21
2018-02,INTU,-0.0038279293246535895,4,1,0.999,0.0,49,21.64
2018-03,INTU,0.0388946986356733,2,0,0.0,0.0,51,21.07
2018-04,INTU,0.0659935021403606,1,0,0.0,0.0,48,21.0
2018-05,INTU,0.09351154641428994,1,1,0.998,0.0,46,20.5
2018-06,INTU,0.01344234423266255,2,0,0.0,0.0,44,19.71
2018-07,INTU,-0.00034264895200275536,3,1,0.995,0.0,49,19.5
2018-08,INTU,0.07658621096351648,6,0,0.0,0.0,54,19.29
2018-09,INTU,0.036132361489593645,4,0,0.0,0.0,51,20.29
2018-10,INTU,-0.07211942771857582,7,1,0.997,0.0,55,21.07
2018-11,INTU,0.01893324072872704,6,1,0.996,0.0,62,21.29
2018-12,INTU,-0.08241270334924822,1,0,0.0,0.0,88,20.07
2019-01,INTU,0.09636796477816678,14,0,0.0,0.0,59,20.43
2019-02,INTU,0.14772190085527503,3,1,0.997,0.0,46,21.64
2019-03,INTU,0.057783147849610694,4,0,0.0,0.0,45,21.64
2019-04,INTU,-0.03959281602972564,2,1,0.993,0.0,54,21.14
2019-05,INTU,-0.022974074607168826,1,1,0.994,0.0,47,20.86
2019-06,INTU,0.06730654411862269,1,2,0.9815,0.0,50,20.64
2019-07,INTU,0.06114856001945901,6,0,0.0,0.0,50,20.71
2019-08,INTU,0.041653249346100374,3,0,0.0,0.0,60,20.36
2019-09,INTU,-0.0777505203563631,3,0,0.0,0.0,55,21.43
2019-10,INTU,-0.031736276262901764,4,0,0.0,0.0,56,21.79
2019-11,INTU,0.0074437826342510505,3,0,0.0,0.0,66,22.43
