date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,LRCX,-0.0705233285705621,0,0,0.0,0.0,6,18.14
2014-02,LRCX,0.0221297716175608,0,0,0.0,0.0,4,18.14
2014-03,LRCX,0.06321292094500675,3,0,0.0,0.0,4,17.14
2014-04,LRCX,0.047454695457092466,0,0,0.0,0.0,6,17.21
2014-05,LRCX,0.07689594418160639,5,0,0.0,0.0,7,16.86
2014-06,LRCX,0.08929752527746238,4,0,0.0,0.0,7,18.0
2014-07,LRCX,0.03868559081419165,1,0,0.0,0.0,9,19.29
2014-08,LRCX,0.027285776044824184,1,0,0.0,0.0,5,17.86
2014-09,LRCX,0.03879855261529408,2,0,0.0,0.0,6,17.64
2014-10,LRCX,0.04491583608951055,1,0,0.0,0.0,8,18.14
2014-11,LRCX,0.061392414237200876,0,0,0.0,0.0,6,18.36
2014-12,LRCX,-0.03993219945723325,1,0,0.0,0.0,6,17.79
2015-01,LRCX,-0.03448992180810306,4,0,0.0,0.0,6,17.21
2015-02,LRCX,0.07875440243246934,3,0,0.0,0.0,5,17.07
2015-03,LRCX,-0.14819303785380078,10,0,0.0,0.0,7,17.0
2015-04,LRCX,0.07844630363017435,1,0,0.0,0.0,9,17.0
2015-05,LRCX,0.08825115654825866,10,0,0.0,0.0,6,17.07
2015-06,LRCX,-0.010942534885999833,2,0,0.0,0.0,6,16.36
2015-07,LRCX,-0.05166096547372512,1,6,0.9805,0.0,7,16.71
2015-08,LRCX,-0.053336640423846005,1,2,0.9705,0.0,7,15.43
2015-09,LRCX,-0.10223981895972212,0,0,0.0,0.0,7,15.64
2015-10,LRCX,0.17727785653147454,2,3,0.9853,0.0,10,16.36
2015-11,LRCX,0.021020930563211193,1,2,0.976,0.0,7,16.36
2015-12,LRCX,0.01560127421640023,0,0,0.0,0.0,5,16.36
2016-01,LRCX,-0.09256726408861393,2,2,0.9865,0.0,8,15.93
2016-02,LRCX,0.021033895750532494,2,2,0.9925,0.0,6,16.14
2016-03,LRCX,0.12687553953440323,8,2,0.986,0.0,9,16.21
2016-04,LRCX,-0.07131226880562824,2,1,0.999,0.0,9,16.21
2016-05,LRCX,0.08390047021820002,5,4,0.987,0.0,9,17.0
2016-06,LRCX,0.015095042295610206,3,0,0.0,0.0,9,16.14
2016-07,LRCX,0.0717968831732605,1,3,0.9847,0.0,12,15.21
2016-08,LRCX,0.03954571028321441,1,3,0.9927,0.0067,11,14.79
2016-09,LRCX,0.014894808484545052,2,5,0.9852,0.0,10,16.07
2016-10,LRCX,0.02607682853779547,2,3,0.991,0.0,14,17.0
2016-11,LRCX,0.09456961358269766,4,3,0.9903,0.0,11,17.93
2016-12,LRCX,-0.002735463777289282,5,0,0.0,0.0,13,17.21
2017-01,LRCX,0.0910688724929214,8,2,0.983,0.0,15,17.64
2017-02,LRCX,0.03203914269384711,3,2,0.98,0.0,10,18.14
2017-03,LRCX,0.08284122104628477,5,1,0.973,0.0,13,19.21
2017-04,LRCX,0.13276376365152953,2,2,0.997,0.0,19,19.07
2017-05,LRCX,0.07124638289502316,3,3,0.985,0.0,22,19.36
2017-06,LRCX,-0.08854785940667054,4,0,0.0,0.0,23,20.14
2017-07,LRCX,0.13068876084406655,3,2,0.986,0.0,32,20.0
2017-08,LRCX,0.04088780199856634,3,5,0.9874,0.0,26,19.0
2017-09,LRCX,0.11483309903747507,0,2,0.978,0.0069,25,19.79
2017-10,LRCX,0.1301542224827239,1,2,0.9825,0.0,36,20.64
2017-11,LRCX,-0.0778632428686421,0,2,0.9955,0.0,45,22.0
2017-12,LRCX,-0.04294758066045701,5,0,0.0,0.0,47,20.64
2018-01,LRCX,0.04336006334252107,7,4,0.9802,0.0,64,21.21
2018-02,LRCX,0.0017756281737175694,4,2,0.9895,0.0,57,21.64
2018-03,LRCX,0.05889740355861339,12,2,0.978,0.0061,66,21.07
2018-04,LRCX,-0.08679469932492356,2,2,0.997,0.0,75,21.0
2018-05,LRCX,0.0708959303825003,4,2,0.9725,0.0077,49,20.5
2018-06,LRCX,-0.12781318499996552,4,2,0.9845,0.0,69,19.71
2018-07,LRCX,0.10888354282929114,8,2,0.98,0.0,61,19.5
2018-08,LRCX,-0.09205860237709396,3,3,0.9673,0.0087,43,19.29
2018-09,LRCX,-0.12357695805677515,7,2,0.976,0.0073,36,20.29
2018-10,LRCX,-0.059232317215977326,3,3,0.984,0.0,44,21.07
2018-11,LRCX,0.10745788142132318,2,3,0.981,0.0,30,21.29
2018-12,LRCX,-0.13245396145840382,7,1,0.995,0.0,26,20.07
2019-01,LRCX,0.2539211908039578,10,5,0.9822,0.0051,43,20.43
2019-02,LRCX,0.038388650083444276,1,1,0.98,0.0062,33,21.64
2019-03,LRCX,0.016582360396403262,9,0,0.0,0.0,31,21.64
2019-04,LRCX,0.16587931077642337,4,4,0.988,0.0,40,21.14
2019-05,LRCX,-0.15822198695568335,4,5,0.9692,0.008,27,20.86
2019-06,LRCX,0.07576845456638859,2,1,0.98,0.0,23,20.64
2019-07,LRCX,0.11700054843695473,3,2,0.979,0.0,29,20.71
2019-08,LRCX,0.009107729920560637,10,6,0.9753,0.0088,24,20.36
2019-09,LRCX,0.09785759578559028,1,1,0.982,0.0055,27,21.43
2019-10,LRCX,0.17866629229810393,4,2,0.9785,0.0,33,21.79
2019-11,LRCX,-0.015532842044525874,4,2,0.972,0.0081,27,22.43
2019-12,LRCX,0.09582876642303373,2,1,0.967,0.0,22,20.93
2020-01,LRCX,0.02426478255949882,6,2,0.979,0.0,31,25.93
2020-02,LRCX,-0.016028864963381184,3,4,0.985,0.0084,33,25.07
2020-03,LRCX,-0.18208769280620085,6,2,0.9905,0.0068,38,20.14
2020-04,LRCX,0.07004756063810524,0,3,0.9463,0.0,41,20.79
2020-05,LRCX,0.07203873996604826,2,5,0.9714,0.0158,41,22.21
2020-06,LRCX,0.1819344238198679,4,1,0.999,0.0,39,21.93
2020-07,LRCX,0.17064122989878205,5,2,0.978,0.0,40,21.71
2020-08,LRCX,-0.10823005983456935,9,2,0.963,0.0073,32,20.71
2020-09,LRCX,-0.013646676059272167,3,7,0.4291,0.0209,34,22.07
2020-10,LRCX,0.03513556672489271,2,1,0.97,0.0,30,20.5
2020-11,LRCX,0.3232574906531964,3,5,0.9818,0.0,34,19.36
2020-12,LRCX,0.04332166858855646,7,0,0.0,0.0,29,19.07
2021-01,LRCX,0.027357223956611998,4,7,0.6399,0.0152,38,18.93
2021-02,LRCX,0.17200125117943998,7,19,0.6881,0.0,44,20.0
2021-03,LRCX,0.049454280963487474,4,35,0.6285,0.0109,48,19.79
2021-04,LRCX,0.044883307547441964,1,67,0.5077,0.0068,53,19.36
2021-05,LRCX,0.04738535281877443,3,62,0.7119,0.0,44,19.64
2021-06,LRCX,0.0013077647705099782,2,57,0.8816,0.0,33,20.21
2021-07,LRCX,-0.01846170989239826,2,31,0.6687,0.0,40,19.43
2021-08,LRCX,-0.05112875782207604,1,20,0.6411,0.0064,39,18.29
2021-09,LRCX,-0.05897617069691008,6,23,0.8593,0.0,32,19.5
2021-10,LRCX,-0.007373076024033809,2,31,0.7175,0.0,36,19.64
2021-11,LRCX,0.2063271851414159,2,38,0.7786,0.0,39,20.79
2021-12,LRCX,0.05780687345247393,7,47,0.877,0.0043,37,19.29
2022-01,LRCX,-0.17789792935895088,7,60,0.7995,0.0,43,24.86
2022-02,LRCX,-0.0484302443682052,5,29,0.685,0.0,30,26.0
2022-03,LRCX,-0.042290805297798606,2,23,0.6469,0.0126,30,27.36
2022-04,LRCX,-0.13086738682547006,3,26,0.7398,0.0097,30,26.71
2022-05,LRCX,0.11651910780159058,13,19,0.6835,0.0051,25,25.5
2022-06,LRCX,-0.18052791719650207,4,19,0.8367,0.0112,22,25.64
2022-07,LRCX,0.17844599498661018,4,42,0.6555,0.0093,25,23.43
2022-08,LRCX,-0.12507207816462418,6,25,0.4126,0.0141,28,22.79
2022-09,LRCX,-0.16421197221560513,4,25,0.7331,0.0095,20,24.5
2022-10,LRCX,0.11023780945667694,5,72,0.4159,0.0182,32,24.57
2022-11,LRCX,0.1670042488744572,2,24,0.7102,0.0114,26,25.79
2022-12,LRCX,-0.11025003458374072,2,31,0.7589,0.0078,18,25.86
2023-01,LRCX,0.19430142001929518,7,57,0.5865,0.0,27,27.43
2023-02,LRCX,-0.02817425722538136,6,19,0.5833,0.0053,24,31.0
2023-03,LRCX,0.09075921252457841,9,28,0.797,0.0096,23,30.57
2023-04,LRCX,-0.007805479513970814,7,43,0.4941,0.008,25,30.14
2023-05,LRCX,0.17672868670901365,4,41,0.4786,0.0,29,31.29
2023-06,LRCX,0.04241940681367162,3,38,0.4258,0.0,26,32.64
2023-07,LRCX,0.12072690939451558,6,53,0.6492,0.0052,30,30.57
2023-08,LRCX,-0.02239416791974347,0,36,0.7855,0.0,28,29.57
2023-09,LRCX,-0.10767380647163971,1,49,0.7602,0.015,20,30.57
2023-10,LRCX,-0.058669167244109865,0,61,0.4963,0.0,22,31.0
2023-11,LRCX,0.21709594241662988,4,31,0.7071,0.0067,27,31.86
2023-12,LRCX,0.09406056407414587,1,20,0.8427,0.0218,26,30.79
2024-01,LRCX,0.05637934659331911,1,43,0.7232,0.0126,37,32.79
2024-02,LRCX,0.13703846967219535,4,26,0.8227,0.0202,37,36.07
2024-03,LRCX,0.03551293356543961,2,19,0.8319,0.0155,35,35.86
2024-04,LRCX,-0.07743633010987516,7,46,0.8679,0.0122,31,35.29
2024-05,LRCX,0.042519626347495176,1,30,0.7742,0.024,31,36.21
2024-06,LRCX,0.14200377875870296,4,33,0.9565,0.0287,42,34.0
2024-07,LRCX,-0.13324648964603558,2,39,0.9019,0.0146,43,32.57
2024-08,LRCX,-0.10879914775425092,2,22,0.7895,0.0368,47,33.07
2024-09,LRCX,-0.006004769165530166,0,32,0.9637,0.0517,39,35.36
2024-10,LRCX,-0.086166183552291,1,49,0.9201,0.0369,80,36.21
2024-11,LRCX,-0.006321444490364758,3,4,0.1775,0.032,45,38.36
2024-12,LRCX,-0.022333364765732222,2,6,0.3605,0.084,44,37.14
2025-01,LRCX,0.1255555850535417,7,55,0.8283,0.0348,58,38.79
2025-02,LRCX,-0.0531770673730515,4,49,0.7768,0.0339,47,41.43
2025-03,LRCX,-0.05264534580620617,1,29,0.9339,0.0265,32,39.86
2025-04,LRCX,-0.01119257864356027,7,50,0.8687,0.0158,46,40.07
2025-05,LRCX,0.12724992201574992,5,44,0.9505,0.0265,36,40.21
2025-06,LRCX,0.20485198124898263,11,101,0.6759,0.0149,40,45.64
2025-07,LRCX,-0.02325863974049691,4,189,0.8416,0.0116,52,48.5
2025-08,LRCX,0.05598902350038881,2,202,0.7647,0.0121,89,87.57
2025-09,LRCX,0.3369944409768486,4,231,0.8656,0.0144,84,86.07
2025-10,LRCX,0.17827435745171427,4,285,0.8816,0.0172,100,86.86
2025-11,LRCX,-0.00927219791547318,3,175,0.8797,0.0147,68,91.29
2025-12,LRCX,0.09730761330657667,6,166,0.7731,0.0244,68,86.86
