date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,MU,0.05931020914703811,22,0,0.0,0.0,50,18.14
2014-02,MU,0.04991327615801411,7,0,0.0,0.0,49,18.14
2014-03,MU,-0.021909829214819543,4,0,0.0,0.0,49,17.14
2014-04,MU,0.10397292930518609,9,0,0.0,0.0,48,17.21
2014-05,MU,0.0945634373706572,12,0,0.0,0.0,49,16.86
2014-06,MU,0.15250103581218455,24,0,0.0,0.0,47,18.0
2014-07,MU,-0.07283772851617099,4,0,0.0,0.0,51,19.29
2014-08,MU,0.0671031554416559,5,0,0.0,0.0,59,17.86
2014-09,MU,0.050920179924859976,12,0,0.0,0.0,53,17.64
2014-10,MU,-0.034150403020582254,4,0,0.0,0.0,53,18.14
2014-11,MU,0.0864304745910125,10,0,0.0,0.0,52,18.36
2014-12,MU,-0.026147026404338303,8,0,0.0,0.0,55,17.79
2015-01,MU,-0.16395323933786454,31,0,0.0,0.0,53,17.21
2015-02,MU,0.047830412509930476,2,0,0.0,0.0,50,17.07
2015-03,MU,-0.1154222417655516,13,0,0.0,0.0,53,17.0
2015-04,MU,0.036859541223488224,12,0,0.0,0.0,57,17.0
2015-05,MU,-0.007109689754062787,15,0,0.0,0.0,55,17.07
2015-06,MU,-0.32545646860557786,11,0,0.0,0.0,53,16.36
2015-07,MU,-0.017516092827890684,5,2,0.9855,0.0,61,16.71
2015-08,MU,-0.11345199758725621,7,2,0.936,0.0,56,15.43
2015-09,MU,-0.08714222908517266,9,0,0.0,0.0,59,15.64
2015-10,MU,0.1054739042811228,4,6,0.9905,0.0,55,16.36
2015-11,MU,-0.03804327672649521,6,2,0.996,0.0,55,16.36
2015-12,MU,-0.11111110429072024,8,5,0.995,0.0,56,16.36
2016-01,MU,-0.2210453006908063,33,5,0.9886,0.0047,57,15.93
2016-02,MU,-0.03626463867054952,2,1,0.877,0.0,56,16.14
2016-03,MU,-0.015051552745608543,10,3,0.9747,0.0,55,16.21
2016-04,MU,0.02674292381044263,15,11,0.9554,0.0043,53,16.21
2016-05,MU,0.18325584145356966,9,6,0.6257,0.0,56,17.0
2016-06,MU,0.08176082739973678,6,7,0.5799,0.0,58,16.14
2016-07,MU,-0.001453541463453445,3,6,0.4828,0.0,60,15.21
2016-08,MU,0.2001459785029005,6,5,0.5672,0.0,64,14.79
2016-09,MU,0.07822892136677861,10,8,0.9637,0.0,62,16.07
2016-10,MU,-0.034870374662142156,12,1,0.997,0.0,63,17.0
2016-11,MU,0.1381118219630455,8,4,0.9255,0.0078,55,17.93
2016-12,MU,0.12237571802097325,9,10,0.6958,0.0,56,17.21
2017-01,MU,0.09990869334954966,29,4,0.9145,0.0,56,17.64
2017-02,MU,-0.027789217224673313,7,5,0.947,0.0,53,18.14
2017-03,MU,0.23293511685014234,10,5,0.9972,0.0,55,19.21
2017-04,MU,-0.04256051286697993,5,4,0.9895,0.0,63,19.07
2017-05,MU,0.11203473998023816,9,4,0.9413,0.0072,59,19.36
2017-06,MU,-0.029574349732052307,11,4,0.9798,0.0,51,20.14
2017-07,MU,-0.058272027340207866,6,2,0.932,0.0,55,20.0
2017-08,MU,0.1369132554080057,10,5,0.9712,0.0,57,19.0
2017-09,MU,0.23021584714211785,2,2,0.9985,0.0,56,19.79
2017-10,MU,0.1266208939317861,7,5,0.985,0.0062,54,20.64
2017-11,MU,-0.04333124480405515,7,7,0.9613,0.0115,54,22.0
2017-12,MU,-0.029959771781119637,10,2,0.943,0.0,61,20.64
2018-01,MU,0.0632297888741642,71,5,0.9818,0.0058,54,21.21
2018-02,MU,0.11642255722440331,10,5,0.9322,0.0077,54,21.64
2018-03,MU,0.06822374666260433,13,3,0.969,0.0,53,21.07
2018-04,MU,-0.11814348682024689,24,1,0.999,0.0041,54,21.0
2018-05,MU,0.2525009552968702,11,7,0.9536,0.0,54,20.5
2018-06,MU,-0.08942517158461627,13,3,0.998,0.0225,50,19.71
2018-07,MU,0.006674220868512437,5,2,0.983,0.0,50,19.5
2018-08,MU,-0.0051145511569959945,8,5,0.952,0.0061,50,19.29
2018-09,MU,-0.13880428470963568,10,2,0.9975,0.0,48,20.29
2018-10,MU,-0.16604005376106967,10,7,0.9967,0.0329,50,21.07
2018-11,MU,0.02226912440656914,8,13,0.9763,0.0162,48,21.29
2018-12,MU,-0.177126456159314,9,3,0.9393,0.0124,53,20.07
2019-01,MU,0.2045381858166131,30,13,0.1452,0.0,53,20.43
2019-02,MU,0.06959720379854062,6,22,0.3994,0.0,57,21.64
2019-03,MU,0.011007869215223565,12,25,0.1292,0.0,55,21.64
2019-04,MU,0.017662622753974233,14,1,0.993,0.0,56,21.14
2019-05,MU,-0.22467904965722607,7,4,0.8658,0.0079,50,20.86
2019-06,MU,0.18337923571514758,6,2,0.994,0.0,45,20.64
2019-07,MU,0.16325455816652878,9,4,0.9612,0.0,48,20.71
2019-08,MU,0.008465316642313203,11,6,0.9362,0.0166,50,20.36
2019-09,MU,-0.05345721460672359,8,2,0.998,0.0092,47,21.43
2019-10,MU,0.10968518170977415,8,8,0.975,0.0204,48,21.79
2019-11,MU,-0.0008414149557662842,9,3,0.9013,0.0226,46,22.43
2019-12,MU,0.13197242306824064,16,2,0.998,0.0,48,20.93
2020-01,MU,-0.01283009811123148,34,3,0.958,0.0055,50,25.93
2020-02,MU,-0.009982988649030577,6,5,0.9534,0.0185,47,25.07
2020-03,MU,-0.19977164396402147,12,3,0.993,0.0044,52,20.14
2020-04,MU,0.138611415901297,9,7,0.7756,0.0179,53,20.79
2020-05,MU,0.0004176797960833145,7,5,0.9368,0.0203,55,22.21
2020-06,MU,0.07534952199548983,9,5,0.9912,0.0,48,21.93
2020-07,MU,-0.02833836741030804,7,3,0.666,0.0103,53,21.71
2020-08,MU,-0.09089101368311048,13,9,0.969,0.0047,51,20.71
2020-09,MU,0.031861109404147436,10,4,0.9313,0.0,50,22.07
2020-10,MU,0.07197615204321828,16,6,0.4528,0.0149,56,20.5
2020-11,MU,0.2731425516755359,19,6,0.8217,0.0062,56,19.36
2020-12,MU,0.17303815078741036,11,5,0.9578,0.0044,57,19.07
2021-01,MU,0.04110130259964295,26,20,0.9896,0.0131,61,18.93
2021-02,MU,0.16941341227409756,14,14,0.8613,0.0213,56,20.0
2021-03,MU,-0.03627234608593677,7,118,0.7745,0.0116,55,19.79
2021-04,MU,-0.02426017855589324,11,119,0.7402,0.0188,57,19.36
2021-05,MU,-0.022423575142248575,16,47,0.8047,0.0053,59,19.64
2021-06,MU,0.009983213793789414,7,125,0.7632,0.0064,47,20.21
2021-07,MU,-0.08707904911917108,8,77,0.4971,0.0131,48,19.43
2021-08,MU,-0.05001294206582796,9,71,0.5163,0.0061,59,18.29
2021-09,MU,-0.0369066584469776,9,105,0.4866,0.0099,77,19.5
2021-10,MU,-0.025125493562458856,20,68,0.6103,0.0218,63,19.64
2021-11,MU,0.21562970043281426,12,59,0.7942,0.0085,67,20.79
2021-12,MU,0.1089285302439289,36,166,0.6941,0.0093,66,19.29
2022-01,MU,-0.1158591387500102,20,104,0.6832,0.0064,66,24.86
2022-02,MU,0.08010196972569839,6,67,0.6824,0.0086,69,26.0
2022-03,MU,-0.12345248814220067,13,142,0.6707,0.0094,66,27.36
2022-04,MU,-0.1245347243671735,12,59,0.6727,0.0115,76,26.71
2022-05,MU,0.08433660486596417,17,63,0.8276,0.0096,63,25.5
2022-06,MU,-0.2513544047837659,14,88,0.4029,0.0109,58,25.64
2022-07,MU,0.1190304525782484,15,164,0.2815,0.027,69,23.43
2022-08,MU,-0.08437292298327503,9,131,0.349,0.022,75,22.79
2022-09,MU,-0.11374501087598077,12,131,0.4243,0.0222,76,24.5
2022-10,MU,0.07984039930600839,10,89,0.6008,0.0259,85,24.57
2022-11,MU,0.06786767557894224,10,76,0.5321,0.0177,67,25.79
2022-12,MU,-0.13304425862683833,15,102,0.3357,0.022,59,25.86
2023-01,MU,0.20922816901670904,31,35,0.3291,0.0067,83,27.43
2023-02,MU,-0.04112783305206591,14,43,0.6325,0.0278,100,31.0
2023-03,MU,0.043583611151698065,15,115,0.4324,0.02,84,30.57
2023-04,MU,0.06662243890219233,16,95,0.3339,0.0506,82,30.14
2023-05,MU,0.06180581979340971,38,161,0.2691,0.0316,71,31.29
2023-06,MU,-0.07463341079826113,19,173,0.4893,0.0388,73,32.64
2023-07,MU,0.13119965360603358,14,46,0.566,0.0581,65,30.57
2023-08,MU,-0.018467488560116152,14,52,0.7632,0.0369,67,29.57
2023-09,MU,-0.027309254310234565,11,108,0.5099,0.0295,72,30.57
2023-10,MU,-0.017051497363383294,18,88,0.5453,0.0291,69,31.0
2023-11,MU,0.14022738765807596,16,68,0.6709,0.0236,74,31.86
2023-12,MU,0.12112447311124819,15,110,0.6781,0.0306,78,30.79
2024-01,MU,0.006149761162453027,34,62,0.7924,0.0454,68,32.79
2024-02,MU,0.056676405056261814,9,55,0.6932,0.0511,67,36.07
2024-03,MU,0.30107045844478186,10,122,0.5722,0.0448,77,35.86
2024-04,MU,-0.04089363304362892,19,112,0.7048,0.0669,71,35.29
2024-05,MU,0.1065863606724804,29,101,0.804,0.0467,72,36.21
2024-06,MU,0.05223991551995133,10,180,0.6438,0.0376,64,34.0
2024-07,MU,-0.16505734232860236,10,136,0.7344,0.0493,65,32.57
2024-08,MU,-0.12289039162622972,12,97,0.8355,0.0546,73,33.07
2024-09,MU,0.0776183533187742,11,155,0.7293,0.0513,71,35.36
2024-10,MU,-0.039147566906184816,19,73,0.7474,0.0611,72,36.21
2024-11,MU,-0.01595293062767633,13,12,0.1453,0.0199,71,38.36
2024-12,MU,-0.1407861572743525,19,40,0.2034,0.0518,77,37.14
2025-01,MU,0.08553405268971481,35,119,0.5485,0.0641,74,38.79
2025-02,MU,0.02619451094126468,22,127,0.4871,0.0428,72,41.43
2025-03,MU,-0.07198542247942985,15,151,0.5423,0.0361,75,39.86
2025-04,MU,-0.11324447363309509,17,91,0.567,0.0421,74,40.07
2025-05,MU,0.22755034956104248,27,68,0.9349,0.0337,86,40.21
2025-06,MU,0.3047852102113955,22,369,0.6403,0.0272,66,45.64
2025-07,MU,-0.11448278138660295,19,245,0.7703,0.0273,67,48.5
2025-08,MU,0.09146076129851233,21,387,0.7517,0.027,78,87.57
2025-09,MU,0.40593227727445536,15,606,0.7357,0.028,79,86.07
2025-10,MU,0.33737747036511667,19,387,0.7706,0.034,74,86.86
2025-11,MU,0.05746119690846796,15,254,0.7766,0.0509,76,91.29
2025-12,MU,0.20690956972436236,26,568,0.7394,0.0372,82,86.86
