date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,NVDA,-0.019974803212744252,10,0,0.0,0.0,1,18.14
2014-02,NVDA,0.17070015878309186,12,0,0.0,0.0,1,18.14
2014-03,NVDA,-0.021171473284149367,5,0,0.0,0.0,1,17.14
2014-04,NVDA,0.03126728147032831,1,0,0.0,0.0,1,17.21
2014-05,NVDA,0.02869529449669872,5,0,0.0,0.0,1,16.86
2014-06,NVDA,-0.019715904325785516,9,0,0.0,0.0,1,18.0
2014-07,NVDA,-0.05609487914364897,8,0,0.0,0.0,1,19.29
2014-08,NVDA,0.11142842885548032,6,0,0.0,0.0,1,17.86
2014-09,NVDA,-0.04721769523414443,6,0,0.0,0.0,1,17.64
2014-10,NVDA,0.05907824428151831,7,0,0.0,0.0,1,18.14
2014-11,NVDA,0.07318314714331309,10,0,0.0,0.0,1,18.36
2014-12,NVDA,-0.03982556137157767,7,0,0.0,0.0,1,17.79
2015-01,NVDA,-0.04239404431575233,15,0,0.0,0.0,1,17.21
2015-02,NVDA,0.1489580833209878,5,0,0.0,0.0,1,17.07
2015-03,NVDA,-0.04757011503313613,10,0,0.0,0.0,1,17.0
2015-04,NVDA,0.06067790898745207,7,0,0.0,0.0,1,17.0
2015-05,NVDA,-0.003152556021659536,13,0,0.0,0.0,1,17.07
2015-06,NVDA,-0.08707296085505956,13,0,0.0,0.0,1,16.36
2015-07,NVDA,-0.007956080207920713,6,3,0.6607,0.0598,1,16.71
2015-08,NVDA,0.12681694537531163,13,4,0.9455,0.0063,1,15.43
2015-09,NVDA,0.10114397188432056,5,2,0.9845,0.0125,1,15.64
2015-10,NVDA,0.15091244427832606,8,1,0.153,0.0,1,16.36
2015-11,NVDA,0.11808263122840623,2,6,0.9722,0.0183,1,16.36
2015-12,NVDA,0.043037758154204964,5,3,0.9517,0.0674,1,16.36
2016-01,NVDA,-0.11134746451720912,15,4,0.9492,0.0303,1,15.93
2016-02,NVDA,0.07067319440816355,2,2,0.9765,0.0139,1,16.14
2016-03,NVDA,0.1402999752202514,19,5,0.9546,0.0128,1,16.21
2016-04,NVDA,-0.002806771677498654,6,6,0.9462,0.053,1,16.21
2016-05,NVDA,0.3149450761060588,9,6,0.975,0.0165,2,17.0
2016-06,NVDA,0.008820483742949525,15,3,0.9873,0.0368,2,16.14
2016-07,NVDA,0.21463491745335417,4,2,0.938,0.0,2,15.21
2016-08,NVDA,0.07425580367486972,12,3,0.9703,0.0167,3,14.79
2016-09,NVDA,0.11911099856712282,4,4,0.9815,0.056,2,16.07
2016-10,NVDA,0.03852886123336874,14,2,0.9385,0.0408,2,17.0
2016-11,NVDA,0.29567162278599013,19,4,0.4768,0.0588,4,17.93
2016-12,NVDA,0.15943398716634016,5,0,0.0,0.0,5,17.21
2017-01,NVDA,0.022859075099073145,28,10,0.9138,0.0398,5,17.64
2017-02,NVDA,-0.07052581444135264,5,3,0.958,0.0303,8,18.14
2017-03,NVDA,0.07476821865573413,3,4,0.9872,0.0899,6,19.21
2017-04,NVDA,-0.04250408775944625,12,3,0.9163,0.084,5,19.07
2017-05,NVDA,0.38398817709182675,10,13,0.9752,0.0593,9,19.36
2017-06,NVDA,0.0025095770400762607,11,4,0.992,0.0481,9,20.14
2017-07,NVDA,0.12416927682682921,9,4,0.9058,0.0665,8,20.0
2017-08,NVDA,0.04264374758754941,7,5,0.9694,0.0347,10,19.0
2017-09,NVDA,0.055992877284338105,11,5,0.9942,0.0883,8,19.79
2017-10,NVDA,0.15684952841825917,5,7,0.9443,0.0531,8,20.64
2017-11,NVDA,-0.02949561917234378,10,6,0.9857,0.0494,11,22.0
2017-12,NVDA,-0.0352523179306613,5,4,0.9623,0.0716,8,20.64
2018-01,NVDA,0.2702839265265502,51,9,0.9432,0.0305,10,21.21
2018-02,NVDA,-0.015459610913115207,9,2,0.9955,0.0303,12,21.64
2018-03,NVDA,-0.04242188610243203,7,7,0.9697,0.0408,9,21.07
2018-04,NVDA,-0.028887226791602494,15,1,0.66,0.0333,8,21.0
2018-05,NVDA,0.12134260341351433,12,6,0.9225,0.0417,11,20.5
2018-06,NVDA,-0.06004788066415945,16,3,0.994,0.0805,7,19.71
2018-07,NVDA,0.03360084375970729,10,1,0.66,0.0336,6,19.5
2018-08,NVDA,0.14628771505477234,7,6,0.9768,0.0302,10,19.29
2018-09,NVDA,0.001758895731669874,6,6,0.9978,0.0616,6,20.29
2018-10,NVDA,-0.24976869684515102,6,4,0.9958,0.0356,9,21.07
2018-11,NVDA,-0.22482593456887723,16,7,0.9274,0.0566,12,21.29
2018-12,NVDA,-0.18231893616003592,8,8,0.5214,0.036,8,20.07
2019-01,NVDA,0.07677906439547222,62,27,0.1493,0.0058,9,20.43
2019-02,NVDA,0.07311289670170629,4,21,0.4896,0.0074,8,21.64
2019-03,NVDA,0.16520847873909328,9,11,0.9845,0.0484,7,21.64
2019-04,NVDA,0.008019664191342812,19,4,0.985,0.0448,7,21.14
2019-05,NVDA,-0.25160220207374895,21,11,0.9119,0.052,7,20.86
2019-06,NVDA,0.2137710132928008,20,6,0.979,0.0292,5,20.64
2019-07,NVDA,0.027339664724165047,10,3,0.9967,0.0266,5,20.71
2019-08,NVDA,-0.007171608058264667,8,7,0.8909,0.0509,6,20.36
2019-09,NVDA,0.040190280819805135,18,1,0.997,0.0182,4,21.43
2019-10,NVDA,0.15482333979768903,19,7,0.909,0.0592,5,21.79
2019-11,NVDA,0.07820133906062776,35,8,0.9818,0.0612,6,22.43
2019-12,NVDA,0.08643327181492744,28,6,0.9702,0.0808,5,20.93
2020-01,NVDA,0.004802389387808859,86,4,0.5608,0.0222,5,25.93
2020-02,NVDA,0.14228341967081226,9,2,0.9335,0.0192,10,25.07
2020-03,NVDA,-0.02337298461844939,9,1,0.128,0.0274,8,20.14
2020-04,NVDA,0.10880094584883238,18,7,0.8924,0.033,7,20.79
2020-05,NVDA,0.21465711471817972,18,15,0.956,0.0717,9,22.21
2020-06,NVDA,0.07010882509799043,18,5,0.951,0.0455,7,21.93
2020-07,NVDA,0.11811677103434337,18,4,0.5737,0.0337,8,21.71
2020-08,NVDA,0.2599918986372203,18,6,0.9238,0.0379,11,20.71
2020-09,NVDA,0.011664321299825753,27,20,0.7119,0.0273,14,22.07
2020-10,NVDA,-0.07337136626668217,25,16,0.9512,0.0656,9,20.5
2020-11,NVDA,0.0692119080868816,26,12,0.9862,0.0434,8,19.36
2020-12,NVDA,-0.02585551737947589,19,7,0.6941,0.0162,6,19.07
2021-01,NVDA,-0.004704088765639103,55,12,0.952,0.0316,7,18.93
2021-02,NVDA,0.05579396676834425,31,41,0.6569,0.0131,9,20.0
2021-03,NVDA,-0.02670522285431831,24,117,0.7235,0.0205,7,19.79
2021-04,NVDA,0.12484235113727138,14,325,0.6106,0.0512,7,19.36
2021-05,NVDA,0.08228119302395154,24,334,0.6624,0.0145,7,19.64
2021-06,NVDA,0.23134001139207028,24,355,0.7311,0.0177,12,20.21
2021-07,NVDA,-0.02494841408872539,20,222,0.5931,0.0165,13,19.43
2021-08,NVDA,0.14800768687240362,13,353,0.4835,0.0236,12,18.29
2021-09,NVDA,-0.07439575075164195,27,168,0.6152,0.0141,9,19.5
2021-10,NVDA,0.23416675293530176,29,231,0.5797,0.0123,9,19.64
2021-11,NVDA,0.2780536285623272,34,450,0.6487,0.0239,21,20.79
2021-12,NVDA,-0.09992025968015428,26,341,0.5686,0.0081,18,19.29
2022-01,NVDA,-0.1673524917227226,107,401,0.637,0.0057,15,24.86
2022-02,NVDA,-0.0041248178884473186,15,464,0.5374,0.0066,19,26.0
2022-03,NVDA,0.11896652448078493,31,361,0.5462,0.0272,14,27.36
2022-04,NVDA,-0.3201582373125432,18,287,0.5054,0.0112,13,26.71
2022-05,NVDA,0.006739850764936328,39,321,0.4782,0.0138,15,25.5
2022-06,NVDA,-0.1881428821567387,53,201,0.5333,0.0081,10,25.64
2022-07,NVDA,0.19841935915700493,33,239,0.4642,0.0148,11,23.43
2022-08,NVDA,-0.1689698681419609,26,345,0.3605,0.0222,13,22.79
2022-09,NVDA,-0.19577317292442076,39,315,0.5014,0.0319,11,24.5
2022-10,NVDA,0.11220118447772798,36,214,0.5831,0.0158,8,24.57
2022-11,NVDA,0.2538343101439682,28,252,0.5647,0.0174,9,25.79
2022-12,NVDA,-0.1362205512619139,20,209,0.4926,0.0143,7,25.86
2023-01,NVDA,0.3368688003981255,84,220,0.596,0.0218,8,27.43
2023-02,NVDA,0.1883093186638518,24,374,0.5122,0.0498,14,31.0
2023-03,NVDA,0.19645934218490924,37,347,0.6567,0.057,14,30.57
2023-04,NVDA,-0.000838477468444232,20,286,0.6784,0.0547,11,30.14
2023-05,NVDA,0.363436622047705,49,398,0.6673,0.0549,23,31.29
2023-06,NVDA,0.11809478964160913,35,870,0.6232,0.0485,24,32.64
2023-07,NVDA,0.10476661792458741,49,583,0.6423,0.0439,18,30.57
2023-08,NVDA,0.056196410520484186,26,1000,0.6211,0.0489,31,29.57
2023-09,NVDA,-0.1186507252623219,22,744,0.6522,0.0611,19,30.57
2023-10,NVDA,-0.062429799157352917,59,812,0.5466,0.0491,17,31.0
2023-11,NVDA,0.14688578226438231,47,1000,0.6318,0.0535,22,31.86
2023-12,NVDA,0.058841034486952104,39,873,0.6773,0.0546,17,30.79
2024-01,NVDA,0.24252676209898483,49,933,0.7185,0.0548,26,32.79
2024-02,NVDA,0.28580953219355365,21,1000,0.6479,0.0608,63,36.07
2024-03,NVDA,0.14212758541562254,41,890,0.6513,0.0588,59,35.86
2024-04,NVDA,-0.043715365455304744,38,695,0.6629,0.0647,41,35.29
2024-05,NVDA,0.2688708817850005,41,906,0.6971,0.0524,59,36.21
2024-06,NVDA,0.1268507023188743,31,1000,0.7043,0.0751,91,34.0
