date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,SAP,-0.12302066329508965,55,0,0.0,0.0,79,18.14
2014-02,SAP,0.050641396362700375,1,0,0.0,0.0,85,18.14
2014-03,SAP,0.012703722991087574,3,0,0.0,0.0,79,17.14
2014-04,SAP,-0.003935479603896508,2,0,0.0,0.0,79,17.21
2014-05,SAP,-0.05543857172887379,4,0,0.0,0.0,81,16.86
2014-06,SAP,0.025074602841505422,7,0,0.0,0.0,83,18.0
2014-07,SAP,0.019350706930786332,4,0,0.0,0.0,86,19.29
2014-08,SAP,-0.007134619895921901,2,0,0.0,0.0,81,17.86
2014-09,SAP,-0.07404063197409361,3,0,0.0,0.0,91,17.64
2014-10,SAP,-0.05584828662765573,5,0,0.0,0.0,84,18.14
2014-11,SAP,0.032144424286922435,5,0,0.0,0.0,81,18.36
2014-12,SAP,-0.009527917086690207,2,0,0.0,0.0,73,17.79
2015-01,SAP,-0.0615935466055626,67,0,0.0,0.0,77,17.21
2015-02,SAP,0.07389844039486149,0,0,0.0,0.0,82,17.07
2015-03,SAP,0.02820899350528072,2,0,0.0,0.0,82,17.0
2015-04,SAP,0.04877376211010476,10,0,0.0,0.0,85,17.0
2015-05,SAP,-0.0236490988533683,4,0,0.0,0.0,79,17.07
2015-06,SAP,-0.034736086005790034,6,0,0.0,0.0,86,16.36
2015-07,SAP,0.02050404973408182,2,3,0.99,0.0075,84,16.71
2015-08,SAP,-0.0615321989422416,5,2,0.9335,0.0,78,15.43
2015-09,SAP,-0.036723008558694925,2,3,0.9803,0.0,82,15.64
2015-10,SAP,0.2148481005053584,3,2,0.9805,0.0,80,16.36
2015-11,SAP,0.0036843481255957045,3,1,0.979,0.0265,77,16.36
2015-12,SAP,0.0012657576548993354,2,2,0.9805,0.0129,71,16.36
2016-01,SAP,0.008849790991320328,31,3,0.3827,0.0,73,15.93
2016-02,SAP,-0.055889954670791386,3,3,0.2237,0.007,80,16.14
2016-03,SAP,0.06742771369884659,2,0,0.0,0.0,79,16.21
2016-04,SAP,-0.022382581955930902,1,2,0.9445,0.0,79,16.21
2016-05,SAP,0.031162512384371732,4,0,0.0,0.0,81,17.0
2016-06,SAP,-0.05888351699120209,7,0,0.0,0.0,81,16.14
2016-07,SAP,0.16488941435463333,4,2,0.94,0.0,73,15.21
2016-08,SAP,0.006636951998195917,5,1,0.958,0.0,80,14.79
2016-09,SAP,0.039104218962207726,14,1,0.997,0.0,79,16.07
2016-10,SAP,-0.03905480813599871,4,2,0.9975,0.0,76,17.0
2016-11,SAP,-0.05259559872322428,8,1,0.414,0.0,81,17.93
2016-12,SAP,0.03857252953492707,8,0,0.0,0.0,69,17.21
2017-01,SAP,0.058775878005843385,39,0,0.0,0.0,82,17.64
2017-02,SAP,0.018249315179071246,1,1,0.998,0.0,86,18.14
2017-03,SAP,0.05355227482252345,7,1,0.999,0.0047,90,19.21
2017-04,SAP,0.020474738616587773,2,0,0.0,0.0,77,19.07
2017-05,SAP,0.07366732230541073,3,2,0.9975,0.0091,83,19.36
2017-06,SAP,-0.014177684667882384,6,1,0.988,0.0,79,20.14
2017-07,SAP,0.011273606292818261,3,0,0.0,0.0,84,20.0
2017-08,SAP,-0.008502570231045392,9,1,0.997,0.0,86,19.0
2017-09,SAP,0.04478338086209632,2,3,0.997,0.0272,78,19.79
2017-10,SAP,0.04149547620263805,7,0,0.0,0.0,85,20.64
2017-11,SAP,-0.007443028088391257,8,0,0.0,0.0,84,22.0
2017-12,SAP,-0.008734004097679549,4,1,0.994,0.0393,69,20.64
2018-01,SAP,0.007920904601305567,40,0,0.0,0.0,79,21.21
2018-02,SAP,-0.07726267942401421,0,3,0.993,0.0,82,21.64
2018-03,SAP,0.006315813779690815,4,4,0.7428,0.0075,78,21.07
2018-04,SAP,0.05391790483880543,4,1,0.992,0.0,78,21.0
2018-05,SAP,0.017684654830121715,4,1,0.988,0.0,82,20.5
2018-06,SAP,0.04114214399469307,4,1,0.999,0.0,76,19.71
2018-07,SAP,0.0032855303700640714,3,2,0.9985,0.0045,77,19.5
2018-08,SAP,0.03188549550990638,4,1,0.995,0.0,75,19.29
2018-09,SAP,0.027225738079517336,2,0,0.0,0.0,76,20.29
2018-10,SAP,-0.12796750584101113,5,2,0.996,0.0,79,21.07
2018-11,SAP,-0.0333768475023668,26,0,0.0,0.0,74,21.29
2018-12,SAP,-0.03983403475478753,6,0,0.0,0.0,65,20.07
2019-01,SAP,0.03887500047921111,29,0,0.0,0.0,74,20.43
2019-02,SAP,0.03587290575182922,0,4,0.998,0.0069,78,21.64
2019-03,SAP,0.07775616386494555,1,1,0.995,0.0,75,21.64
2019-04,SAP,0.11605748785709058,3,1,0.995,0.0,76,21.14
2019-05,SAP,-0.04485497397479654,3,0,0.0,0.0,77,20.86
2019-06,SAP,0.12661633351858126,4,0,0.0,0.0,74,20.64
2019-07,SAP,-0.10065773547586832,3,0,0.0,0.0,76,20.71
2019-08,SAP,-0.03153708074734618,6,0,0.0,0.0,69,20.36
2019-09,SAP,-0.010742840595963976,6,0,0.0,0.0,73,21.43
2019-10,SAP,0.12479868568541241,1,1,0.999,0.0362,76,21.79
2019-11,SAP,0.025418373375134973,2,0,0.0,0.0,79,22.43
2019-12,SAP,-0.014416890634346036,1,0,0.0,0.0,68,20.93
2020-01,SAP,-0.024031677531092033,34,0,0.0,0.0,76,25.93
2020-02,SAP,-0.05505851460764677,0,0,0.0,0.0,82,25.07
2020-03,SAP,-0.10576990195415814,5,0,0.0,0.0,66,20.14
2020-04,SAP,0.0727601312516204,6,1,0.981,0.0,66,20.79
2020-05,SAP,0.08064786134247859,5,3,0.4837,0.0062,66,22.21
2020-06,SAP,0.10867378812096962,4,2,0.383,0.0,73,21.93
2020-07,SAP,0.1372855763935501,7,0,0.0,0.0,78,21.71
2020-08,SAP,0.0388772134454487,2,1,0.998,0.0,69,20.71
2020-09,SAP,-0.058037719545534494,8,2,0.711,0.0,69,22.07
2020-10,SAP,-0.31435719438945453,3,4,0.3842,0.0,71,20.5
2020-11,SAP,0.13413834623061094,5,3,0.3217,0.0,68,19.36
2020-12,SAP,0.0761801450106181,1,3,0.8057,0.0093,63,19.07
2021-01,SAP,-0.0321343626890781,21,13,0.8126,0.0,66,18.93
2021-02,SAP,-0.022583148038553436,1,18,0.9017,0.0077,67,20.0
2021-03,SAP,-0.004539908170583251,4,22,0.963,0.0,71,19.79
