date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,TSLA,0.20594285562134007,3,0,0.0,0.0,9,18.14
2014-02,TSLA,0.34948465786085814,1,0,0.0,0.0,16,18.14
2014-03,TSLA,-0.14852338451721625,0,0,0.0,0.0,11,17.14
2014-04,TSLA,-0.0026865067527073183,1,0,0.0,0.0,9,17.21
2014-05,TSLA,-0.0005772553281031545,1,0,0.0,0.0,10,16.86
2014-06,TSLA,0.15541226954370901,0,0,0.0,0.0,8,18.0
2014-07,TSLA,-0.06981582596456437,3,0,0.0,0.0,7,19.29
2014-08,TSLA,0.20779212958626903,2,0,0.0,0.0,8,17.86
2014-09,TSLA,-0.10018534591858141,0,0,0.0,0.0,8,17.64
2014-10,TSLA,-0.004038300546751472,0,0,0.0,0.0,9,18.14
2014-11,TSLA,0.011667339604856775,0,0,0.0,0.0,6,18.36
2014-12,TSLA,-0.0904219962270345,0,0,0.0,0.0,6,17.79
2015-01,TSLA,-0.08457357946114596,1,0,0.0,0.0,6,17.21
2015-02,TSLA,-0.001276991507778158,0,0,0.0,0.0,7,17.07
2015-03,TSLA,-0.07165333192256695,2,0,0.0,0.0,7,17.0
2015-04,TSLA,0.1974889322354232,1,0,0.0,0.0,7,17.0
2015-05,TSLA,0.10948902799891669,0,0,0.0,0.0,8,17.07
2015-06,TSLA,0.0696173153496511,0,0,0.0,0.0,5,16.36
2015-07,TSLA,-0.007865519769010731,1,2,0.6535,0.0,7,16.71
2015-08,TSLA,-0.06421193090073474,3,3,0.735,0.0,8,15.43
2015-09,TSLA,-0.0026500015278088096,0,0,0.0,0.0,6,15.64
2015-10,TSLA,-0.16694846898986193,2,2,0.557,0.0,6,16.36
2015-11,TSLA,0.11274349821695906,2,2,0.4895,0.0,6,16.36
2015-12,TSLA,0.04234347420944928,3,0,0.0,0.0,4,16.36
2016-01,TSLA,-0.20336655637088663,6,2,0.1365,0.0,5,15.93
2016-02,TSLA,0.003817939286909544,2,1,0.0,0.0,9,16.14
2016-03,TSLA,0.1971552400524741,1,0,0.0,0.0,8,16.21
2016-04,TSLA,0.047830459391734026,2,2,0.159,0.0,12,16.21
2016-05,TSLA,-0.0728111083172156,2,1,0.0,0.0,8,17.0
2016-06,TSLA,-0.04905251604174787,1,0,0.0,0.0,9,16.14
2016-07,TSLA,0.10603918690237002,0,1,0.422,0.0,8,15.21
2016-08,TSLA,-0.09702290457247609,1,0,0.0,0.0,7,14.79
2016-09,TSLA,-0.037639705293445846,0,1,0.296,0.0,7,16.07
2016-10,TSLA,-0.03087781715857929,0,3,0.416,0.0,8,17.0
2016-11,TSLA,-0.04212813918696334,0,2,0.6145,0.0,8,17.93
2016-12,TSLA,0.1282470872400494,2,0,0.0,0.0,6,17.21
2017-01,TSLA,0.1789508297421598,6,1,-0.297,0.0,8,17.64
2017-02,TSLA,-0.007700561188844546,0,2,0.318,0.0,12,18.14
2017-03,TSLA,0.11324450226739402,1,2,0.785,0.0,9,19.21
2017-04,TSLA,0.12853035120778755,1,2,0.318,0.0,13,19.07
2017-05,TSLA,0.08577703460392128,0,1,0.0,0.0,13,19.36
2017-06,TSLA,0.06040877199179162,0,0,0.0,0.0,14,20.14
2017-07,TSLA,-0.1054727025516281,0,3,0.7253,0.0,15,20.0
2017-08,TSLA,0.10025662262199075,0,3,0.7343,0.0,12,19.0
