date,firm_id,stock_return,paper_count,news_count,news_sentiment,news_ai_exposure,gt_firm_attention,gt_ai_momentum
2014-01,TXN,-0.03438844807785513,40,0,0.0,0.0,28,18.14
2014-02,TXN,0.0678451269849687,15,0,0.0,0.0,26,18.14
2014-03,TXN,0.04893189315522406,32,0,0.0,0.0,23,17.14
2014-04,TXN,-0.03625948275930169,24,0,0.0,0.0,29,17.21
2014-05,TXN,0.04039925479308337,26,0,0.0,0.0,22,16.86
2014-06,TXN,0.01724124347377054,37,0,0.0,0.0,21,18.0
2014-07,TXN,-0.03222435061870832,17,0,0.0,0.0,27,19.29
2014-08,TXN,0.04837200932540786,26,0,0.0,0.0,21,17.86
2014-09,TXN,-0.010170274479962216,33,0,0.0,0.0,22,17.64
2014-10,TXN,0.041308303966927085,33,0,0.0,0.0,30,18.14
2014-11,TXN,0.10358836100524771,22,0,0.0,0.0,27,18.36
2014-12,TXN,-0.017456799007470325,26,0,0.0,0.0,26,17.79
2015-01,TXN,-0.00037380591403690655,31,0,0.0,0.0,29,17.21
2015-02,TXN,0.10695744954783426,10,0,0.0,0.0,27,17.07
2015-03,TXN,-0.027380567857269167,27,0,0.0,0.0,26,17.0
2015-04,TXN,-0.05210756070915368,15,0,0.0,0.0,29,17.0
2015-05,TXN,0.037895609126891605,27,0,0.0,0.0,24,17.07
2015-06,TXN,-0.07886238146927194,24,0,0.0,0.0,24,16.36
2015-07,TXN,-0.029703068358654994,13,0,0.0,0.0,29,16.71
2015-08,TXN,-0.03627447472793366,10,0,0.0,0.0,28,15.43
2015-09,TXN,0.035117429518377596,35,0,0.0,0.0,23,15.64
2015-10,TXN,0.14539566609827514,15,0,0.0,0.0,32,16.36
2015-11,TXN,0.03139119187395334,16,0,0.0,0.0,24,16.36
2015-12,TXN,-0.05695103645526711,13,0,0.0,0.0,23,16.36
2016-01,TXN,-0.03430034971937845,49,0,0.0,0.0,31,15.93
2016-02,TXN,0.009269486138569372,9,0,0.0,0.0,29,16.14
2016-03,TXN,0.08298737018350533,25,0,0.0,0.0,26,16.21
2016-04,TXN,-0.006617602143170753,14,0,0.0,0.0,30,16.21
2016-05,TXN,0.0691925487710714,37,0,0.0,0.0,26,17.0
2016-06,TXN,0.03382859408848238,19,0,0.0,0.0,29,16.14
2016-07,TXN,0.11332780706868806,10,0,0.0,0.0,37,15.21
2016-08,TXN,0.0023339046709727196,6,0,0.0,0.0,31,14.79
2016-09,TXN,0.00920327469191995,36,0,0.0,0.0,25,16.07
2016-10,TXN,0.009546649638995985,24,0,0.0,0.0,31,17.0
2016-11,TXN,0.043472154185669076,15,0,0.0,0.0,35,17.93
2016-12,TXN,-0.005763811256434326,17,0,0.0,0.0,36,17.21
2017-01,TXN,0.03521990171698386,43,0,0.0,0.0,42,17.64
2017-02,TXN,0.020736261436894,22,0,0.0,0.0,35,18.14
2017-03,TXN,0.05142252295690786,23,0,0.0,0.0,39,19.21
2017-04,TXN,-0.0171300311151934,13,0,0.0,0.0,38,19.07
2017-05,TXN,0.04826564299462355,37,1,0.992,0.0,34,19.36
2017-06,TXN,-0.0674022917802427,18,0,0.0,0.0,37,20.14
2017-07,TXN,0.05784453093995978,16,0,0.0,0.0,38,20.0
2017-08,TXN,0.023898261757769657,18,0,0.0,0.0,34,19.0
2017-09,TXN,0.0823471247594929,22,0,0.0,0.0,38,19.79
2017-10,TXN,0.07864818461060619,31,1,0.997,0.0,55,20.64
2017-11,TXN,0.012644738917731102,7,1,0.998,0.0,47,22.0
2017-12,TXN,0.07349167333446593,20,0,0.0,0.0,45,20.64
2018-01,TXN,0.05007662604915719,23,0,0.0,0.0,73,21.21
2018-02,TXN,-0.006568612797371309,11,1,0.997,0.0,59,21.64
2018-03,TXN,-0.041162899954987564,35,0,0.0,0.0,47,21.07
2018-04,TXN,-0.0236789623731557,17,1,0.995,0.0,52,21.0
2018-05,TXN,0.10332266666464629,29,0,0.0,0.0,47,20.5
2018-06,TXN,-0.008902284744353173,17,0,0.0,0.0,46,19.71
2018-07,TXN,0.009705268414672119,23,1,0.998,0.0,50,19.5
2018-08,TXN,0.0152920890570587,11,0,0.0,0.0,42,19.29
2018-09,TXN,-0.045462402619731,32,0,0.0,0.0,42,20.29
2018-10,TXN,-0.13477492299230798,19,0,0.0,0.0,54,21.07
2018-11,TXN,0.08488523099318135,14,1,0.996,0.0,45,21.29
2018-12,TXN,-0.05358028027681627,16,0,0.0,0.0,42,20.07
2019-01,TXN,0.06539670058959457,21,0,0.0,0.0,54,20.43
2019-02,TXN,0.058699258808447174,13,0,0.0,0.0,49,21.64
2019-03,TXN,0.0027414164014183395,27,0,0.0,0.0,45,21.64
2019-04,TXN,0.11087013951756086,12,1,0.995,0.0,52,21.14
2019-05,TXN,-0.11474163832458029,20,0,0.0,0.0,44,20.86
2019-06,TXN,0.10744211773294543,15,0,0.0,0.0,44,20.64
2019-07,TXN,0.08931675953568985,14,0,0.0,0.0,53,20.71
2019-08,TXN,-0.004179531241750967,29,0,0.0,0.0,48,20.36
2019-09,TXN,0.0443637211770922,16,0,0.0,0.0,44,21.43
2019-10,TXN,-0.08704744405058784,8,0,0.0,0.0,56,21.79
2019-11,TXN,0.026495231335405878,13,0,0.0,0.0,43,22.43
2019-12,TXN,0.06721572218040883,7,0,0.0,0.0,40,20.93
2020-01,TXN,-0.05955251235823,16,0,0.0,0.0,58,25.93
2020-02,TXN,-0.047123856959745636,18,0,0.0,0.0,53,25.07
2020-03,TXN,-0.12449614854710667,12,0,0.0,0.0,59,20.14
2020-04,TXN,0.16151282482433515,13,1,0.991,0.0125,57,20.79
2020-05,TXN,0.0230033511122405,5,1,0.995,0.0,46,22.21
2020-06,TXN,0.07766752311573999,4,0,0.0,0.0,52,21.93
2020-07,TXN,0.004567896918515224,17,0,0.0,0.0,68,21.71
2020-08,TXN,0.12213664918573652,16,0,0.0,0.0,55,20.71
2020-09,TXN,0.004502525433352833,25,0,0.0,0.0,52,22.07
2020-10,TXN,0.012605583322461422,9,2,0.48,0.0,56,20.5
2020-11,TXN,0.1232344778287009,11,2,0.999,0.0052,56,19.36
2020-12,TXN,0.017860545795910454,9,0,0.0,0.0,53,19.07
2021-01,TXN,0.00950456761068752,19,6,0.7118,0.006,51,18.93
2021-02,TXN,0.04601721140527015,15,12,0.9243,0.0058,54,20.0
2021-03,TXN,0.0970571926956838,15,40,0.8589,0.0056,57,19.79
2021-04,TXN,-0.044870050436122355,4,74,0.774,0.0,56,19.36
2021-05,TXN,0.057380039075057176,7,52,0.8211,0.0048,50,19.64
2021-06,TXN,0.013065038596069778,34,70,0.8902,0.0057,47,20.21
2021-07,TXN,-0.00873644868121859,11,89,0.6053,0.008,54,19.43
2021-08,TXN,0.007107172001590056,8,42,0.9188,0.0,47,18.29
2021-09,TXN,0.006809551439443506,8,32,0.8305,0.0,48,19.5
2021-10,TXN,-0.02460862428431798,14,91,0.4857,0.0074,58,19.64
