source_id,target_id,weight,relation_type
AMAT,LRCX,0.9204403813960812,hybrid
LRCX,AMAT,0.9204403813960812,hybrid
TXN,ADI,0.9127970859502201,hybrid
ADI,TXN,0.9127970859502201,hybrid
KLAC,AMAT,0.8842378064290333,hybrid
AMAT,KLAC,0.8842378064290333,hybrid
KLAC,LRCX,0.8786695518370806,hybrid
LRCX,KLAC,0.8786695518370806,hybrid
LRCX,ASML,0.8708846375332311,hybrid
ASML,LRCX,0.8708846375332311,hybrid
LRCX,MU,0.8648882264458793,hybrid
MU,LRCX,0.8648882264458793,hybrid
AMAT,ASML,0.8634536812948392,hybrid
ASML,AMAT,0.8634536812948392,hybrid
KLAC,ASML,0.8537469567503577,hybrid
ASML,KLAC,0.8537469567503577,hybrid
MU,AMAT,0.8353463782379037,hybrid
AMAT,MU,0.8353463782379037,hybrid
INTU,ADBE,0.8293582831241956,hybrid
ADBE,INTU,0.8293582831241956,hybrid
TSM,LRCX,0.8271003120259814,hybrid
LRCX,TSM,0.8271003120259814,hybrid
CRM,NOW,0.8259747160058277,hybrid
NOW,CRM,0.8259747160058277,hybrid
AMAT,TSM,0.8107347606804822,hybrid
TSM,AMAT,0.8107347606804822,hybrid
ADI,AMAT,0.8054512609884836,hybrid
AMAT,ADI,0.8054512609884836,hybrid
ADSK,NOW,0.8050664845996618,hybrid
NOW,ADSK,0.8050664845996618,hybrid
CRM,ADBE,0.804402740497456,hybrid
ADBE,CRM,0.804402740497456,hybrid
ADBE,MSFT,0.8043156792479975,hybrid
MSFT,ADBE,0.8043156792479975,hybrid
ASML,TSM,0.8005212840380688,hybrid
TSM,ASML,0.8005212840380688,hybrid
INTU,MSFT,0.8002626724069501,hybrid
MSFT,INTU,0.8002626724069501,hybrid
ADSK,INTU,0.8000838468917422,hybrid
INTU,ADSK,0.8000838468917422,hybrid
ADBE,NOW,0.7977546711134923,hybrid
NOW,ADBE,0.7977546711134923,hybrid
MSFT,AMZN,0.7959711655686796,hybrid
AMZN,MSFT,0.7959711655686796,hybrid
ADSK,ADBE,0.7941707069457489,hybrid
ADBE,ADSK,0.7941707069457489,hybrid
GOOGL,AMZN,0.7932061094530913,hybrid
AMZN,GOOGL,0.7932061094530913,hybrid
AMZN,CRM,0.7931505335970721,hybrid
CRM,AMZN,0.7931505335970721,hybrid
MSFT,ASML,0.7930851201332243,hybrid
ASML,MSFT,0.7930851201332243,hybrid
MSFT,SAP,0.7927018246242217,hybrid
SAP,MSFT,0.7927018246242217,hybrid
CRM,INTU,0.7865300998588589,hybrid
INTU,CRM,0.7865300998588589,hybrid
KLAC,MU,0.7862354526605422,hybrid
MU,KLAC,0.7862354526605422,hybrid
ADI,KLAC,0.7862158955987648,hybrid
KLAC,ADI,0.7862158955987648,hybrid
MSFT,NVDA,0.7858405705376592,hybrid
NVDA,MSFT,0.7858405705376592,hybrid
TXN,AMAT,0.7800147376148981,hybrid
AMAT,TXN,0.7800147376148981,hybrid
ASML,ADI,0.7799213140037715,hybrid
ADI,ASML,0.7799213140037715,hybrid
MU,ASML,0.7776096067071828,hybrid
ASML,MU,0.7776096067071828,hybrid
LRCX,STX,0.7768575776595646,hybrid
STX,LRCX,0.7768575776595646,hybrid
TSM,KLAC,0.7757010469877724,hybrid
KLAC,TSM,0.7757010469877724,hybrid
TXN,KLAC,0.7752765879088068,hybrid
KLAC,TXN,0.7752765879088068,hybrid
ASML,TXN,0.7752269090133784,hybrid
TXN,ASML,0.7752269090133784,hybrid
AAPL,ADBE,0.7750674522142891,hybrid
ADBE,AAPL,0.7750674522142891,hybrid
MSFT,CRM,0.7748981089875824,hybrid
CRM,MSFT,0.7748981089875824,hybrid
CRM,ADSK,0.7731390595075982,hybrid
ADSK,CRM,0.7731390595075982,hybrid
NVDA,AMAT,0.773118743676442,hybrid
AMAT,NVDA,0.773118743676442,hybrid
ASML,STX,0.7715615134600118,hybrid
STX,ASML,0.7715615134600118,hybrid
ADBE,AMZN,0.7714582957324286,hybrid
AMZN,ADBE,0.7714582957324286,hybrid
AMD,NVDA,0.7687817308663121,hybrid
NVDA,AMD,0.7687817308663121,hybrid
ADBE,ASML,0.7683716057403439,hybrid
ASML,ADBE,0.7683716057403439,hybrid
NVDA,TSM,0.768037695761786,hybrid
TSM,NVDA,0.768037695761786,hybrid
AMZN,NOW,0.7677923374729927,hybrid
NOW,AMZN,0.7677923374729927,hybrid
AMAT,STX,0.7666240877274408,hybrid
STX,AMAT,0.7666240877274408,hybrid
KLAC,MSFT,0.7665046522475367,hybrid
MSFT,KLAC,0.7665046522475367,hybrid
ADI,LRCX,0.7664818549251614,hybrid
LRCX,ADI,0.7664818549251614,hybrid
GOOGL,MSFT,0.7664418836322769,hybrid
MSFT,GOOGL,0.7664418836322769,hybrid
MU,INTC,0.7664378551135651,hybrid
INTC,MU,0.7664378551135651,hybrid
MSFT,ORCL,0.766033086160689,hybrid
ORCL,MSFT,0.766033086160689,hybrid
NVDA,AMZN,0.7652726192150252,hybrid
AMZN,NVDA,0.7652726192150252,hybrid
AMAT,AVGO,0.7650507374302364,hybrid
AVGO,AMAT,0.7650507374302364,hybrid
AMZN,ADSK,0.7643088627763284,hybrid
ADSK,AMZN,0.7643088627763284,hybrid
ASML,NVDA,0.7638671203028435,hybrid
NVDA,ASML,0.7638671203028435,hybrid
NVDA,ADBE,0.7637608360806827,hybrid
ADBE,NVDA,0.7637608360806827,hybrid
STX,MU,0.7627620513842183,hybrid
MU,STX,0.7627620513842183,hybrid
ADSK,SAP,0.7626122893543483,hybrid
SAP,ADSK,0.7626122893543483,hybrid
PANW,NOW,0.7605035830652895,hybrid
NOW,PANW,0.7605035830652895,hybrid
INTC,ASML,0.7602019217974063,hybrid
ASML,INTC,0.7602019217974063,hybrid
AMAT,ADSK,0.7600191494986513,hybrid
ADSK,AMAT,0.7600191494986513,hybrid
MSFT,ADSK,0.7587687251528568,hybrid
ADSK,MSFT,0.7587687251528568,hybrid
SAP,ADBE,0.75679332387389,hybrid
ADBE,SAP,0.75679332387389,hybrid
SAP,ASML,0.7539210394688753,hybrid
ASML,SAP,0.7539210394688753,hybrid
ASML,GOOGL,0.7536006403499751,hybrid
GOOGL,ASML,0.7536006403499751,hybrid
MSFT,AAPL,0.7520422302333161,hybrid
AAPL,MSFT,0.7520422302333161,hybrid
AMZN,INTU,0.7515582957632947,hybrid
INTU,AMZN,0.7515582957632947,hybrid
TSLA,CRM,0.7512678472131518,hybrid
CRM,TSLA,0.7512678472131518,hybrid
INTC,LRCX,0.7509150574793244,hybrid
LRCX,INTC,0.7509150574793244,hybrid
NVDA,AAPL,0.7497312030313077,hybrid
AAPL,NVDA,0.7497312030313077,hybrid
AMZN,AMD,0.7494430897715976,hybrid
AMD,AMZN,0.7494430897715976,hybrid
MSFT,TSM,0.7493390276595999,hybrid
TSM,MSFT,0.7493390276595999,hybrid
NVDA,LRCX,0.7491031653221061,hybrid
LRCX,NVDA,0.7491031653221061,hybrid
LRCX,GOOGL,0.7489721915952126,hybrid
GOOGL,LRCX,0.7489721915952126,hybrid
ADSK,LRCX,0.7477305651458768,hybrid
LRCX,ADSK,0.7477305651458768,hybrid
AMZN,AAPL,0.7474336077335488,hybrid
AAPL,AMZN,0.7474336077335488,hybrid
TXN,LRCX,0.7463742926176083,hybrid
LRCX,TXN,0.7463742926176083,hybrid
MU,ADI,0.7459769996535546,hybrid
ADI,MU,0.7459769996535546,hybrid
CRM,GOOGL,0.7451350793930576,hybrid
GOOGL,CRM,0.7451350793930576,hybrid
NVDA,CRM,0.7445418449866449,hybrid
CRM,NVDA,0.7445418449866449,hybrid
ADSK,TXN,0.744465686751125,hybrid
TXN,ADSK,0.744465686751125,hybrid
TSM,GOOGL,0.7444023116610554,hybrid
GOOGL,TSM,0.7444023116610554,hybrid
IBM,CSCO,0.7440678749556887,hybrid
CSCO,IBM,0.7440678749556887,hybrid
ADSK,ADI,0.7437167852610561,hybrid
